Well,Content,Raw Data (600),
J12,Sample X228,1.222,
J13,Sample X229,1.107,
J14,Sample X230,1.381,
J15,Sample X231,0.196,
J16,Sample X232,1.366,
J17,Sample X233,1.452,
J18,Sample X234,1.292,
J19,Sample X235,0.210,
J20,Sample X236,1.338,
J21,Sample X237,0.448,
J22,Sample X238,1.439,
J23,Sample X239,0.160,
J24,Sample X240,0.191,
K01,Sample X241,0.156,
K02,Sample X242,0.156,
K03,Sample X243,1.632,
K04,Sample X244,0.164,
K05,Sample X245,1.190,
K06,Sample X246,1.255,
K07,Sample X247,1.280,
K08,Sample X248,1.459,
K09,Sample X249,1.306,
K10,Sample X250,1.143,
K11,Sample X251,2.879,
K12,Sample X252,1.186,
K13,Sample X253,2.313,
K14,Sample X254,2.906,
K15,Sample X255,0.212,
K16,Sample X256,1.982,
K17,Sample X257,2.501,
K18,Sample X258,2.038,
K19,Sample X259,0.208,
K20,Sample X260,1.255,
K21,Sample X261,2.093,
K22,Sample X262,1.952,
K23,Sample X263,0.161,
K24,Sample X264,0.167,
L01,Sample X265,0.150,
L02,Sample X266,0.154,
L03,Sample X267,1.312,
L04,Sample X268,1.302,
L05,Sample X269,1.227,
L06,Sample X270,1.134,
L07,Sample X271,1.295,
L08,Sample X272,1.246,
L09,Sample X273,1.289,
L10,Sample X274,1.320,
L11,Sample X275,1.346,
L12,Sample X276,1.331,
L13,Sample X277,1.247,
L14,Sample X278,1.347,
L15,Sample X279,1.347,
L16,Sample X280,1.239,
L17,Sample X281,1.547,
L18,Sample X282,1.293,
L19,Sample X283,1.248,
L20,Sample X284,1.359,
L21,Sample X285,1.410,
L22,Sample X286,1.360,
L23,Sample X287,0.152,
L24,Sample X288,0.174,
M01,Sample X289,0.156,
M02,Sample X290,0.150,
M03,Sample X291,1.332,
M04,Sample X292,1.270,
M05,Sample X293,1.287,
M06,Sample X294,1.228,
M07,Sample X295,1.195,
M08,Sample X296,1.369,
M09,Sample X297,1.676,
M10,Sample X298,1.417,
M11,Sample X299,1.240,
M12,Sample X300,1.188,
M13,Sample X301,0.693,
M14,Sample X302,1.736,
M15,Sample X303,1.220,
M16,Sample X304,1.832,
M17,Sample X305,0.274,
M18,Sample X306,1.947,
M19,Sample X307,1.621,
M20,Sample X308,1.967,
M21,Sample X309,0.252,
M22,Sample X310,0.692,
M23,Sample X311,0.158,
M24,Sample X312,0.154,
N01,Sample X313,0.158,
N02,Sample X314,0.152,
N03,Sample X315,1.300,
N04,Sample X316,1.704,
N05,Sample X317,1.284,
N06,Sample X318,1.215,
N07,Sample X319,1.347,
N08,Sample X320,1.370,
N09,Sample X321,1.345,
N10,Sample X322,1.237,
N11,Sample X323,1.254,
N12,Sample X324,1.144,
N13,Sample X325,1.290,
N14,Sample X326,1.247,
N15,Sample X327,1.238,
N16,Sample X328,1.164,
N17,Sample X329,1.172,
N18,Sample X330,1.185,
N19,Sample X331,0.998,
N20,Sample X332,1.246,
N21,Sample X333,1.272,
N22,Sample X334,1.078,
N23,Sample X335,0.150,
N24,Sample X336,0.152,
O01,Sample X337,0.155,
O02,Sample X338,0.153,
O03,Sample X339,1.301,
O04,Sample X340,1.328,
O05,Sample X341,1.426,
O06,Sample X342,1.215,
O07,Sample X343,1.286,
O08,Sample X344,1.630,
O09,Sample X345,1.596,
O10,Sample X346,1.363,
O11,Sample X347,1.210,
O12,Sample X348,1.415,
O13,Sample X349,1.284,
O14,Sample X350,1.149,
O15,Sample X351,1.464,
O16,Sample X352,1.180,
O17,Sample X353,1.106,
O18,Sample X354,1.198,
O19,Sample X355,1.183,
O20,Sample X356,1.232,
O21,Sample X357,1.200,
O22,Sample X358,1.273,
O23,Sample X359,0.150,
O24,Sample X360,0.157,
P01,Sample X361,0.181,
P02,Sample X362,0.156,
P03,Sample X363,0.216,
P04,Sample X364,0.257,
P05,Sample X365,0.239,
P06,Sample X366,0.227,
P07,Sample X367,0.193,
P08,Sample X368,0.211,
P09,Sample X369,0.239,
P10,Sample X370,0.208,
P11,Sample X371,0.202,
P12,Sample X372,0.185,
P13,Sample X373,1.284,
P14,Sample X374,1.334,
P15,Sample X375,1.409,
P16,Sample X376,1.246,
P17,Sample X377,2.954,
P18,Sample X378,1.261,
P19,Sample X379,1.367,
P20,Sample X380,1.337,
P21,Sample X381,1.411,
P22,Sample X382,1.133,
P23,Sample X383,0.152,
P24,Sample X384,0.147,
