Well,Content,Well Scan: Average (600),
A01,Sample X1,0.069,
A02,Sample X2,0.069,
A03,Sample X3,0.297,
A04,Sample X4,0.264,
A05,Sample X5,0.239,
A06,Sample X6,0.199,
A07,Sample X7,0.168,
A08,Sample X8,0.209,
A09,Sample X9,0.132,
A10,Sample X10,0.111,
A11,Sample X11,0.105,
A12,Sample X12,0.101,
A13,Sample X13,0.182,
A14,Sample X14,0.131,
A15,Sample X15,0.127,
A16,Sample X16,0.100,
A17,Sample X17,0.100,
A18,Sample X18,0.435,
A19,Sample X19,0.413,
A20,Sample X20,0.463,
A21,Sample X21,0.425,
A22,Sample X22,0.420,
A23,Sample X23,0.050,
A24,Sample X24,0.047,
B01,Sample X25,0.056,
B02,Sample X26,0.053,
B03,Sample X27,0.116,
B04,Sample X28,0.457,
B05,Sample X29,0.422,
B06,Sample X30,0.433,
B07,Sample X31,0.398,
B08,Sample X32,0.401,
B09,Sample X33,0.410,
B10,Sample X34,0.400,
B11,Sample X35,0.142,
B12,Sample X36,0.453,
B13,Sample X37,0.467,
B14,Sample X38,0.289,
B15,Sample X39,0.448,
B16,Sample X40,0.460,
B17,Sample X41,0.437,
B18,Sample X42,0.433,
B19,Sample X43,0.422,
B20,Sample X44,0.422,
B21,Sample X45,0.409,
B22,Sample X46,0.427,
B23,Sample X47,0.054,
B24,Sample X48,0.068,
C01,Sample X49,0.053,
C02,Sample X50,0.052,
C03,Sample X51,0.420,
C04,Sample X52,0.409,
C05,Sample X53,0.440,
C06,Sample X54,0.387,
C07,Sample X55,0.363,
C08,Sample X56,0.290,
C09,Sample X57,0.418,
C10,Sample X58,0.418,
C11,Sample X59,0.409,
C12,Sample X60,0.144,
C13,Sample X61,0.212,
C14,Sample X62,0.424,
C15,Sample X63,0.413,
C16,Sample X64,0.451,
C17,Sample X65,0.440,
C18,Sample X66,0.392,
C19,Sample X67,0.436,
C20,Sample X68,0.415,
C21,Sample X69,0.412,
C22,Sample X70,0.413,
C23,Sample X71,0.057,
C24,Sample X72,0.058,
D01,Sample X73,0.055,
D02,Sample X74,0.075,
D03,Sample X75,0.186,
D04,Sample X76,0.422,
D05,Sample X77,0.399,
D06,Sample X78,0.418,
D07,Sample X79,0.425,
D08,Sample X80,0.397,
D09,Sample X81,0.197,
D10,Sample X82,0.390,
D11,Sample X83,0.407,
D12,Sample X84,0.416,
D13,Sample X85,0.233,
D14,Sample X86,0.419,
D15,Sample X87,0.250,
D16,Sample X88,0.373,
D17,Sample X89,0.267,
D18,Sample X90,0.390,
D19,Sample X91,0.444,
D20,Sample X92,0.084,
D21,Sample X93,0.099,
D22,Sample X94,0.118,
D23,Sample X95,0.054,
D24,Sample X96,0.063,
E01,Sample X97,0.059,
E02,Sample X98,0.062,
E03,Sample X99,0.222,
E04,Sample X100,0.388,
E05,Sample X101,0.309,
E06,Sample X102,0.353,
E07,Sample X103,0.094,
E08,Sample X104,0.173,
E09,Sample X105,0.381,
E10,Sample X106,0.214,
E11,Sample X107,0.275,
E12,Sample X108,0.177,
E13,Sample X109,0.411,
E14,Sample X110,0.373,
E15,Sample X111,0.156,
E16,Sample X112,0.371,
E17,Sample X113,0.415,
E18,Sample X114,0.209,
E19,Sample X115,0.141,
E20,Sample X116,0.191,
E21,Sample X117,0.423,
E22,Sample X118,0.155,
E23,Sample X119,0.059,
E24,Sample X120,0.060,
F01,Sample X121,0.063,
F02,Sample X122,0.061,
F03,Sample X123,0.195,
F04,Sample X124,0.121,
F05,Sample X125,0.241,
F06,Sample X126,0.368,
F07,Sample X127,0.240,
F08,Sample X128,0.391,
F09,Sample X129,0.252,
F10,Sample X130,0.371,
F11,Sample X131,0.395,
F12,Sample X132,0.374,
F13,Sample X133,0.153,
F14,Sample X134,0.409,
F15,Sample X135,0.190,
F16,Sample X136,0.390,
F17,Sample X137,0.418,
F18,Sample X138,0.139,
F19,Sample X139,0.376,
F20,Sample X140,0.405,
F21,Sample X141,0.409,
F22,Sample X142,0.417,
F23,Sample X143,0.056,
F24,Sample X144,0.073,
G01,Sample X145,0.081,
G02,Sample X146,0.067,
G03,Sample X147,0.388,
G04,Sample X148,0.410,
G05,Sample X149,0.403,
G06,Sample X150,0.370,
G07,Sample X151,0.125,
G08,Sample X152,0.424,
G09,Sample X153,0.391,
G10,Sample X154,0.293,
G11,Sample X155,0.415,
G12,Sample X156,0.385,
G13,Sample X157,0.410,
G14,Sample X158,0.425,
G15,Sample X159,0.362,
G16,Sample X160,0.392,
G17,Sample X161,0.436,
G18,Sample X162,0.376,
G19,Sample X163,0.334,
G20,Sample X164,0.373,
G21,Sample X165,0.276,
G22,Sample X166,0.197,
G23,Sample X167,0.072,
G24,Sample X168,0.054,
H01,Sample X169,0.061,
H02,Sample X170,0.056,
H03,Sample X171,0.300,
H04,Sample X172,0.113,
H05,Sample X173,0.439,
