Well,Content,Raw Data (600),
A01,Sample X1,0.415,
A02,Sample X2,0.563,
A03,Sample X3,0.300,
A04,Sample X4,0.224,
A05,Sample X5,0.207,
A06,Sample X6,0.175,
A07,Sample X7,0.193,
A08,Sample X8,0.197,
A09,Sample X9,0.207,
A10,Sample X10,0.211,
A11,Sample X11,0.227,
A12,Sample X12,0.233,
A13,Sample X13,0.302,
A14,Sample X14,0.175,
A15,Sample X15,0.209,
A16,Sample X16,0.188,
A17,Sample X17,0.218,
A18,Sample X18,4.557,
A19,Sample X19,3.446,
A20,Sample X20,3.624,
A21,Sample X21,3.835,
A22,Sample X22,3.561,
A23,Sample X23,0.366,
A24,Sample X24,0.400,
B01,Sample X25,0.322,
B02,Sample X26,0.327,
B03,Sample X27,4.073,
B04,Sample X28,3.861,
B05,Sample X29,4.123,
B06,Sample X30,3.618,
B07,Sample X31,3.486,
B08,Sample X32,3.597,
B09,Sample X33,3.347,
B10,Sample X34,3.890,
B11,Sample X35,3.338,
B12,Sample X36,3.681,
B13,Sample X37,3.062,
B14,Sample X38,3.416,
B15,Sample X39,3.142,
B16,Sample X40,3.389,
B17,Sample X41,3.255,
B18,Sample X42,3.423,
B19,Sample X43,3.544,
B20,Sample X44,3.453,
B21,Sample X45,3.448,
B22,Sample X46,3.538,
B23,Sample X47,0.312,
B24,Sample X48,0.412,
C01,Sample X49,0.541,
C02,Sample X50,0.458,
C03,Sample X51,3.007,
C04,Sample X52,3.178,
C05,Sample X53,0.173,
C06,Sample X54,2.390,
C07,Sample X55,0.178,
C08,Sample X56,0.696,
C09,Sample X57,3.488,
C10,Sample X58,2.941,
C11,Sample X59,3.070,
C12,Sample X60,0.187,
C13,Sample X61,3.283,
C14,Sample X62,3.523,
C15,Sample X63,2.525,
C16,Sample X64,3.254,
C17,Sample X65,0.197,
C18,Sample X66,3.587,
C19,Sample X67,3.390,
C20,Sample X68,3.440,
C21,Sample X69,3.115,
C22,Sample X70,3.181,
C23,Sample X71,0.394,
C24,Sample X72,0.367,
D01,Sample X73,0.405,
D02,Sample X74,0.478,
D03,Sample X75,3.220,
D04,Sample X76,3.139,
D05,Sample X77,0.188,
D06,Sample X78,3.042,
D07,Sample X79,0.477,
D08,Sample X80,4.463,
D09,Sample X81,3.259,
D10,Sample X82,2.863,
D11,Sample X83,3.131,
D12,Sample X84,3.041,
D13,Sample X85,2.969,
D14,Sample X86,3.241,
D15,Sample X87,3.823,
D16,Sample X88,3.331,
D17,Sample X89,2.615,
D18,Sample X90,3.279,
D19,Sample X91,3.779,
D20,Sample X92,0.287,
D21,Sample X93,0.162,
D22,Sample X94,3.251,
D23,Sample X95,0.339,
D24,Sample X96,0.538,
E01,Sample X97,0.504,
E02,Sample X98,0.363,
E03,Sample X99,3.569,
E04,Sample X100,3.478,
E05,Sample X101,3.737,
E06,Sample X102,2.940,
E07,Sample X103,3.548,
E08,Sample X104,3.398,
E09,Sample X105,3.828,
E10,Sample X106,2.843,
E11,Sample X107,3.489,
E12,Sample X108,3.246,
E13,Sample X109,3.559,
E14,Sample X110,3.206,
E15,Sample X111,3.258,
E16,Sample X112,3.046,
E17,Sample X113,2.937,
E18,Sample X114,0.217,
E19,Sample X115,3.237,
