Well,Content,Well Scan: Average (600),
J12,Sample X228,0.080,
J13,Sample X229,0.093,
J14,Sample X230,0.091,
J15,Sample X231,0.099,
J16,Sample X232,0.095,
J17,Sample X233,0.092,
J18,Sample X234,0.093,
J19,Sample X235,0.091,
J20,Sample X236,0.086,
J21,Sample X237,0.082,
J22,Sample X238,0.091,
J23,Sample X239,0.058,
J24,Sample X240,0.064,
K01,Sample X241,0.048,
K02,Sample X242,0.053,
K03,Sample X243,0.083,
K04,Sample X244,0.081,
K05,Sample X245,0.090,
K06,Sample X246,0.070,
K07,Sample X247,0.081,
K08,Sample X248,0.082,
K09,Sample X249,0.101,
K10,Sample X250,0.088,
K11,Sample X251,0.087,
K12,Sample X252,0.088,
K13,Sample X253,0.085,
K14,Sample X254,0.085,
K15,Sample X255,0.091,
K16,Sample X256,0.092,
K17,Sample X257,0.092,
K18,Sample X258,0.088,
K19,Sample X259,0.085,
K20,Sample X260,0.088,
K21,Sample X261,0.084,
K22,Sample X262,0.084,
K23,Sample X263,0.066,
K24,Sample X264,0.059,
L01,Sample X265,0.044,
L02,Sample X266,0.044,
L03,Sample X267,0.072,
L04,Sample X268,0.079,
L05,Sample X269,0.074,
L06,Sample X270,0.074,
L07,Sample X271,0.076,
L08,Sample X272,0.081,
L09,Sample X273,0.113,
L10,Sample X274,0.090,
L11,Sample X275,0.078,
L12,Sample X276,0.084,
L13,Sample X277,0.098,
L14,Sample X278,0.088,
L15,Sample X279,0.089,
L16,Sample X280,0.084,
L17,Sample X281,0.097,
L18,Sample X282,0.085,
L19,Sample X283,0.087,
L20,Sample X284,0.084,
L21,Sample X285,0.084,
L22,Sample X286,0.085,
L23,Sample X287,0.058,
L24,Sample X288,0.058,
M01,Sample X289,0.043,
M02,Sample X290,0.053,
M03,Sample X291,0.074,
M04,Sample X292,0.076,
M05,Sample X293,0.075,
M06,Sample X294,0.074,
M07,Sample X295,0.077,
M08,Sample X296,0.075,
M09,Sample X297,0.102,
M10,Sample X298,0.075,
M11,Sample X299,0.077,
M12,Sample X300,0.078,
M13,Sample X301,0.085,
M14,Sample X302,0.078,
M15,Sample X303,0.086,
M16,Sample X304,0.083,
M17,Sample X305,0.078,
M18,Sample X306,0.083,
M19,Sample X307,0.091,
M20,Sample X308,0.079,
M21,Sample X309,0.090,
M22,Sample X310,0.076,
M23,Sample X311,0.060,
M24,Sample X312,0.054,
N01,Sample X313,0.045,
N02,Sample X314,0.047,
N03,Sample X315,0.079,
N04,Sample X316,0.075,
N05,Sample X317,0.074,
N06,Sample X318,0.074,
N07,Sample X319,0.072,
N08,Sample X320,0.078,
N09,Sample X321,0.091,
N10,Sample X322,0.075,
N11,Sample X323,0.072,
N12,Sample X324,0.076,
N13,Sample X325,0.081,
N14,Sample X326,0.082,
N15,Sample X327,0.078,
N16,Sample X328,0.078,
N17,Sample X329,0.083,
N18,Sample X330,0.081,
N19,Sample X331,0.081,
N20,Sample X332,0.078,
N21,Sample X333,0.081,
N22,Sample X334,0.081,
N23,Sample X335,0.068,
N24,Sample X336,0.052,
O01,Sample X337,0.047,
O02,Sample X338,0.061,
O03,Sample X339,0.073,
O04,Sample X340,0.072,
O05,Sample X341,0.074,
O06,Sample X342,0.072,
O07,Sample X343,0.077,
O08,Sample X344,0.073,
O09,Sample X345,0.085,
O10,Sample X346,0.076,
O11,Sample X347,0.080,
O12,Sample X348,0.078,
O13,Sample X349,0.080,
O14,Sample X350,0.078,
O15,Sample X351,0.080,
O16,Sample X352,0.084,
O17,Sample X353,0.091,
O18,Sample X354,0.081,
O19,Sample X355,0.079,
O20,Sample X356,0.075,
O21,Sample X357,0.074,
O22,Sample X358,0.077,
O23,Sample X359,0.051,
O24,Sample X360,0.051,
P01,Sample X361,0.048,
P02,Sample X362,0.047,
P03,Sample X363,0.074,
P04,Sample X364,0.074,
P05,Sample X365,0.072,
P06,Sample X366,0.081,
P07,Sample X367,0.099,
P08,Sample X368,0.078,
P09,Sample X369,0.074,
P10,Sample X370,0.072,
P11,Sample X371,0.073,
P12,Sample X372,0.083,
P13,Sample X373,0.074,
P14,Sample X374,0.078,
P15,Sample X375,0.077,
P16,Sample X376,0.077,
P17,Sample X377,0.076,
P18,Sample X378,0.078,
P19,Sample X379,0.080,
P20,Sample X380,0.084,
P21,Sample X381,0.080,
P22,Sample X382,0.075,
P23,Sample X383,0.055,
P24,Sample X384,0.050,
