Well,Content,Well Scan: Average (600),
J12,Sample X228,0.156,
J13,Sample X229,0.200,
J14,Sample X230,0.235,
J15,Sample X231,0.226,
J16,Sample X232,0.230,
J17,Sample X233,0.238,
J18,Sample X234,0.236,
J19,Sample X235,0.223,
J20,Sample X236,0.226,
J21,Sample X237,0.218,
J22,Sample X238,0.234,
J23,Sample X239,0.070,
J24,Sample X240,0.096,
K01,Sample X241,0.071,
K02,Sample X242,0.079,
K03,Sample X243,0.125,
K04,Sample X244,0.232,
K05,Sample X245,0.126,
K06,Sample X246,0.214,
K07,Sample X247,0.121,
K08,Sample X248,0.238,
K09,Sample X249,0.083,
K10,Sample X250,0.237,
K11,Sample X251,0.117,
K12,Sample X252,0.236,
K13,Sample X253,0.221,
K14,Sample X254,0.240,
K15,Sample X255,0.116,
K16,Sample X256,0.221,
K17,Sample X257,0.246,
K18,Sample X258,0.199,
K19,Sample X259,0.219,
K20,Sample X260,0.148,
K21,Sample X261,1.701,
K22,Sample X262,0.108,
K23,Sample X263,0.078,
K24,Sample X264,0.075,
L01,Sample X265,0.075,
L02,Sample X266,0.088,
L03,Sample X267,0.235,
L04,Sample X268,0.119,
L05,Sample X269,0.166,
L06,Sample X270,0.246,
L07,Sample X271,0.223,
L08,Sample X272,0.223,
L09,Sample X273,0.138,
L10,Sample X274,0.216,
L11,Sample X275,0.116,
L12,Sample X276,0.212,
L13,Sample X277,0.229,
L14,Sample X278,0.232,
L15,Sample X279,0.218,
L16,Sample X280,0.232,
L17,Sample X281,0.162,
L18,Sample X282,0.228,
L19,Sample X283,0.114,
L20,Sample X284,0.222,
L21,Sample X285,0.205,
L22,Sample X286,0.236,
L23,Sample X287,0.072,
L24,Sample X288,0.075,
M01,Sample X289,0.157,
M02,Sample X290,0.067,
M03,Sample X291,0.233,
M04,Sample X292,0.171,
M05,Sample X293,0.181,
M06,Sample X294,0.204,
M07,Sample X295,0.233,
M08,Sample X296,0.219,
M09,Sample X297,0.247,
M10,Sample X298,0.086,
M11,Sample X299,0.219,
M12,Sample X300,0.226,
M13,Sample X301,0.250,
M14,Sample X302,0.123,
M15,Sample X303,0.114,
M16,Sample X304,0.181,
M17,Sample X305,0.177,
M18,Sample X306,0.124,
M19,Sample X307,0.218,
M20,Sample X308,0.221,
M21,Sample X309,0.219,
M22,Sample X310,0.156,
M23,Sample X311,0.071,
M24,Sample X312,0.088,
N01,Sample X313,0.071,
N02,Sample X314,0.074,
N03,Sample X315,0.242,
N04,Sample X316,0.238,
N05,Sample X317,0.112,
N06,Sample X318,0.230,
N07,Sample X319,0.230,
N08,Sample X320,0.240,
N09,Sample X321,0.124,
N10,Sample X322,0.218,
N11,Sample X323,0.251,
N12,Sample X324,0.229,
N13,Sample X325,0.197,
N14,Sample X326,0.214,
N15,Sample X327,0.192,
N16,Sample X328,0.217,
N17,Sample X329,0.227,
N18,Sample X330,0.245,
N19,Sample X331,0.232,
N20,Sample X332,0.224,
N21,Sample X333,0.221,
N22,Sample X334,0.214,
N23,Sample X335,0.068,
N24,Sample X336,0.081,
O01,Sample X337,0.064,
O02,Sample X338,0.068,
O03,Sample X339,0.255,
O04,Sample X340,0.099,
O05,Sample X341,0.223,
O06,Sample X342,0.135,
O07,Sample X343,0.141,
O08,Sample X344,0.115,
O09,Sample X345,0.291,
O10,Sample X346,0.127,
O11,Sample X347,0.109,
O12,Sample X348,0.141,
O13,Sample X349,0.111,
O14,Sample X350,0.118,
O15,Sample X351,0.218,
O16,Sample X352,0.234,
O17,Sample X353,0.266,
O18,Sample X354,0.229,
O19,Sample X355,0.231,
O20,Sample X356,0.233,
O21,Sample X357,0.231,
O22,Sample X358,0.223,
O23,Sample X359,0.068,
O24,Sample X360,0.073,
P01,Sample X361,0.074,
P02,Sample X362,0.072,
P03,Sample X363,0.098,
P04,Sample X364,0.110,
P05,Sample X365,0.109,
P06,Sample X366,0.114,
P07,Sample X367,0.131,
P08,Sample X368,0.132,
P09,Sample X369,0.134,
P10,Sample X370,0.109,
P11,Sample X371,0.103,
P12,Sample X372,0.107,
P13,Sample X373,0.234,
P14,Sample X374,0.241,
P15,Sample X375,0.242,
P16,Sample X376,0.229,
P17,Sample X377,0.252,
P18,Sample X378,0.235,
P19,Sample X379,0.229,
P20,Sample X380,0.233,
P21,Sample X381,0.245,
P22,Sample X382,0.232,
P23,Sample X383,0.063,
P24,Sample X384,0.072,
