Well,Content,Well Scan: Average (600),
A01,Sample X1,0.074,
A02,Sample X2,0.075,
A03,Sample X3,0.091,
A04,Sample X4,0.099,
A05,Sample X5,0.083,
A06,Sample X6,0.091,
A07,Sample X7,0.081,
A08,Sample X8,0.100,
A09,Sample X9,0.103,
A10,Sample X10,0.092,
A11,Sample X11,0.097,
A12,Sample X12,0.127,
A13,Sample X13,0.110,
A14,Sample X14,0.106,
A15,Sample X15,0.098,
A16,Sample X16,0.118,
A17,Sample X17,0.106,
A18,Sample X18,0.533,
A19,Sample X19,0.417,
A20,Sample X20,0.381,
A21,Sample X21,0.387,
A22,Sample X22,0.406,
A23,Sample X23,0.073,
A24,Sample X24,0.074,
B01,Sample X25,0.076,
B02,Sample X26,0.106,
B03,Sample X27,0.098,
B04,Sample X28,0.456,
B05,Sample X29,0.366,
B06,Sample X30,0.372,
B07,Sample X31,0.419,
B08,Sample X32,0.363,
B09,Sample X33,0.404,
B10,Sample X34,0.397,
B11,Sample X35,0.086,
B12,Sample X36,0.406,
B13,Sample X37,0.391,
B14,Sample X38,0.395,
B15,Sample X39,0.423,
B16,Sample X40,0.381,
B17,Sample X41,0.588,
B18,Sample X42,0.371,
B19,Sample X43,0.362,
B20,Sample X44,0.354,
B21,Sample X45,0.478,
B22,Sample X46,0.441,
B23,Sample X47,0.073,
B24,Sample X48,0.068,
C01,Sample X49,0.083,
C02,Sample X50,0.077,
C03,Sample X51,0.381,
C04,Sample X52,0.351,
C05,Sample X53,0.396,
C06,Sample X54,0.396,
C07,Sample X55,0.365,
C08,Sample X56,0.131,
C09,Sample X57,0.350,
C10,Sample X58,0.294,
C11,Sample X59,0.367,
C12,Sample X60,0.094,
C13,Sample X61,0.098,
C14,Sample X62,0.104,
C15,Sample X63,0.349,
C16,Sample X64,0.334,
C17,Sample X65,0.371,
C18,Sample X66,0.368,
C19,Sample X67,0.319,
C20,Sample X68,0.370,
C21,Sample X69,0.350,
C22,Sample X70,0.728,
C23,Sample X71,0.071,
C24,Sample X72,0.066,
D01,Sample X73,0.077,
D02,Sample X74,0.080,
D03,Sample X75,0.114,
D04,Sample X76,0.387,
D05,Sample X77,0.481,
D06,Sample X78,0.343,
D07,Sample X79,0.346,
D08,Sample X80,0.403,
D09,Sample X81,0.094,
D10,Sample X82,0.505,
D11,Sample X83,0.390,
D12,Sample X84,0.453,
D13,Sample X85,0.096,
D14,Sample X86,0.366,
D15,Sample X87,0.151,
D16,Sample X88,0.300,
D17,Sample X89,0.121,
D18,Sample X90,0.251,
D19,Sample X91,0.177,
D20,Sample X92,0.104,
D21,Sample X93,0.111,
D22,Sample X94,0.100,
D23,Sample X95,0.069,
D24,Sample X96,0.065,
E01,Sample X97,0.071,
E02,Sample X98,0.071,
E03,Sample X99,0.080,
E04,Sample X100,0.332,
E05,Sample X101,0.105,
E06,Sample X102,0.281,
E07,Sample X103,0.103,
E08,Sample X104,0.112,
E09,Sample X105,0.366,
E10,Sample X106,0.109,
E11,Sample X107,0.096,
E12,Sample X108,0.099,
E13,Sample X109,0.474,
E14,Sample X110,0.344,
E15,Sample X111,0.096,
E16,Sample X112,0.332,
E17,Sample X113,0.513,
E18,Sample X114,0.096,
E19,Sample X115,0.087,
E20,Sample X116,0.102,
E21,Sample X117,0.558,
E22,Sample X118,0.092,
E23,Sample X119,0.069,
E24,Sample X120,0.063,
F01,Sample X121,0.077,
F02,Sample X122,0.079,
F03,Sample X123,0.114,
F04,Sample X124,0.119,
F05,Sample X125,0.211,
F06,Sample X126,0.110,
F07,Sample X127,0.300,
F08,Sample X128,0.325,
F09,Sample X129,0.144,
F10,Sample X130,0.337,
F11,Sample X131,0.337,
F12,Sample X132,0.338,
F13,Sample X133,0.096,
F14,Sample X134,0.340,
F15,Sample X135,0.325,
F16,Sample X136,0.429,
F17,Sample X137,0.405,
