Well,Content,Well Scan: Average (600),
A01,Sample X1,0.070,
A02,Sample X2,0.068,
A03,Sample X3,0.627,
A04,Sample X4,0.666,
A05,Sample X5,0.700,
A06,Sample X6,0.704,
A07,Sample X7,0.661,
A08,Sample X8,0.107,
A09,Sample X9,0.080,
A10,Sample X10,0.057,
A11,Sample X11,0.057,
A12,Sample X12,0.060,
A13,Sample X13,0.099,
A14,Sample X14,0.072,
A15,Sample X15,0.059,
A16,Sample X16,0.057,
A17,Sample X17,0.053,
A18,Sample X18,0.471,
A19,Sample X19,0.448,
A20,Sample X20,0.526,
A21,Sample X21,0.509,
A22,Sample X22,0.557,
A23,Sample X23,0.051,
A24,Sample X24,0.095,
B01,Sample X25,0.064,
B02,Sample X26,0.063,
B03,Sample X27,0.547,
B04,Sample X28,0.588,
B05,Sample X29,0.519,
B06,Sample X30,0.540,
B07,Sample X31,0.483,
B08,Sample X32,0.505,
B09,Sample X33,0.509,
B10,Sample X34,0.456,
B11,Sample X35,0.456,
B12,Sample X36,0.525,
B13,Sample X37,0.459,
B14,Sample X38,0.463,
B15,Sample X39,0.464,
B16,Sample X40,0.494,
B17,Sample X41,0.484,
B18,Sample X42,0.421,
B19,Sample X43,0.447,
B20,Sample X44,0.471,
B21,Sample X45,0.457,
B22,Sample X46,0.448,
B23,Sample X47,0.063,
B24,Sample X48,0.121,
C01,Sample X49,0.056,
C02,Sample X50,0.060,
C03,Sample X51,0.059,
C04,Sample X52,0.135,
C05,Sample X53,0.302,
C06,Sample X54,0.260,
C07,Sample X55,0.346,
C08,Sample X56,0.313,
C09,Sample X57,0.376,
C10,Sample X58,0.415,
C11,Sample X59,0.411,
C12,Sample X60,0.430,
C13,Sample X61,0.456,
C14,Sample X62,0.426,
C15,Sample X63,0.285,
C16,Sample X64,0.263,
C17,Sample X65,0.479,
C18,Sample X66,0.373,
C19,Sample X67,0.243,
C20,Sample X68,0.405,
C21,Sample X69,0.405,
C22,Sample X70,0.419,
C23,Sample X71,0.056,
C24,Sample X72,0.049,
