Well,Content,Well Scan: Average (600),
J12,Sample X228,0.435,
J13,Sample X229,0.121,
J14,Sample X230,0.418,
J15,Sample X231,0.079,
J16,Sample X232,0.455,
J17,Sample X233,0.393,
J18,Sample X234,0.337,
J19,Sample X235,0.077,
J20,Sample X236,0.598,
J21,Sample X237,0.220,
J22,Sample X238,0.410,
J23,Sample X239,0.052,
J24,Sample X240,0.060,
K01,Sample X241,0.055,
K02,Sample X242,0.058,
K03,Sample X243,0.356,
K04,Sample X244,0.322,
K05,Sample X245,0.591,
K06,Sample X246,0.446,
K07,Sample X247,0.413,
K08,Sample X248,0.479,
K09,Sample X249,0.481,
K10,Sample X250,0.430,
K11,Sample X251,0.352,
K12,Sample X252,0.454,
K13,Sample X253,0.465,
K14,Sample X254,0.441,
K15,Sample X255,0.210,
K16,Sample X256,0.427,
K17,Sample X257,0.422,
K18,Sample X258,0.366,
K19,Sample X259,0.181,
K20,Sample X260,0.447,
K21,Sample X261,0.447,
K22,Sample X262,0.424,
K23,Sample X263,0.053,
K24,Sample X264,0.058,
L01,Sample X265,0.049,
L02,Sample X266,0.053,
L03,Sample X267,0.084,
L04,Sample X268,0.458,
L05,Sample X269,0.410,
L06,Sample X270,0.468,
L07,Sample X271,0.405,
L08,Sample X272,0.486,
L09,Sample X273,0.421,
L10,Sample X274,0.412,
L11,Sample X275,0.383,
L12,Sample X276,0.402,
L13,Sample X277,0.394,
L14,Sample X278,0.432,
L15,Sample X279,0.441,
L16,Sample X280,0.480,
L17,Sample X281,0.426,
L18,Sample X282,0.407,
L19,Sample X283,0.402,
L20,Sample X284,0.431,
L21,Sample X285,0.473,
L22,Sample X286,0.403,
L23,Sample X287,0.064,
L24,Sample X288,0.055,
M01,Sample X289,0.076,
M02,Sample X290,0.050,
M03,Sample X291,0.357,
M04,Sample X292,0.398,
M05,Sample X293,0.467,
M06,Sample X294,0.401,
M07,Sample X295,0.448,
M08,Sample X296,0.466,
M09,Sample X297,0.434,
M10,Sample X298,0.428,
M11,Sample X299,0.412,
M12,Sample X300,0.457,
M13,Sample X301,0.289,
M14,Sample X302,0.480,
M15,Sample X303,0.428,
M16,Sample X304,0.525,
M17,Sample X305,0.266,
M18,Sample X306,0.432,
M19,Sample X307,0.333,
M20,Sample X308,0.432,
M21,Sample X309,0.165,
M22,Sample X310,0.271,
M23,Sample X311,0.052,
M24,Sample X312,0.053,
N01,Sample X313,0.071,
N02,Sample X314,0.050,
N03,Sample X315,0.369,
N04,Sample X316,0.429,
N05,Sample X317,0.422,
N06,Sample X318,0.384,
N07,Sample X319,0.446,
N08,Sample X320,0.429,
N09,Sample X321,0.429,
N10,Sample X322,0.405,
N11,Sample X323,0.373,
N12,Sample X324,0.382,
N13,Sample X325,0.511,
N14,Sample X326,0.387,
N15,Sample X327,0.417,
N16,Sample X328,0.402,
N17,Sample X329,0.392,
N18,Sample X330,0.351,
N19,Sample X331,0.359,
N20,Sample X332,0.475,
N21,Sample X333,0.645,
N22,Sample X334,0.368,
N23,Sample X335,0.051,
N24,Sample X336,0.056,
O01,Sample X337,0.073,
O02,Sample X338,0.048,
O03,Sample X339,0.325,
O04,Sample X340,0.429,
O05,Sample X341,0.404,
O06,Sample X342,0.484,
O07,Sample X343,0.420,
O08,Sample X344,0.444,
O09,Sample X345,0.419,
O10,Sample X346,0.436,
O11,Sample X347,0.337,
O12,Sample X348,0.354,
O13,Sample X349,0.348,
O14,Sample X350,0.351,
O15,Sample X351,0.349,
O16,Sample X352,0.368,
O17,Sample X353,0.417,
O18,Sample X354,0.399,
O19,Sample X355,0.383,
O20,Sample X356,0.396,
O21,Sample X357,0.373,
O22,Sample X358,0.439,
O23,Sample X359,0.054,
O24,Sample X360,0.054,
P01,Sample X361,0.067,
P02,Sample X362,0.051,
P03,Sample X363,0.180,
P04,Sample X364,0.192,
P05,Sample X365,0.199,
P06,Sample X366,0.148,
P07,Sample X367,0.094,
P08,Sample X368,0.411,
P09,Sample X369,0.366,
P10,Sample X370,0.270,
P11,Sample X371,0.166,
P12,Sample X372,0.139,
P13,Sample X373,0.322,
P14,Sample X374,0.351,
P15,Sample X375,0.381,
P16,Sample X376,0.400,
P17,Sample X377,0.351,
P18,Sample X378,0.326,
P19,Sample X379,0.363,
P20,Sample X380,0.349,
P21,Sample X381,0.426,
P22,Sample X382,0.356,
P23,Sample X383,0.074,
P24,Sample X384,0.052,
