Well,Content,Well Scan: Average (600),
J12,Sample X228,0.689,
J13,Sample X229,0.532,
J14,Sample X230,0.560,
J15,Sample X231,0.699,
J16,Sample X232,0.479,
J17,Sample X233,0.424,
J18,Sample X234,0.623,
J19,Sample X235,0.488,
J20,Sample X236,0.561,
J21,Sample X237,1.105,
J22,Sample X238,0.726,
J23,Sample X239,0.049,
J24,Sample X240,0.052,
K01,Sample X241,0.311,
K02,Sample X242,0.067,
K03,Sample X243,0.138,
K04,Sample X244,1.014,
K05,Sample X245,0.323,
K06,Sample X246,0.375,
K07,Sample X247,0.243,
K08,Sample X248,0.713,
K09,Sample X249,0.801,
K10,Sample X250,0.651,
K11,Sample X251,0.401,
K12,Sample X252,0.592,
K13,Sample X253,0.537,
K14,Sample X254,0.509,
K15,Sample X255,0.190,
K16,Sample X256,0.639,
K17,Sample X257,0.439,
K18,Sample X258,0.485,
K19,Sample X259,0.469,
K20,Sample X260,0.507,
K21,Sample X261,0.202,
K22,Sample X262,0.200,
K23,Sample X263,0.461,
K24,Sample X264,0.226,
L01,Sample X265,0.060,
L02,Sample X266,0.055,
L03,Sample X267,0.515,
L04,Sample X268,0.493,
L05,Sample X269,0.495,
L06,Sample X270,0.730,
L07,Sample X271,0.755,
L08,Sample X272,0.379,
L09,Sample X273,0.198,
L10,Sample X274,0.448,
L11,Sample X275,0.070,
L12,Sample X276,0.526,
L13,Sample X277,0.530,
L14,Sample X278,0.411,
L15,Sample X279,0.656,
L16,Sample X280,0.724,
L17,Sample X281,0.577,
L18,Sample X282,0.692,
L19,Sample X283,0.533,
L20,Sample X284,0.639,
L21,Sample X285,0.749,
L22,Sample X286,0.866,
L23,Sample X287,0.051,
L24,Sample X288,0.049,
M01,Sample X289,0.055,
M02,Sample X290,0.047,
M03,Sample X291,0.504,
M04,Sample X292,0.361,
M05,Sample X293,0.487,
M06,Sample X294,0.824,
M07,Sample X295,0.485,
M08,Sample X296,0.351,
M09,Sample X297,0.355,
M10,Sample X298,0.811,
M11,Sample X299,0.449,
M12,Sample X300,0.336,
M13,Sample X301,0.380,
M14,Sample X302,0.208,
M15,Sample X303,0.196,
M16,Sample X304,0.228,
M17,Sample X305,0.413,
M18,Sample X306,0.777,
M19,Sample X307,0.810,
M20,Sample X308,0.539,
M21,Sample X309,0.517,
M22,Sample X310,0.450,
M23,Sample X311,0.174,
M24,Sample X312,0.047,
N01,Sample X313,0.072,
N02,Sample X314,0.055,
N03,Sample X315,0.892,
N04,Sample X316,0.691,
N05,Sample X317,0.170,
N06,Sample X318,0.559,
N07,Sample X319,0.596,
N08,Sample X320,0.421,
N09,Sample X321,0.502,
N10,Sample X322,0.354,
N11,Sample X323,0.650,
N12,Sample X324,0.614,
N13,Sample X325,0.801,
N14,Sample X326,0.502,
N15,Sample X327,0.659,
N16,Sample X328,0.805,
N17,Sample X329,0.681,
N18,Sample X330,0.733,
N19,Sample X331,0.727,
N20,Sample X332,0.725,
N21,Sample X333,0.779,
N22,Sample X334,0.784,
N23,Sample X335,0.047,
N24,Sample X336,0.048,
O01,Sample X337,0.068,
O02,Sample X338,0.052,
O03,Sample X339,0.690,
O04,Sample X340,0.186,
O05,Sample X341,0.828,
O06,Sample X342,0.204,
O07,Sample X343,0.359,
O08,Sample X344,0.079,
O09,Sample X345,0.681,
O10,Sample X346,0.337,
O11,Sample X347,0.148,
O12,Sample X348,0.437,
O13,Sample X349,0.503,
O14,Sample X350,0.223,
O15,Sample X351,0.641,
O16,Sample X352,0.714,
O17,Sample X353,0.833,
O18,Sample X354,0.516,
O19,Sample X355,0.708,
O20,Sample X356,0.544,
O21,Sample X357,0.891,
O22,Sample X358,0.618,
O23,Sample X359,0.053,
O24,Sample X360,0.049,
P01,Sample X361,0.064,
P02,Sample X362,0.054,
P03,Sample X363,0.132,
P04,Sample X364,0.169,
P05,Sample X365,0.168,
P06,Sample X366,0.159,
P07,Sample X367,0.217,
P08,Sample X368,0.440,
P09,Sample X369,0.345,
P10,Sample X370,0.281,
P11,Sample X371,0.082,
P12,Sample X372,0.088,
P13,Sample X373,0.474,
P14,Sample X374,0.514,
P15,Sample X375,0.495,
P16,Sample X376,0.551,
P17,Sample X377,0.495,
P18,Sample X378,0.536,
P19,Sample X379,0.678,
P20,Sample X380,0.574,
P21,Sample X381,0.572,
P22,Sample X382,0.666,
P23,Sample X383,0.047,
P24,Sample X384,0.050,
