Well,Content,Well Scan: Average (600),
J12,Sample X228,0.082,
J13,Sample X229,0.130,
J14,Sample X230,0.099,
J15,Sample X231,0.113,
J16,Sample X232,0.117,
J17,Sample X233,0.067,
J18,Sample X234,0.129,
J19,Sample X235,0.086,
J20,Sample X236,0.102,
J21,Sample X237,0.137,
J22,Sample X238,0.077,
J23,Sample X239,0.049,
J24,Sample X240,0.067,
K01,Sample X241,0.067,
K02,Sample X242,0.095,
K03,Sample X243,0.118,
K04,Sample X244,0.118,
K05,Sample X245,0.123,
K06,Sample X246,0.138,
K07,Sample X247,0.179,
K08,Sample X248,0.128,
K09,Sample X249,0.151,
K10,Sample X250,0.161,
K11,Sample X251,0.147,
K12,Sample X252,0.088,
K13,Sample X253,0.146,
K14,Sample X254,0.109,
K15,Sample X255,0.111,
K16,Sample X256,0.123,
K17,Sample X257,0.121,
K18,Sample X258,0.116,
K19,Sample X259,0.125,
K20,Sample X260,0.129,
K21,Sample X261,0.125,
K22,Sample X262,0.279,
K23,Sample X263,0.053,
K24,Sample X264,0.059,
L01,Sample X265,0.066,
L02,Sample X266,0.054,
L03,Sample X267,0.115,
L04,Sample X268,0.122,
L05,Sample X269,0.121,
L06,Sample X270,0.435,
L07,Sample X271,0.125,
L08,Sample X272,0.142,
L09,Sample X273,0.152,
L10,Sample X274,0.245,
L11,Sample X275,0.219,
L12,Sample X276,0.177,
L13,Sample X277,0.126,
L14,Sample X278,0.146,
L15,Sample X279,0.101,
L16,Sample X280,0.077,
L17,Sample X281,0.123,
L18,Sample X282,0.141,
L19,Sample X283,0.226,
L20,Sample X284,0.103,
L21,Sample X285,0.130,
L22,Sample X286,0.137,
L23,Sample X287,0.053,
L24,Sample X288,0.077,
M01,Sample X289,0.054,
M02,Sample X290,0.052,
M03,Sample X291,0.113,
M04,Sample X292,0.107,
M05,Sample X293,0.088,
M06,Sample X294,0.201,
M07,Sample X295,0.128,
M08,Sample X296,0.106,
M09,Sample X297,0.142,
M10,Sample X298,0.146,
M11,Sample X299,0.254,
M12,Sample X300,0.162,
M13,Sample X301,0.170,
M14,Sample X302,0.160,
M15,Sample X303,0.126,
M16,Sample X304,0.146,
M17,Sample X305,0.137,
M18,Sample X306,0.152,
M19,Sample X307,0.123,
M20,Sample X308,0.123,
M21,Sample X309,0.119,
M22,Sample X310,0.152,
M23,Sample X311,0.072,
M24,Sample X312,0.052,
N01,Sample X313,0.071,
N02,Sample X314,0.052,
N03,Sample X315,0.112,
N04,Sample X316,0.107,
N05,Sample X317,0.157,
N06,Sample X318,0.110,
N07,Sample X319,0.114,
N08,Sample X320,0.092,
N09,Sample X321,0.110,
N10,Sample X322,0.060,
N11,Sample X323,0.103,
N12,Sample X324,0.128,
N13,Sample X325,0.110,
N14,Sample X326,0.177,
N15,Sample X327,0.105,
N16,Sample X328,0.142,
N17,Sample X329,0.101,
N18,Sample X330,0.078,
N19,Sample X331,0.099,
N20,Sample X332,0.070,
N21,Sample X333,0.133,
N22,Sample X334,0.218,
N23,Sample X335,0.105,
N24,Sample X336,0.055,
O01,Sample X337,0.066,
O02,Sample X338,0.054,
O03,Sample X339,0.200,
O04,Sample X340,0.185,
O05,Sample X341,0.177,
O06,Sample X342,0.200,
O07,Sample X343,0.188,
O08,Sample X344,0.199,
O09,Sample X345,0.201,
O10,Sample X346,0.188,
O11,Sample X347,0.178,
O12,Sample X348,0.179,
O13,Sample X349,0.258,
O14,Sample X350,0.196,
O15,Sample X351,0.197,
O16,Sample X352,0.188,
O17,Sample X353,0.217,
O18,Sample X354,0.178,
O19,Sample X355,0.155,
O20,Sample X356,0.140,
O21,Sample X357,0.092,
O22,Sample X358,0.053,
O23,Sample X359,0.048,
O24,Sample X360,0.049,
P01,Sample X361,0.058,
P02,Sample X362,0.061,
P03,Sample X363,0.099,
P04,Sample X364,0.104,
P05,Sample X365,0.101,
P06,Sample X366,0.113,
P07,Sample X367,0.158,
P08,Sample X368,0.115,
P09,Sample X369,0.089,
P10,Sample X370,0.091,
P11,Sample X371,0.093,
P12,Sample X372,0.100,
P13,Sample X373,0.202,
P14,Sample X374,0.165,
P15,Sample X375,0.185,
P16,Sample X376,0.238,
P17,Sample X377,0.203,
P18,Sample X378,0.198,
P19,Sample X379,0.175,
P20,Sample X380,0.156,
P21,Sample X381,0.066,
P22,Sample X382,0.113,
P23,Sample X383,0.053,
P24,Sample X384,0.057,
