Well,Content,Well Scan: Average (600),
A01,Sample X1,0.120,
A02,Sample X2,0.118,
A03,Sample X3,0.172,
A04,Sample X4,0.097,
A05,Sample X5,0.095,
A06,Sample X6,0.108,
A07,Sample X7,0.111,
A08,Sample X8,0.087,
A09,Sample X9,0.072,
A10,Sample X10,0.072,
A11,Sample X11,0.073,
A12,Sample X12,0.081,
A13,Sample X13,0.090,
A14,Sample X14,0.067,
A15,Sample X15,0.057,
A16,Sample X16,0.061,
A17,Sample X17,0.072,
A18,Sample X18,0.557,
A19,Sample X19,0.482,
A20,Sample X20,0.584,
A21,Sample X21,0.716,
A22,Sample X22,0.541,
A23,Sample X23,0.069,
A24,Sample X24,0.090,
B01,Sample X25,0.065,
B02,Sample X26,0.065,
B03,Sample X27,0.594,
B04,Sample X28,0.497,
B05,Sample X29,0.605,
B06,Sample X30,0.471,
B07,Sample X31,0.735,
B08,Sample X32,0.533,
B09,Sample X33,0.555,
B10,Sample X34,0.526,
B11,Sample X35,0.586,
B12,Sample X36,0.525,
B13,Sample X37,0.550,
B14,Sample X38,0.528,
B15,Sample X39,0.488,
B16,Sample X40,0.506,
B17,Sample X41,0.585,
B18,Sample X42,0.577,
B19,Sample X43,0.465,
B20,Sample X44,0.511,
B21,Sample X45,0.646,
B22,Sample X46,0.679,
B23,Sample X47,0.062,
B24,Sample X48,0.065,
C01,Sample X49,0.056,
C02,Sample X50,0.059,
C03,Sample X51,0.562,
C04,Sample X52,0.531,
C05,Sample X53,0.437,
C06,Sample X54,0.616,
C07,Sample X55,0.067,
C08,Sample X56,0.467,
C09,Sample X57,0.720,
C10,Sample X58,0.651,
C11,Sample X59,0.467,
C12,Sample X60,0.061,
C13,Sample X61,0.481,
C14,Sample X62,0.643,
C15,Sample X63,0.553,
C16,Sample X64,0.515,
C17,Sample X65,0.090,
C18,Sample X66,0.057,
C19,Sample X67,0.549,
C20,Sample X68,0.498,
C21,Sample X69,0.398,
C22,Sample X70,0.504,
C23,Sample X71,0.050,
C24,Sample X72,0.048,
D01,Sample X73,0.073,
D02,Sample X74,0.061,
D03,Sample X75,0.436,
D04,Sample X76,0.514,
D05,Sample X77,0.063,
D06,Sample X78,0.444,
D07,Sample X79,0.405,
D08,Sample X80,0.545,
D09,Sample X81,0.463,
D10,Sample X82,0.511,
D11,Sample X83,0.624,
D12,Sample X84,0.495,
D13,Sample X85,0.569,
D14,Sample X86,0.526,
D15,Sample X87,0.471,
D16,Sample X88,0.550,
D17,Sample X89,0.489,
D18,Sample X90,0.504,
D19,Sample X91,0.440,
D20,Sample X92,0.064,
D21,Sample X93,0.063,
D22,Sample X94,0.446,
D23,Sample X95,0.053,
D24,Sample X96,0.051,
E01,Sample X97,0.065,
E02,Sample X98,0.062,
E03,Sample X99,0.506,
E04,Sample X100,0.536,
E05,Sample X101,0.061,
E06,Sample X102,0.723,
E07,Sample X103,0.453,
E08,Sample X104,0.413,
E09,Sample X105,0.425,
E10,Sample X106,0.446,
E11,Sample X107,0.393,
E12,Sample X108,0.412,
E13,Sample X109,0.479,
E14,Sample X110,0.525,
E15,Sample X111,0.520,
E16,Sample X112,0.530,
E17,Sample X113,0.530,
E18,Sample X114,0.062,
E19,Sample X115,0.312,
E20,Sample X116,0.225,
E21,Sample X117,0.490,
E22,Sample X118,0.076,
E23,Sample X119,0.066,
E24,Sample X120,0.065,
F01,Sample X121,0.070,
F02,Sample X122,0.056,
F03,Sample X123,0.531,
F04,Sample X124,0.533,
F05,Sample X125,0.507,
F06,Sample X126,0.594,
F07,Sample X127,0.173,
F08,Sample X128,0.612,
F09,Sample X129,0.113,
F10,Sample X130,0.066,
F11,Sample X131,0.598,
F12,Sample X132,0.458,
F13,Sample X133,0.374,
F14,Sample X134,0.540,
F15,Sample X135,0.429,
F16,Sample X136,0.476,
F17,Sample X137,0.424,
F18,Sample X138,0.445,
F19,Sample X139,0.315,
F20,Sample X140,0.418,
F21,Sample X141,0.079,
F22,Sample X142,0.067,
F23,Sample X143,0.089,
F24,Sample X144,0.054,
G01,Sample X145,0.074,
G02,Sample X146,0.056,
G03,Sample X147,0.509,
G04,Sample X148,0.576,
G05,Sample X149,0.628,
G06,Sample X150,0.507,
G07,Sample X151,0.484,
G08,Sample X152,0.504,
G09,Sample X153,0.369,
G10,Sample X154,0.104,
G11,Sample X155,0.477,
G12,Sample X156,0.293,
G13,Sample X157,0.084,
G14,Sample X158,0.177,
G15,Sample X159,0.069,
G16,Sample X160,0.075,
G17,Sample X161,0.073,
G18,Sample X162,0.371,
G19,Sample X163,0.517,
G20,Sample X164,0.097,
G21,Sample X165,0.502,
G22,Sample X166,0.076,
G23,Sample X167,0.062,
G24,Sample X168,0.057,
H01,Sample X169,0.062,
H02,Sample X170,0.058,
H03,Sample X171,0.709,
H04,Sample X172,0.552,
H05,Sample X173,0.440,
H06,Sample X174,0.369,
H07,Sample X175,0.596,
H08,Sample X176,0.466,
H09,Sample X177,0.630,
H10,Sample X178,0.402,
H11,Sample X179,0.462,
H12,Sample X180,0.656,
H13,Sample X181,0.106,
H14,Sample X182,0.677,
H15,Sample X183,0.447,
H16,Sample X184,0.436,
H17,Sample X185,0.574,
H18,Sample X186,0.485,
H19,Sample X187,0.460,
H20,Sample X188,0.478,
H21,Sample X189,0.452,
H22,Sample X190,0.505,
H23,Sample X191,0.057,
H24,Sample X192,0.056,
I01,Sample X193,0.075,
I02,Sample X194,0.052,
I03,Sample X195,0.447,
I04,Sample X196,0.511,
I05,Sample X197,0.381,
I06,Sample X198,0.409,
I07,Sample X199,0.248,
I08,Sample X200,0.402,
I09,Sample X201,0.605,
I10,Sample X202,0.924,
I11,Sample X203,0.484,
I12,Sample X204,0.530,
I13,Sample X205,0.541,
I14,Sample X206,0.402,
I15,Sample X207,0.511,
I16,Sample X208,0.370,
I17,Sample X209,0.070,
I18,Sample X210,0.536,
I19,Sample X211,0.384,
I20,Sample X212,0.492,
I21,Sample X213,0.531,
I22,Sample X214,0.535,
I23,Sample X215,0.058,
I24,Sample X216,0.055,
J01,Sample X217,0.071,
J02,Sample X218,0.059,
J03,Sample X219,0.110,
J04,Sample X220,0.665,
J05,Sample X221,0.493,
J06,Sample X222,0.431,
J07,Sample X223,0.395,
J08,Sample X224,0.601,
J09,Sample X225,0.445,
J10,Sample X226,0.455,
J11,Sample X227,0.436,
J12,Sample X228,0.594,
J13,Sample X229,0.408,
J14,Sample X230,0.327,
J15,Sample X231,0.494,
J16,Sample X232,0.504,
J17,Sample X233,0.175,
J18,Sample X234,0.449,
J19,Sample X235,0.481,
J20,Sample X236,0.410,
J21,Sample X237,0.393,
J22,Sample X238,0.452,
J23,Sample X239,0.057,
J24,Sample X240,0.053,
K01,Sample X241,0.060,
K02,Sample X242,0.056,
K03,Sample X243,0.506,
K04,Sample X244,0.530,
K05,Sample X245,0.092,
K06,Sample X246,0.547,
K07,Sample X247,0.343,
K08,Sample X248,0.480,
K09,Sample X249,0.417,
K10,Sample X250,0.440,
K11,Sample X251,0.069,
K12,Sample X252,0.342,
K13,Sample X253,0.489,
K14,Sample X254,0.535,
K15,Sample X255,0.065,
K16,Sample X256,0.627,
K17,Sample X257,0.371,
K18,Sample X258,0.355,
K19,Sample X259,0.388,
K20,Sample X260,0.422,
K21,Sample X261,0.062,
K22,Sample X262,0.836,
K23,Sample X263,0.057,
K24,Sample X264,0.054,
L01,Sample X265,0.062,
L02,Sample X266,0.056,
L03,Sample X267,0.441,
L04,Sample X268,0.460,
L05,Sample X269,0.381,
L06,Sample X270,0.520,
L07,Sample X271,0.440,
L08,Sample X272,0.485,
L09,Sample X273,0.259,
L10,Sample X274,0.482,
L11,Sample X275,0.357,
L12,Sample X276,0.406,
L13,Sample X277,0.469,
L14,Sample X278,0.072,
L15,Sample X279,0.117,
L16,Sample X280,0.346,
L17,Sample X281,0.075,
L18,Sample X282,0.422,
L19,Sample X283,0.385,
L20,Sample X284,0.403,
L21,Sample X285,0.447,
L22,Sample X286,0.425,
L23,Sample X287,0.066,
L24,Sample X288,0.053,
M01,Sample X289,0.061,
M02,Sample X290,0.048,
M03,Sample X291,0.071,
M04,Sample X292,0.469,
M05,Sample X293,0.491,
M06,Sample X294,0.375,
M07,Sample X295,0.483,
M08,Sample X296,0.168,
M09,Sample X297,0.342,
M10,Sample X298,0.405,
M11,Sample X299,0.324,
M12,Sample X300,0.062,
M13,Sample X301,0.320,
M14,Sample X302,0.059,
M15,Sample X303,0.541,
M16,Sample X304,0.087,
M17,Sample X305,0.315,
M18,Sample X306,0.067,
M19,Sample X307,0.486,
M20,Sample X308,0.418,
M21,Sample X309,0.467,
M22,Sample X310,0.479,
M23,Sample X311,0.048,
M24,Sample X312,0.053,
N01,Sample X313,0.071,
N02,Sample X314,0.049,
N03,Sample X315,0.508,
N04,Sample X316,0.460,
N05,Sample X317,0.358,
N06,Sample X318,0.521,
N07,Sample X319,0.465,
N08,Sample X320,0.084,
N09,Sample X321,0.056,
N10,Sample X322,0.058,
N11,Sample X323,0.442,
N12,Sample X324,0.452,
N13,Sample X325,0.544,
N14,Sample X326,0.414,
N15,Sample X327,0.401,
N16,Sample X328,0.543,
N17,Sample X329,0.430,
N18,Sample X330,0.434,
N19,Sample X331,0.505,
N20,Sample X332,0.440,
N21,Sample X333,0.376,
N22,Sample X334,0.528,
N23,Sample X335,0.060,
N24,Sample X336,0.058,
O01,Sample X337,0.073,
O02,Sample X338,0.051,
O03,Sample X339,0.438,
O04,Sample X340,0.464,
O05,Sample X341,0.552,
O06,Sample X342,0.348,
O07,Sample X343,0.695,
O08,Sample X344,0.447,
O09,Sample X345,0.524,
O10,Sample X346,0.063,
O11,Sample X347,0.558,
O12,Sample X348,0.459,
O13,Sample X349,0.468,
O14,Sample X350,0.541,
O15,Sample X351,0.435,
O16,Sample X352,0.471,
O17,Sample X353,0.662,
O18,Sample X354,0.505,
O19,Sample X355,0.474,
O20,Sample X356,0.427,
O21,Sample X357,0.413,
O22,Sample X358,0.474,
O23,Sample X359,0.055,
O24,Sample X360,0.057,
P01,Sample X361,0.066,
P02,Sample X362,0.053,
P03,Sample X363,0.063,
P04,Sample X364,0.059,
P05,Sample X365,0.100,
P06,Sample X366,0.068,
P07,Sample X367,0.108,
P08,Sample X368,0.057,
P09,Sample X369,0.061,
P10,Sample X370,0.072,
P11,Sample X371,0.058,
P12,Sample X372,0.057,
P13,Sample X373,0.506,
P14,Sample X374,0.445,
P15,Sample X375,0.519,
P16,Sample X376,0.544,
P17,Sample X377,0.427,
P18,Sample X378,0.454,
P19,Sample X379,0.515,
P20,Sample X380,0.417,
P21,Sample X381,0.471,
P22,Sample X382,0.453,
P23,Sample X383,0.047,
P24,Sample X384,0.060,
