Well,Content,Raw Data (600),
J12,Sample X228,1.233,
J13,Sample X229,0.612,
J14,Sample X230,1.639,
J15,Sample X231,0.297,
J16,Sample X232,1.115,
J17,Sample X233,2.571,
J18,Sample X234,1.131,
J19,Sample X235,0.890,
J20,Sample X236,2.304,
J21,Sample X237,0.354,
J22,Sample X238,1.485,
J23,Sample X239,0.162,
J24,Sample X240,0.296,
K01,Sample X241,0.161,
K02,Sample X242,0.161,
K03,Sample X243,0.974,
K04,Sample X244,0.596,
K05,Sample X245,0.856,
K06,Sample X246,0.982,
K07,Sample X247,0.958,
K08,Sample X248,1.095,
K09,Sample X249,2.236,
K10,Sample X250,0.246,
K11,Sample X251,1.698,
K12,Sample X252,2.084,
K13,Sample X253,2.155,
K14,Sample X254,2.423,
K15,Sample X255,0.553,
K16,Sample X256,2.018,
K17,Sample X257,2.589,
K18,Sample X258,2.124,
K19,Sample X259,0.595,
K20,Sample X260,2.298,
K21,Sample X261,2.760,
K22,Sample X262,2.125,
K23,Sample X263,0.152,
K24,Sample X264,0.161,
L01,Sample X265,0.174,
L02,Sample X266,0.165,
L03,Sample X267,0.795,
L04,Sample X268,0.927,
L05,Sample X269,0.881,
L06,Sample X270,0.974,
L07,Sample X271,1.002,
L08,Sample X272,1.080,
L09,Sample X273,0.993,
L10,Sample X274,1.113,
L11,Sample X275,1.135,
L12,Sample X276,1.009,
L13,Sample X277,1.037,
L14,Sample X278,1.212,
L15,Sample X279,1.698,
L16,Sample X280,1.159,
L17,Sample X281,1.350,
L18,Sample X282,1.315,
L19,Sample X283,1.735,
L20,Sample X284,1.409,
L21,Sample X285,1.152,
L22,Sample X286,1.453,
L23,Sample X287,0.162,
L24,Sample X288,0.162,
M01,Sample X289,0.157,
M02,Sample X290,0.162,
M03,Sample X291,1.145,
M04,Sample X292,1.647,
M05,Sample X293,0.836,
M06,Sample X294,1.040,
M07,Sample X295,0.979,
M08,Sample X296,0.809,
M09,Sample X297,1.061,
M10,Sample X298,1.083,
M11,Sample X299,1.095,
M12,Sample X300,1.020,
M13,Sample X301,0.447,
M14,Sample X302,1.639,
M15,Sample X303,1.313,
M16,Sample X304,1.642,
M17,Sample X305,0.769,
M18,Sample X306,2.007,
M19,Sample X307,2.262,
M20,Sample X308,2.175,
M21,Sample X309,0.324,
M22,Sample X310,0.336,
M23,Sample X311,0.164,
M24,Sample X312,0.159,
N01,Sample X313,0.163,
N02,Sample X314,0.159,
N03,Sample X315,1.292,
N04,Sample X316,1.007,
N05,Sample X317,0.839,
N06,Sample X318,0.911,
N07,Sample X319,0.981,
N08,Sample X320,1.143,
N09,Sample X321,1.055,
N10,Sample X322,1.035,
N11,Sample X323,0.984,
N12,Sample X324,1.075,
N13,Sample X325,1.067,
N14,Sample X326,1.292,
N15,Sample X327,1.244,
N16,Sample X328,1.164,
N17,Sample X329,1.477,
N18,Sample X330,1.368,
N19,Sample X331,1.304,
N20,Sample X332,1.434,
N21,Sample X333,1.414,
N22,Sample X334,1.544,
N23,Sample X335,0.158,
N24,Sample X336,0.203,
O01,Sample X337,0.156,
O02,Sample X338,0.180,
O03,Sample X339,1.401,
O04,Sample X340,1.114,
O05,Sample X341,1.189,
O06,Sample X342,0.892,
O07,Sample X343,1.170,
O08,Sample X344,1.122,
O09,Sample X345,1.060,
O10,Sample X346,1.152,
O11,Sample X347,1.277,
O12,Sample X348,1.348,
O13,Sample X349,1.099,
O14,Sample X350,1.152,
O15,Sample X351,1.173,
O16,Sample X352,1.269,
O17,Sample X353,1.264,
O18,Sample X354,1.696,
O19,Sample X355,1.313,
O20,Sample X356,1.267,
O21,Sample X357,1.363,
O22,Sample X358,1.367,
O23,Sample X359,0.156,
O24,Sample X360,0.177,
P01,Sample X361,0.161,
P02,Sample X362,0.158,
P03,Sample X363,0.371,
P04,Sample X364,0.378,
P05,Sample X365,0.310,
P06,Sample X366,0.298,
P07,Sample X367,0.254,
P08,Sample X368,0.558,
P09,Sample X369,0.552,
P10,Sample X370,0.588,
P11,Sample X371,0.500,
P12,Sample X372,0.332,
P13,Sample X373,1.428,
P14,Sample X374,1.543,
P15,Sample X375,1.635,
P16,Sample X376,1.592,
P17,Sample X377,1.601,
P18,Sample X378,1.704,
P19,Sample X379,1.813,
P20,Sample X380,1.681,
P21,Sample X381,1.716,
P22,Sample X382,1.723,
P23,Sample X383,0.165,
P24,Sample X384,0.162,
