Well,Content,Raw Data (600),
J12,Sample X228,2.149,
J13,Sample X229,2.398,
J14,Sample X230,2.254,
J15,Sample X231,2.321,
J16,Sample X232,2.318,
J17,Sample X233,2.352,
J18,Sample X234,2.256,
J19,Sample X235,2.129,
J20,Sample X236,2.149,
J21,Sample X237,2.034,
J22,Sample X238,1.839,
J23,Sample X239,0.146,
J24,Sample X240,0.150,
K01,Sample X241,0.153,
K02,Sample X242,0.157,
K03,Sample X243,1.883,
K04,Sample X244,2.169,
K05,Sample X245,0.192,
K06,Sample X246,1.901,
K07,Sample X247,0.170,
K08,Sample X248,1.952,
K09,Sample X249,2.302,
K10,Sample X250,2.123,
K11,Sample X251,0.159,
K12,Sample X252,2.422,
K13,Sample X253,2.241,
K14,Sample X254,1.745,
K15,Sample X255,0.165,
K16,Sample X256,2.370,
K17,Sample X257,2.091,
K18,Sample X258,2.175,
K19,Sample X259,2.283,
K20,Sample X260,0.547,
K21,Sample X261,0.169,
K22,Sample X262,0.176,
K23,Sample X263,0.146,
K24,Sample X264,0.144,
L01,Sample X265,0.158,
L02,Sample X266,0.165,
L03,Sample X267,0.326,
L04,Sample X268,2.476,
L05,Sample X269,2.241,
L06,Sample X270,2.150,
L07,Sample X271,2.140,
L08,Sample X272,2.372,
L09,Sample X273,2.180,
L10,Sample X274,2.594,
L11,Sample X275,2.173,
L12,Sample X276,0.180,
L13,Sample X277,2.432,
L14,Sample X278,0.167,
L15,Sample X279,1.766,
L16,Sample X280,2.015,
L17,Sample X281,0.185,
L18,Sample X282,2.381,
L19,Sample X283,2.036,
L20,Sample X284,2.007,
L21,Sample X285,2.193,
L22,Sample X286,1.702,
L23,Sample X287,0.143,
L24,Sample X288,0.144,
M01,Sample X289,0.151,
M02,Sample X290,0.153,
M03,Sample X291,0.182,
M04,Sample X292,2.019,
M05,Sample X293,2.356,
M06,Sample X294,2.414,
M07,Sample X295,2.101,
M08,Sample X296,0.262,
M09,Sample X297,0.182,
M10,Sample X298,2.354,
M11,Sample X299,2.388,
M12,Sample X300,0.171,
M13,Sample X301,2.588,
M14,Sample X302,0.162,
M15,Sample X303,0.742,
M16,Sample X304,0.201,
M17,Sample X305,1.686,
M18,Sample X306,0.199,
M19,Sample X307,1.967,
M20,Sample X308,2.404,
M21,Sample X309,2.238,
M22,Sample X310,1.073,
M23,Sample X311,0.140,
M24,Sample X312,0.138,
N01,Sample X313,0.154,
N02,Sample X314,0.156,
N03,Sample X315,1.314,
N04,Sample X316,0.167,
N05,Sample X317,1.810,
N06,Sample X318,1.913,
N07,Sample X319,2.204,
N08,Sample X320,0.268,
N09,Sample X321,0.164,
N10,Sample X322,0.174,
N11,Sample X323,1.487,
N12,Sample X324,1.049,
N13,Sample X325,1.889,
N14,Sample X326,1.962,
N15,Sample X327,2.197,
N16,Sample X328,0.159,
N17,Sample X329,1.830,
N18,Sample X330,1.587,
N19,Sample X331,1.562,
N20,Sample X332,1.838,
N21,Sample X333,0.566,
N22,Sample X334,1.440,
N23,Sample X335,0.195,
N24,Sample X336,0.192,
O01,Sample X337,0.154,
O02,Sample X338,0.158,
O03,Sample X339,1.222,
O04,Sample X340,1.729,
O05,Sample X341,1.756,
O06,Sample X342,1.910,
O07,Sample X343,1.875,
O08,Sample X344,2.125,
O09,Sample X345,2.097,
O10,Sample X346,1.978,
O11,Sample X347,1.917,
O12,Sample X348,1.518,
O13,Sample X349,1.628,
O14,Sample X350,1.805,
O15,Sample X351,1.619,
O16,Sample X352,1.862,
O17,Sample X353,1.769,
O18,Sample X354,1.923,
O19,Sample X355,1.641,
O20,Sample X356,1.678,
O21,Sample X357,1.577,
O22,Sample X358,1.536,
O23,Sample X359,0.160,
O24,Sample X360,0.191,
P01,Sample X361,0.156,
P02,Sample X362,0.153,
P03,Sample X363,0.163,
P04,Sample X364,0.171,
P05,Sample X365,0.167,
P06,Sample X366,0.171,
P07,Sample X367,0.242,
P08,Sample X368,0.224,
P09,Sample X369,0.185,
P10,Sample X370,0.167,
P11,Sample X371,0.157,
P12,Sample X372,0.159,
P13,Sample X373,1.664,
P14,Sample X374,1.556,
P15,Sample X375,1.415,
P16,Sample X376,1.627,
P17,Sample X377,1.436,
P18,Sample X378,1.436,
P19,Sample X379,1.456,
P20,Sample X380,1.359,
P21,Sample X381,1.453,
P22,Sample X382,1.266,
P23,Sample X383,0.129,
P24,Sample X384,0.141,
