Well,Content,Well Scan: Average (600),
J12,Sample X228,0.114,
J13,Sample X229,0.333,
J14,Sample X230,0.188,
J15,Sample X231,0.199,
J16,Sample X232,0.211,
J17,Sample X233,0.201,
J18,Sample X234,0.212,
J19,Sample X235,0.246,
J20,Sample X236,0.188,
J21,Sample X237,0.310,
J22,Sample X238,0.251,
J23,Sample X239,0.065,
J24,Sample X240,0.057,
K01,Sample X241,0.056,
K02,Sample X242,0.067,
K03,Sample X243,0.094,
K04,Sample X244,0.225,
K05,Sample X245,0.107,
K06,Sample X246,0.165,
K07,Sample X247,0.100,
K08,Sample X248,0.168,
K09,Sample X249,0.098,
K10,Sample X250,0.279,
K11,Sample X251,0.216,
K12,Sample X252,0.205,
K13,Sample X253,0.190,
K14,Sample X254,0.206,
K15,Sample X255,0.089,
K16,Sample X256,0.233,
K17,Sample X257,0.213,
K18,Sample X258,0.165,
K19,Sample X259,0.202,
K20,Sample X260,0.132,
K21,Sample X261,0.106,
K22,Sample X262,0.093,
K23,Sample X263,0.054,
K24,Sample X264,0.055,
L01,Sample X265,0.049,
L02,Sample X266,0.051,
L03,Sample X267,0.147,
L04,Sample X268,0.100,
L05,Sample X269,0.153,
L06,Sample X270,0.146,
L07,Sample X271,0.368,
L08,Sample X272,0.137,
L09,Sample X273,0.123,
L10,Sample X274,0.229,
L11,Sample X275,0.136,
L12,Sample X276,0.207,
L13,Sample X277,0.265,
L14,Sample X278,0.191,
L15,Sample X279,0.202,
L16,Sample X280,0.199,
L17,Sample X281,0.210,
L18,Sample X282,0.182,
L19,Sample X283,0.304,
L20,Sample X284,0.184,
L21,Sample X285,0.197,
L22,Sample X286,0.168,
L23,Sample X287,0.061,
L24,Sample X288,0.059,
M01,Sample X289,0.047,
M02,Sample X290,0.063,
M03,Sample X291,0.159,
M04,Sample X292,0.265,
M05,Sample X293,0.110,
M06,Sample X294,0.139,
M07,Sample X295,0.195,
M08,Sample X296,0.227,
M09,Sample X297,0.226,
M10,Sample X298,0.064,
M11,Sample X299,0.210,
M12,Sample X300,0.183,
M13,Sample X301,0.172,
M14,Sample X302,0.085,
M15,Sample X303,0.080,
M16,Sample X304,0.113,
M17,Sample X305,0.144,
M18,Sample X306,0.191,
M19,Sample X307,0.257,
M20,Sample X308,0.297,
M21,Sample X309,0.165,
M22,Sample X310,0.144,
M23,Sample X311,0.051,
M24,Sample X312,0.049,
N01,Sample X313,0.046,
N02,Sample X314,0.047,
N03,Sample X315,0.241,
N04,Sample X316,0.230,
N05,Sample X317,0.072,
N06,Sample X318,0.170,
N07,Sample X319,0.185,
N08,Sample X320,0.225,
N09,Sample X321,0.227,
N10,Sample X322,0.217,
N11,Sample X323,0.208,
N12,Sample X324,0.177,
N13,Sample X325,0.163,
N14,Sample X326,0.185,
N15,Sample X327,0.080,
N16,Sample X328,0.213,
N17,Sample X329,0.201,
N18,Sample X330,0.258,
N19,Sample X331,0.203,
N20,Sample X332,0.404,
N21,Sample X333,0.181,
N22,Sample X334,0.171,
N23,Sample X335,0.050,
N24,Sample X336,0.049,
O01,Sample X337,0.048,
O02,Sample X338,0.049,
O03,Sample X339,0.155,
O04,Sample X340,0.059,
O05,Sample X341,0.136,
O06,Sample X342,0.064,
O07,Sample X343,0.085,
O08,Sample X344,0.087,
O09,Sample X345,0.169,
O10,Sample X346,0.089,
O11,Sample X347,0.085,
O12,Sample X348,0.102,
O13,Sample X349,0.083,
O14,Sample X350,0.083,
O15,Sample X351,0.182,
O16,Sample X352,0.178,
O17,Sample X353,0.178,
O18,Sample X354,0.200,
O19,Sample X355,0.234,
O20,Sample X356,0.247,
O21,Sample X357,0.164,
O22,Sample X358,0.168,
O23,Sample X359,0.059,
O24,Sample X360,0.049,
P01,Sample X361,0.051,
P02,Sample X362,0.050,
P03,Sample X363,0.077,
P04,Sample X364,0.082,
P05,Sample X365,0.078,
P06,Sample X366,0.083,
P07,Sample X367,0.089,
P08,Sample X368,0.080,
P09,Sample X369,0.077,
P10,Sample X370,0.079,
P11,Sample X371,0.087,
P12,Sample X372,0.071,
P13,Sample X373,0.172,
P14,Sample X374,0.209,
P15,Sample X375,0.170,
P16,Sample X376,0.172,
P17,Sample X377,0.159,
P18,Sample X378,0.174,
P19,Sample X379,0.173,
P20,Sample X380,0.195,
P21,Sample X381,0.152,
P22,Sample X382,0.169,
P23,Sample X383,0.069,
P24,Sample X384,0.050,
