Well,Content,Well Scan: Average (600),
A01,Sample X1,0.061,
A02,Sample X2,0.069,
A03,Sample X3,0.073,
A04,Sample X4,0.076,
A05,Sample X5,0.097,
A06,Sample X6,0.074,
A07,Sample X7,0.082,
A08,Sample X8,0.077,
A09,Sample X9,0.080,
A10,Sample X10,0.079,
A11,Sample X11,0.080,
A12,Sample X12,0.096,
A13,Sample X13,0.077,
A14,Sample X14,0.073,
A15,Sample X15,0.079,
A16,Sample X16,0.075,
A17,Sample X17,0.079,
A18,Sample X18,0.265,
A19,Sample X19,0.269,
A20,Sample X20,0.257,
A21,Sample X21,0.270,
A22,Sample X22,0.268,
A23,Sample X23,0.060,
A24,Sample X24,0.058,
B01,Sample X25,0.064,
B02,Sample X26,0.071,
B03,Sample X27,0.065,
B04,Sample X28,0.260,
B05,Sample X29,0.231,
B06,Sample X30,0.293,
B07,Sample X31,0.233,
B08,Sample X32,0.255,
B09,Sample X33,0.259,
B10,Sample X34,0.272,
B11,Sample X35,0.089,
B12,Sample X36,0.247,
B13,Sample X37,0.233,
B14,Sample X38,0.252,
B15,Sample X39,0.258,
B16,Sample X40,0.248,
B17,Sample X41,0.281,
B18,Sample X42,0.310,
B19,Sample X43,0.283,
B20,Sample X44,0.218,
B21,Sample X45,0.288,
B22,Sample X46,0.237,
B23,Sample X47,0.051,
B24,Sample X48,0.066,
C01,Sample X49,0.065,
C02,Sample X50,0.066,
C03,Sample X51,0.264,
C04,Sample X52,0.244,
C05,Sample X53,0.264,
C06,Sample X54,0.256,
C07,Sample X55,0.270,
C08,Sample X56,0.101,
C09,Sample X57,0.287,
C10,Sample X58,0.176,
C11,Sample X59,0.295,
C12,Sample X60,0.082,
C13,Sample X61,0.095,
C14,Sample X62,0.108,
C15,Sample X63,0.271,
C16,Sample X64,0.227,
C17,Sample X65,0.306,
C18,Sample X66,0.255,
C19,Sample X67,0.264,
C20,Sample X68,0.292,
C21,Sample X69,0.263,
C22,Sample X70,0.250,
C23,Sample X71,0.072,
C24,Sample X72,0.056,
D01,Sample X73,0.064,
