Well,Content,Raw Data (600),
J12,Sample X228,1.226,
J13,Sample X229,1.403,
J14,Sample X230,1.361,
J15,Sample X231,1.256,
J16,Sample X232,1.218,
J17,Sample X233,1.227,
J18,Sample X234,1.285,
J19,Sample X235,1.304,
J20,Sample X236,1.165,
J21,Sample X237,1.364,
J22,Sample X238,1.401,
J23,Sample X239,0.131,
J24,Sample X240,0.156,
K01,Sample X241,0.151,
K02,Sample X242,0.138,
K03,Sample X243,1.082,
K04,Sample X244,1.107,
K05,Sample X245,1.111,
K06,Sample X246,1.156,
K07,Sample X247,1.315,
K08,Sample X248,1.425,
K09,Sample X249,1.217,
K10,Sample X250,1.190,
K11,Sample X251,1.297,
K12,Sample X252,1.484,
K13,Sample X253,1.247,
K14,Sample X254,1.269,
K15,Sample X255,1.397,
K16,Sample X256,1.324,
K17,Sample X257,1.254,
K18,Sample X258,1.240,
K19,Sample X259,1.151,
K20,Sample X260,1.280,
K21,Sample X261,0.357,
K22,Sample X262,1.398,
K23,Sample X263,0.125,
K24,Sample X264,0.138,
L01,Sample X265,0.136,
L02,Sample X266,0.138,
L03,Sample X267,1.152,
L04,Sample X268,1.092,
L05,Sample X269,1.226,
L06,Sample X270,1.202,
L07,Sample X271,1.197,
L08,Sample X272,1.300,
L09,Sample X273,1.407,
L10,Sample X274,1.149,
L11,Sample X275,1.073,
L12,Sample X276,1.336,
L13,Sample X277,1.318,
L14,Sample X278,1.303,
L15,Sample X279,1.409,
L16,Sample X280,1.257,
L17,Sample X281,1.456,
L18,Sample X282,1.366,
L19,Sample X283,1.442,
L20,Sample X284,1.295,
L21,Sample X285,0.875,
L22,Sample X286,1.190,
L23,Sample X287,0.133,
L24,Sample X288,0.140,
M01,Sample X289,0.146,
M02,Sample X290,0.130,
M03,Sample X291,1.269,
M04,Sample X292,1.405,
M05,Sample X293,1.335,
M06,Sample X294,0.979,
M07,Sample X295,1.413,
M08,Sample X296,1.536,
M09,Sample X297,1.482,
M10,Sample X298,1.367,
M11,Sample X299,1.547,
M12,Sample X300,1.379,
M13,Sample X301,1.427,
M14,Sample X302,0.268,
M15,Sample X303,1.434,
M16,Sample X304,1.429,
M17,Sample X305,1.198,
M18,Sample X306,1.530,
M19,Sample X307,1.370,
M20,Sample X308,1.421,
M21,Sample X309,1.425,
M22,Sample X310,1.503,
M23,Sample X311,0.141,
M24,Sample X312,0.138,
N01,Sample X313,0.137,
N02,Sample X314,0.143,
N03,Sample X315,1.215,
N04,Sample X316,1.185,
N05,Sample X317,1.336,
N06,Sample X318,1.134,
N07,Sample X319,1.220,
N08,Sample X320,1.242,
N09,Sample X321,1.230,
N10,Sample X322,1.291,
N11,Sample X323,1.218,
N12,Sample X324,1.226,
N13,Sample X325,1.488,
N14,Sample X326,1.489,
N15,Sample X327,1.312,
N16,Sample X328,1.544,
N17,Sample X329,1.244,
N18,Sample X330,1.388,
N19,Sample X331,1.569,
N20,Sample X332,1.416,
N21,Sample X333,1.468,
N22,Sample X334,1.276,
N23,Sample X335,0.127,
N24,Sample X336,0.129,
O01,Sample X337,0.141,
O02,Sample X338,0.143,
O03,Sample X339,1.498,
O04,Sample X340,1.216,
O05,Sample X341,1.349,
O06,Sample X342,1.198,
O07,Sample X343,0.646,
O08,Sample X344,1.317,
O09,Sample X345,1.296,
O10,Sample X346,1.353,
O11,Sample X347,1.388,
O12,Sample X348,1.573,
O13,Sample X349,1.276,
O14,Sample X350,1.576,
O15,Sample X351,1.414,
O16,Sample X352,1.363,
O17,Sample X353,1.305,
O18,Sample X354,1.434,
O19,Sample X355,1.392,
O20,Sample X356,1.461,
O21,Sample X357,1.377,
O22,Sample X358,1.631,
O23,Sample X359,0.157,
O24,Sample X360,0.161,
P01,Sample X361,0.139,
P02,Sample X362,0.154,
P03,Sample X363,0.444,
P04,Sample X364,0.444,
P05,Sample X365,0.426,
P06,Sample X366,0.333,
P07,Sample X367,0.449,
P08,Sample X368,0.698,
P09,Sample X369,0.569,
P10,Sample X370,0.465,
P11,Sample X371,0.452,
P12,Sample X372,0.427,
P13,Sample X373,1.535,
P14,Sample X374,1.258,
P15,Sample X375,1.564,
P16,Sample X376,1.918,
P17,Sample X377,1.861,
P18,Sample X378,1.622,
P19,Sample X379,1.697,
P20,Sample X380,1.423,
P21,Sample X381,1.419,
P22,Sample X382,1.593,
P23,Sample X383,0.129,
P24,Sample X384,0.152,
