Well,Content,Well Scan: Average (600),
J12,Sample X228,0.179,
J13,Sample X229,0.130,
J14,Sample X230,0.185,
J15,Sample X231,0.086,
J16,Sample X232,0.178,
J17,Sample X233,0.181,
J18,Sample X234,0.183,
J19,Sample X235,0.172,
J20,Sample X236,0.189,
J21,Sample X237,0.140,
J22,Sample X238,0.170,
J23,Sample X239,0.065,
J24,Sample X240,0.066,
K01,Sample X241,0.056,
K02,Sample X242,0.058,
K03,Sample X243,0.179,
K04,Sample X244,0.176,
K05,Sample X245,0.156,
K06,Sample X246,0.130,
K07,Sample X247,0.189,
K08,Sample X248,0.185,
K09,Sample X249,0.219,
K10,Sample X250,0.169,
K11,Sample X251,0.186,
K12,Sample X252,0.173,
K13,Sample X253,0.193,
K14,Sample X254,0.184,
K15,Sample X255,0.180,
K16,Sample X256,0.175,
K17,Sample X257,0.192,
K18,Sample X258,0.265,
K19,Sample X259,0.175,
K20,Sample X260,0.260,
K21,Sample X261,0.187,
K22,Sample X262,0.172,
K23,Sample X263,0.067,
K24,Sample X264,0.063,
L01,Sample X265,0.051,
L02,Sample X266,0.052,
L03,Sample X267,0.181,
L04,Sample X268,0.169,
L05,Sample X269,0.170,
L06,Sample X270,0.176,
L07,Sample X271,0.165,
L08,Sample X272,0.189,
L09,Sample X273,0.225,
L10,Sample X274,0.180,
L11,Sample X275,0.176,
L12,Sample X276,0.186,
L13,Sample X277,0.131,
L14,Sample X278,0.185,
L15,Sample X279,0.158,
L16,Sample X280,0.187,
L17,Sample X281,0.186,
L18,Sample X282,0.179,
L19,Sample X283,0.185,
L20,Sample X284,0.186,
L21,Sample X285,0.184,
L22,Sample X286,0.175,
L23,Sample X287,0.099,
L24,Sample X288,0.067,
M01,Sample X289,0.048,
M02,Sample X290,0.049,
M03,Sample X291,0.176,
M04,Sample X292,0.151,
M05,Sample X293,0.156,
M06,Sample X294,0.168,
M07,Sample X295,0.169,
M08,Sample X296,0.164,
M09,Sample X297,0.206,
M10,Sample X298,0.184,
M11,Sample X299,0.157,
M12,Sample X300,0.173,
M13,Sample X301,0.124,
M14,Sample X302,0.187,
M15,Sample X303,0.168,
M16,Sample X304,0.217,
M17,Sample X305,0.182,
M18,Sample X306,0.159,
M19,Sample X307,0.191,
M20,Sample X308,0.159,
M21,Sample X309,0.107,
M22,Sample X310,0.168,
M23,Sample X311,0.083,
M24,Sample X312,0.064,
N01,Sample X313,0.048,
N02,Sample X314,0.052,
N03,Sample X315,0.180,
N04,Sample X316,0.179,
N05,Sample X317,0.169,
N06,Sample X318,0.171,
N07,Sample X319,0.156,
N08,Sample X320,0.183,
N09,Sample X321,0.184,
N10,Sample X322,0.172,
N11,Sample X323,0.209,
N12,Sample X324,0.175,
N13,Sample X325,0.185,
N14,Sample X326,0.179,
N15,Sample X327,0.170,
N16,Sample X328,0.184,
N17,Sample X329,0.154,
N18,Sample X330,0.170,
N19,Sample X331,0.161,
N20,Sample X332,0.180,
N21,Sample X333,0.171,
N22,Sample X334,0.160,
N23,Sample X335,0.056,
N24,Sample X336,0.056,
O01,Sample X337,0.049,
O02,Sample X338,0.051,
O03,Sample X339,0.181,
O04,Sample X340,0.191,
O05,Sample X341,0.174,
O06,Sample X342,0.182,
O07,Sample X343,0.179,
O08,Sample X344,0.209,
O09,Sample X345,0.204,
O10,Sample X346,0.182,
O11,Sample X347,0.193,
O12,Sample X348,0.109,
O13,Sample X349,0.190,
O14,Sample X350,0.202,
O15,Sample X351,0.148,
O16,Sample X352,0.181,
O17,Sample X353,0.162,
O18,Sample X354,0.180,
O19,Sample X355,0.187,
O20,Sample X356,0.152,
O21,Sample X357,0.173,
O22,Sample X358,0.178,
O23,Sample X359,0.059,
O24,Sample X360,0.065,
P01,Sample X361,0.079,
P02,Sample X362,0.123,
P03,Sample X363,0.124,
P04,Sample X364,0.104,
P05,Sample X365,0.102,
P06,Sample X366,0.109,
P07,Sample X367,0.176,
P08,Sample X368,0.170,
P09,Sample X369,0.124,
P10,Sample X370,0.110,
P11,Sample X371,0.109,
P12,Sample X372,0.112,
P13,Sample X373,0.202,
P14,Sample X374,0.230,
P15,Sample X375,0.222,
P16,Sample X376,0.198,
P17,Sample X377,0.193,
P18,Sample X378,0.179,
P19,Sample X379,0.180,
P20,Sample X380,0.199,
P21,Sample X381,0.175,
P22,Sample X382,0.174,
P23,Sample X383,0.051,
P24,Sample X384,0.048,
