Well,Content,Raw Data (600),
A01,Sample X1,0.160,
A02,Sample X2,0.165,
A03,Sample X3,0.218,
A04,Sample X4,0.229,
A05,Sample X5,0.209,
A06,Sample X6,0.213,
A07,Sample X7,0.207,
A08,Sample X8,0.206,
A09,Sample X9,0.199,
A10,Sample X10,0.198,
A11,Sample X11,0.201,
A12,Sample X12,0.307,
A13,Sample X13,0.193,
A14,Sample X14,0.183,
A15,Sample X15,0.183,
A16,Sample X16,0.205,
A17,Sample X17,0.192,
A18,Sample X18,1.287,
A19,Sample X19,1.233,
A20,Sample X20,1.270,
A21,Sample X21,1.331,
A22,Sample X22,1.246,
A23,Sample X23,0.183,
A24,Sample X24,0.154,
B01,Sample X25,0.165,
B02,Sample X26,0.162,
B03,Sample X27,1.037,
B04,Sample X28,1.078,
B05,Sample X29,1.011,
B06,Sample X30,0.977,
B07,Sample X31,0.952,
B08,Sample X32,1.056,
B09,Sample X33,0.998,
B10,Sample X34,0.995,
B11,Sample X35,0.961,
B12,Sample X36,0.976,
B13,Sample X37,0.978,
B14,Sample X38,0.980,
B15,Sample X39,1.009,
B16,Sample X40,0.995,
B17,Sample X41,1.020,
B18,Sample X42,0.938,
B19,Sample X43,0.944,
B20,Sample X44,0.959,
B21,Sample X45,1.036,
B22,Sample X46,1.084,
B23,Sample X47,0.165,
B24,Sample X48,0.155,
C01,Sample X49,0.159,
C02,Sample X50,0.179,
C03,Sample X51,0.226,
C04,Sample X52,0.227,
C05,Sample X53,0.372,
C06,Sample X54,0.238,
C07,Sample X55,0.487,
C08,Sample X56,0.424,
C09,Sample X57,0.619,
C10,Sample X58,0.963,
C11,Sample X59,0.828,
C12,Sample X60,1.024,
C13,Sample X61,1.308,
C14,Sample X62,0.975,
C15,Sample X63,0.490,
C16,Sample X64,0.313,
C17,Sample X65,0.925,
C18,Sample X66,0.777,
C19,Sample X67,0.333,
C20,Sample X68,1.932,
C21,Sample X69,1.169,
C22,Sample X70,1.129,
C23,Sample X71,0.194,
C24,Sample X72,0.156,
D01,Sample X73,0.159,
D02,Sample X74,0.158,
D03,Sample X75,0.841,
D04,Sample X76,0.808,
D05,Sample X77,0.226,
D06,Sample X78,0.823,
D07,Sample X79,0.222,
D08,Sample X80,0.908,
D09,Sample X81,0.258,
D10,Sample X82,0.944,
D11,Sample X83,0.233,
D12,Sample X84,0.939,
D13,Sample X85,0.244,
D14,Sample X86,1.025,
D15,Sample X87,1.007,
D16,Sample X88,0.901,
D17,Sample X89,1.048,
D18,Sample X90,0.890,
D19,Sample X91,0.861,
D20,Sample X92,0.912,
D21,Sample X93,0.968,
D22,Sample X94,0.947,
D23,Sample X95,0.155,
D24,Sample X96,0.206,
E01,Sample X97,0.160,
E02,Sample X98,0.158,
E03,Sample X99,0.493,
E04,Sample X100,0.224,
E05,Sample X101,0.212,
E06,Sample X102,0.243,
E07,Sample X103,0.739,
E08,Sample X104,0.518,
E09,Sample X105,0.281,
E10,Sample X106,0.802,
E11,Sample X107,0.736,
E12,Sample X108,0.278,
E13,Sample X109,0.608,
E14,Sample X110,0.223,
E15,Sample X111,0.334,
E16,Sample X112,0.918,
E17,Sample X113,0.303,
E18,Sample X114,0.742,
E19,Sample X115,0.209,
E20,Sample X116,0.440,
E21,Sample X117,1.544,
E22,Sample X118,0.405,
E23,Sample X119,0.149,
E24,Sample X120,0.148,
F01,Sample X121,0.158,
F02,Sample X122,0.161,
F03,Sample X123,0.211,
F04,Sample X124,0.818,
F05,Sample X125,0.206,
F06,Sample X126,0.833,
F07,Sample X127,0.219,
F08,Sample X128,0.858,
F09,Sample X129,0.199,
F10,Sample X130,0.902,
F11,Sample X131,0.869,
F12,Sample X132,0.883,
F13,Sample X133,0.826,
F14,Sample X134,0.886,
F15,Sample X135,1.093,
F16,Sample X136,0.862,
F17,Sample X137,0.915,
F18,Sample X138,0.817,
F19,Sample X139,0.968,
F20,Sample X140,0.924,
F21,Sample X141,0.889,
F22,Sample X142,1.046,
F23,Sample X143,0.164,
F24,Sample X144,0.151,
G01,Sample X145,0.162,
G02,Sample X146,0.159,
G03,Sample X147,0.436,
G04,Sample X148,0.212,
G05,Sample X149,0.209,
G06,Sample X150,0.208,
G07,Sample X151,0.203,
G08,Sample X152,0.264,
G09,Sample X153,0.229,
G10,Sample X154,1.128,
G11,Sample X155,0.200,
G12,Sample X156,0.725,
G13,Sample X157,0.610,
G14,Sample X158,0.483,
G15,Sample X159,0.552,
G16,Sample X160,0.992,
G17,Sample X161,1.095,
G18,Sample X162,1.102,
G19,Sample X163,0.303,
G20,Sample X164,0.993,
G21,Sample X165,0.969,
G22,Sample X166,0.952,
G23,Sample X167,0.147,
G24,Sample X168,0.143,
H01,Sample X169,0.263,
H02,Sample X170,0.160,
H03,Sample X171,0.267,
H04,Sample X172,0.902,
H05,Sample X173,0.227,
H06,Sample X174,0.770,
H07,Sample X175,0.239,
H08,Sample X176,0.847,
H09,Sample X177,0.684,
H10,Sample X178,0.959,
H11,Sample X179,0.828,
H12,Sample X180,0.853,
H13,Sample X181,0.822,
H14,Sample X182,0.785,
H15,Sample X183,1.146,
H16,Sample X184,0.853,
H17,Sample X185,0.849,
H18,Sample X186,1.008,
H19,Sample X187,1.026,
H20,Sample X188,0.941,
H21,Sample X189,0.864,
H22,Sample X190,0.933,
H23,Sample X191,0.156,
H24,Sample X192,0.149,
I01,Sample X193,0.176,
I02,Sample X194,0.159,
I03,Sample X195,0.278,
I04,Sample X196,0.496,
I05,Sample X197,0.230,
I06,Sample X198,0.328,
I07,Sample X199,0.216,
I08,Sample X200,0.232,
I09,Sample X201,1.041,
I10,Sample X202,0.995,
I11,Sample X203,0.594,
I12,Sample X204,0.836,
I13,Sample X205,0.962,
I14,Sample X206,0.798,
I15,Sample X207,1.000,
I16,Sample X208,0.936,
I17,Sample X209,0.674,
I18,Sample X210,1.105,
I19,Sample X211,0.902,
I20,Sample X212,0.935,
I21,Sample X213,0.262,
I22,Sample X214,0.337,
I23,Sample X215,0.148,
I24,Sample X216,0.150,
J01,Sample X217,0.165,
J02,Sample X218,0.175,
J03,Sample X219,0.849,
J04,Sample X220,0.815,
J05,Sample X221,0.614,
J06,Sample X222,0.769,
J07,Sample X223,0.811,
J08,Sample X224,0.796,
J09,Sample X225,0.814,
J10,Sample X226,0.856,
J11,Sample X227,0.615,
J12,Sample X228,0.818,
J13,Sample X229,0.614,
J14,Sample X230,0.805,
J15,Sample X231,0.216,
J16,Sample X232,0.838,
J17,Sample X233,0.732,
J18,Sample X234,0.829,
J19,Sample X235,0.218,
J20,Sample X236,1.068,
J21,Sample X237,0.196,
J22,Sample X238,0.867,
J23,Sample X239,0.153,
J24,Sample X240,0.149,
K01,Sample X241,0.525,
K02,Sample X242,0.161,
K03,Sample X243,0.905,
K04,Sample X244,0.296,
K05,Sample X245,0.802,
K06,Sample X246,0.602,
K07,Sample X247,0.745,
K08,Sample X248,0.639,
K09,Sample X249,0.694,
K10,Sample X250,0.750,
K11,Sample X251,0.659,
K12,Sample X252,0.810,
K13,Sample X253,0.851,
K14,Sample X254,0.917,
K15,Sample X255,0.273,
K16,Sample X256,0.792,
K17,Sample X257,1.196,
K18,Sample X258,0.984,
K19,Sample X259,0.302,
K20,Sample X260,1.151,
K21,Sample X261,1.240,
K22,Sample X262,1.048,
K23,Sample X263,0.145,
K24,Sample X264,0.148,
L01,Sample X265,0.165,
L02,Sample X266,0.160,
L03,Sample X267,0.884,
L04,Sample X268,0.831,
L05,Sample X269,0.783,
L06,Sample X270,0.808,
L07,Sample X271,0.775,
L08,Sample X272,0.878,
L09,Sample X273,0.779,
L10,Sample X274,0.828,
L11,Sample X275,0.848,
L12,Sample X276,0.843,
L13,Sample X277,0.715,
L14,Sample X278,0.844,
L15,Sample X279,0.780,
L16,Sample X280,0.823,
L17,Sample X281,0.812,
L18,Sample X282,0.821,
L19,Sample X283,0.838,
L20,Sample X284,0.951,
L21,Sample X285,0.738,
L22,Sample X286,0.872,
L23,Sample X287,0.152,
L24,Sample X288,0.149,
M01,Sample X289,0.235,
M02,Sample X290,0.166,
M03,Sample X291,0.987,
M04,Sample X292,0.820,
M05,Sample X293,0.600,
M06,Sample X294,0.808,
M07,Sample X295,0.786,
M08,Sample X296,0.822,
M09,Sample X297,0.934,
M10,Sample X298,0.847,
M11,Sample X299,1.069,
M12,Sample X300,1.052,
M13,Sample X301,0.712,
M14,Sample X302,1.005,
M15,Sample X303,1.350,
