Well,Content,Raw Data (600),
A01,Sample X1,0.244,
A02,Sample X2,0.203,
A03,Sample X3,0.231,
A04,Sample X4,0.236,
A05,Sample X5,0.219,
A06,Sample X6,0.217,
A07,Sample X7,0.210,
A08,Sample X8,0.216,
A09,Sample X9,0.215,
A10,Sample X10,0.222,
A11,Sample X11,0.211,
A12,Sample X12,0.210,
A13,Sample X13,0.324,
A14,Sample X14,0.243,
A15,Sample X15,0.199,
A16,Sample X16,0.211,
A17,Sample X17,0.216,
A18,Sample X18,1.725,
A19,Sample X19,1.738,
A20,Sample X20,1.492,
A21,Sample X21,1.884,
A22,Sample X22,1.545,
A23,Sample X23,0.165,
A24,Sample X24,0.163,
B01,Sample X25,0.164,
B02,Sample X26,0.185,
B03,Sample X27,1.375,
B04,Sample X28,1.259,
B05,Sample X29,1.453,
B06,Sample X30,1.979,
B07,Sample X31,1.403,
B08,Sample X32,1.616,
B09,Sample X33,1.665,
B10,Sample X34,1.395,
B11,Sample X35,1.588,
B12,Sample X36,1.405,
B13,Sample X37,1.405,
B14,Sample X38,1.443,
B15,Sample X39,1.435,
B16,Sample X40,1.812,
B17,Sample X41,0.237,
B18,Sample X42,1.578,
B19,Sample X43,1.413,
B20,Sample X44,1.331,
B21,Sample X45,1.440,
B22,Sample X46,1.438,
B23,Sample X47,0.203,
B24,Sample X48,0.157,
C01,Sample X49,0.227,
C02,Sample X50,0.214,
C03,Sample X51,1.370,
C04,Sample X52,1.438,
C05,Sample X53,0.757,
C06,Sample X54,1.385,
C07,Sample X55,0.214,
C08,Sample X56,1.684,
C09,Sample X57,1.496,
C10,Sample X58,1.022,
C11,Sample X59,0.596,
C12,Sample X60,0.239,
C13,Sample X61,0.285,
C14,Sample X62,1.421,
C15,Sample X63,0.269,
C16,Sample X64,1.446,
C17,Sample X65,0.292,
C18,Sample X66,0.221,
C19,Sample X67,1.674,
C20,Sample X68,1.381,
C21,Sample X69,0.669,
C22,Sample X70,1.276,
C23,Sample X71,0.169,
C24,Sample X72,0.178,
D01,Sample X73,0.163,
D02,Sample X74,0.214,
D03,Sample X75,1.387,
D04,Sample X76,0.238,
D05,Sample X77,0.206,
D06,Sample X78,0.205,
D07,Sample X79,1.382,
D08,Sample X80,0.225,
D09,Sample X81,1.179,
D10,Sample X82,1.028,
D11,Sample X83,1.067,
D12,Sample X84,1.068,
D13,Sample X85,1.352,
D14,Sample X86,1.279,
D15,Sample X87,1.319,
D16,Sample X88,1.390,
D17,Sample X89,0.300,
D18,Sample X90,0.263,
D19,Sample X91,1.070,
D20,Sample X92,0.226,
D21,Sample X93,0.253,
D22,Sample X94,0.273,
D23,Sample X95,0.176,
D24,Sample X96,0.161,
E01,Sample X97,0.155,
E02,Sample X98,0.158,
E03,Sample X99,1.253,
E04,Sample X100,1.353,
E05,Sample X101,0.217,
E06,Sample X102,1.182,
E07,Sample X103,1.471,
E08,Sample X104,0.221,
E09,Sample X105,0.719,
E10,Sample X106,1.346,
E11,Sample X107,1.199,
E12,Sample X108,0.453,
E13,Sample X109,0.799,
E14,Sample X110,0.769,
E15,Sample X111,0.774,
E16,Sample X112,1.244,
E17,Sample X113,0.224,
E18,Sample X114,0.224,
E19,Sample X115,0.216,
E20,Sample X116,0.220,
E21,Sample X117,0.206,
E22,Sample X118,0.214,
E23,Sample X119,0.147,
E24,Sample X120,0.145,
F01,Sample X121,0.160,
F02,Sample X122,0.170,
F03,Sample X123,0.221,
F04,Sample X124,0.609,
F05,Sample X125,1.177,
F06,Sample X126,1.385,
F07,Sample X127,0.868,
F08,Sample X128,0.241,
F09,Sample X129,0.219,
F10,Sample X130,0.223,
F11,Sample X131,0.254,
F12,Sample X132,0.224,
F13,Sample X133,0.220,
F14,Sample X134,0.225,
F15,Sample X135,1.531,
F16,Sample X136,1.351,
F17,Sample X137,0.211,
F18,Sample X138,0.211,
F19,Sample X139,0.225,
F20,Sample X140,0.314,
F21,Sample X141,0.258,
F22,Sample X142,0.206,
F23,Sample X143,0.151,
F24,Sample X144,0.153,
G01,Sample X145,0.207,
G02,Sample X146,0.165,
G03,Sample X147,0.588,
G04,Sample X148,0.231,
G05,Sample X149,0.520,
G06,Sample X150,0.241,
G07,Sample X151,0.773,
G08,Sample X152,0.226,
G09,Sample X153,0.266,
G10,Sample X154,0.239,
G11,Sample X155,0.353,
G12,Sample X156,0.288,
G13,Sample X157,0.247,
G14,Sample X158,0.281,
G15,Sample X159,0.218,
G16,Sample X160,0.222,
G17,Sample X161,0.250,
G18,Sample X162,0.243,
G19,Sample X163,0.236,
G20,Sample X164,0.277,
G21,Sample X165,0.752,
G22,Sample X166,0.210,
G23,Sample X167,0.150,
G24,Sample X168,0.267,
H01,Sample X169,0.165,
H02,Sample X170,0.167,
H03,Sample X171,1.217,
H04,Sample X172,0.218,
H05,Sample X173,0.250,
H06,Sample X174,0.350,
H07,Sample X175,0.226,
H08,Sample X176,0.298,
H09,Sample X177,0.267,
H10,Sample X178,0.221,
H11,Sample X179,0.833,
H12,Sample X180,0.251,
H13,Sample X181,0.232,
H14,Sample X182,0.244,
H15,Sample X183,0.237,
H16,Sample X184,0.240,
H17,Sample X185,0.240,
H18,Sample X186,1.319,
H19,Sample X187,0.226,
H20,Sample X188,0.224,
H21,Sample X189,0.216,
H22,Sample X190,1.247,
H23,Sample X191,0.186,
H24,Sample X192,0.176,
I01,Sample X193,0.164,
I02,Sample X194,0.168,
I03,Sample X195,1.178,
