Well,Content,Raw Data (600),
A01,Sample X1,0.177,
A02,Sample X2,0.173,
A03,Sample X3,0.194,
A04,Sample X4,0.260,
A05,Sample X5,0.197,
A06,Sample X6,0.207,
A07,Sample X7,0.236,
A08,Sample X8,0.229,
A09,Sample X9,0.232,
A10,Sample X10,0.401,
A11,Sample X11,0.515,
A12,Sample X12,0.575,
A13,Sample X13,0.651,
A14,Sample X14,0.658,
A15,Sample X15,0.629,
A16,Sample X16,0.558,
A17,Sample X17,0.601,
A18,Sample X18,2.749,
A19,Sample X19,2.257,
A20,Sample X20,2.765,
A21,Sample X21,2.323,
A22,Sample X22,2.497,
A23,Sample X23,0.325,
A24,Sample X24,0.282,
B01,Sample X25,0.170,
B02,Sample X26,0.264,
B03,Sample X27,2.005,
B04,Sample X28,1.952,
B05,Sample X29,1.687,
B06,Sample X30,1.554,
B07,Sample X31,2.379,
B08,Sample X32,1.444,
B09,Sample X33,1.443,
B10,Sample X34,1.887,
B11,Sample X35,1.506,
B12,Sample X36,1.527,
B13,Sample X37,1.701,
B14,Sample X38,1.744,
B15,Sample X39,1.591,
B16,Sample X40,2.281,
B17,Sample X41,0.500,
B18,Sample X42,2.045,
B19,Sample X43,2.308,
B20,Sample X44,0.823,
B21,Sample X45,1.732,
B22,Sample X46,1.809,
B23,Sample X47,0.249,
B24,Sample X48,0.243,
C01,Sample X49,0.192,
C02,Sample X50,0.173,
C03,Sample X51,0.335,
C04,Sample X52,1.351,
C05,Sample X53,0.816,
C06,Sample X54,1.301,
C07,Sample X55,0.254,
C08,Sample X56,1.614,
C09,Sample X57,1.869,
C10,Sample X58,1.533,
C11,Sample X59,1.138,
C12,Sample X60,0.675,
C13,Sample X61,1.594,
C14,Sample X62,2.290,
C15,Sample X63,0.846,
C16,Sample X64,2.755,
C17,Sample X65,1.083,
C18,Sample X66,0.854,
C19,Sample X67,2.589,
C20,Sample X68,2.316,
C21,Sample X69,2.061,
C22,Sample X70,2.306,
C23,Sample X71,0.375,
C24,Sample X72,0.420,
D01,Sample X73,0.221,
D02,Sample X74,0.178,
D03,Sample X75,1.639,
D04,Sample X76,0.411,
D05,Sample X77,0.266,
D06,Sample X78,0.282,
D07,Sample X79,1.392,
D08,Sample X80,0.374,
D09,Sample X81,1.803,
D10,Sample X82,1.439,
D11,Sample X83,1.542,
D12,Sample X84,1.500,
D13,Sample X85,1.762,
D14,Sample X86,1.796,
D15,Sample X87,1.894,
D16,Sample X88,1.758,
D17,Sample X89,0.465,
D18,Sample X90,0.894,
D19,Sample X91,1.609,
D20,Sample X92,0.636,
D21,Sample X93,0.920,
D22,Sample X94,0.664,
D23,Sample X95,0.345,
D24,Sample X96,0.379,
E01,Sample X97,0.159,
E02,Sample X98,0.182,
E03,Sample X99,1.320,
E04,Sample X100,1.348,
E05,Sample X101,0.219,
E06,Sample X102,0.727,
E07,Sample X103,1.322,
E08,Sample X104,0.431,
E09,Sample X105,1.321,
E10,Sample X106,1.996,
E11,Sample X107,2.035,
E12,Sample X108,1.532,
E13,Sample X109,1.951,
E14,Sample X110,1.426,
E15,Sample X111,1.678,
E16,Sample X112,3.373,
E17,Sample X113,0.836,
E18,Sample X114,0.705,
E19,Sample X115,0.846,
E20,Sample X116,0.798,
E21,Sample X117,0.650,
E22,Sample X118,0.586,
E23,Sample X119,0.215,
E24,Sample X120,0.181,
F01,Sample X121,0.167,
F02,Sample X122,0.247,
F03,Sample X123,0.286,
F04,Sample X124,1.101,
F05,Sample X125,1.485,
F06,Sample X126,1.521,
F07,Sample X127,0.892,
F08,Sample X128,0.246,
F09,Sample X129,0.212,
F10,Sample X130,0.245,
F11,Sample X131,0.904,
F12,Sample X132,0.256,
F13,Sample X133,0.257,
F14,Sample X134,0.284,
F15,Sample X135,1.310,
F16,Sample X136,1.372,
F17,Sample X137,0.334,
F18,Sample X138,0.388,
F19,Sample X139,0.338,
F20,Sample X140,0.425,
F21,Sample X141,0.364,
F22,Sample X142,0.306,
F23,Sample X143,0.182,
F24,Sample X144,0.192,
G01,Sample X145,0.175,
G02,Sample X146,0.164,
G03,Sample X147,0.221,
G04,Sample X148,0.232,
G05,Sample X149,0.249,
G06,Sample X150,0.237,
G07,Sample X151,1.187,
G08,Sample X152,0.600,
G09,Sample X153,0.507,
G10,Sample X154,0.608,
G11,Sample X155,1.163,
G12,Sample X156,0.840,
G13,Sample X157,0.921,
G14,Sample X158,0.970,
G15,Sample X159,0.901,
G16,Sample X160,0.983,
G17,Sample X161,0.851,
G18,Sample X162,1.140,
G19,Sample X163,1.578,
G20,Sample X164,1.076,
G21,Sample X165,1.637,
G22,Sample X166,0.687,
G23,Sample X167,0.240,
G24,Sample X168,0.299,
H01,Sample X169,0.184,
H02,Sample X170,0.173,
H03,Sample X171,1.744,
H04,Sample X172,0.227,
H05,Sample X173,0.361,
H06,Sample X174,0.679,
H07,Sample X175,0.251,
H08,Sample X176,0.429,
H09,Sample X177,0.277,
H10,Sample X178,0.299,
H11,Sample X179,0.963,
H12,Sample X180,0.326,
H13,Sample X181,0.275,
H14,Sample X182,0.326,
H15,Sample X183,0.338,
H16,Sample X184,0.335,
H17,Sample X185,0.340,
H18,Sample X186,1.481,
H19,Sample X187,0.395,
H20,Sample X188,0.383,
H21,Sample X189,0.403,
H22,Sample X190,1.671,
H23,Sample X191,0.244,
H24,Sample X192,0.304,
I01,Sample X193,0.166,
I02,Sample X194,0.162,
I03,Sample X195,1.141,
I04,Sample X196,1.136,
I05,Sample X197,1.330,
I06,Sample X198,0.235,
I07,Sample X199,0.253,
I08,Sample X200,0.255,
I09,Sample X201,0.348,
I10,Sample X202,0.501,
I11,Sample X203,1.984,
I12,Sample X204,1.675,
I13,Sample X205,1.043,
I14,Sample X206,1.111,
I15,Sample X207,1.153,
I16,Sample X208,1.182,
I17,Sample X209,0.904,
I18,Sample X210,2.236,
I19,Sample X211,1.177,
I20,Sample X212,0.715,
I21,Sample X213,0.663,
I22,Sample X214,1.639,
I23,Sample X215,0.227,
I24,Sample X216,0.274,
J01,Sample X217,0.174,
J02,Sample X218,0.176,
J03,Sample X219,0.251,
J04,Sample X220,0.250,
J05,Sample X221,0.242,
J06,Sample X222,0.251,
J07,Sample X223,0.249,
J08,Sample X224,0.275,
J09,Sample X225,0.827,
J10,Sample X226,1.316,
J11,Sample X227,0.457,
J12,Sample X228,1.421,
J13,Sample X229,1.510,
J14,Sample X230,0.813,
J15,Sample X231,1.287,
J16,Sample X232,0.807,
J17,Sample X233,0.258,
J18,Sample X234,0.270,
J19,Sample X235,0.356,
J20,Sample X236,0.318,
J21,Sample X237,1.703,
J22,Sample X238,0.335,
J23,Sample X239,0.187,
J24,Sample X240,0.187,
K01,Sample X241,0.182,
K02,Sample X242,0.168,
K03,Sample X243,1.767,
K04,Sample X244,0.211,
K05,Sample X245,0.204,
K06,Sample X246,0.206,
K07,Sample X247,0.234,
K08,Sample X248,0.327,
K09,Sample X249,0.427,
K10,Sample X250,2.071,
K11,Sample X251,0.891,
