Well,Content,Well Scan: Average (600),
J12,Sample X228,0.838,
J13,Sample X229,0.283,
J14,Sample X230,0.832,
J15,Sample X231,0.098,
J16,Sample X232,0.556,
J17,Sample X233,1.088,
J18,Sample X234,0.604,
J19,Sample X235,0.097,
J20,Sample X236,0.729,
J21,Sample X237,0.085,
J22,Sample X238,0.623,
J23,Sample X239,0.064,
J24,Sample X240,0.063,
K01,Sample X241,0.075,
K02,Sample X242,0.071,
K03,Sample X243,0.690,
K04,Sample X244,0.151,
K05,Sample X245,0.514,
K06,Sample X246,0.305,
K07,Sample X247,0.383,
K08,Sample X248,0.351,
K09,Sample X249,0.411,
K10,Sample X250,0.562,
K11,Sample X251,0.486,
K12,Sample X252,0.930,
K13,Sample X253,0.672,
K14,Sample X254,0.789,
K15,Sample X255,0.140,
K16,Sample X256,0.633,
K17,Sample X257,0.764,
K18,Sample X258,0.901,
K19,Sample X259,0.142,
K20,Sample X260,1.388,
K21,Sample X261,0.534,
K22,Sample X262,0.722,
K23,Sample X263,0.063,
K24,Sample X264,0.064,
L01,Sample X265,0.070,
L02,Sample X266,0.068,
L03,Sample X267,0.522,
L04,Sample X268,0.554,
L05,Sample X269,0.588,
L06,Sample X270,0.706,
L07,Sample X271,0.568,
L08,Sample X272,0.550,
L09,Sample X273,0.634,
L10,Sample X274,0.503,
L11,Sample X275,0.886,
L12,Sample X276,0.488,
L13,Sample X277,1.175,
L14,Sample X278,0.590,
L15,Sample X279,0.790,
L16,Sample X280,0.779,
L17,Sample X281,1.518,
L18,Sample X282,0.735,
L19,Sample X283,0.600,
L20,Sample X284,0.588,
L21,Sample X285,0.589,
L22,Sample X286,0.523,
L23,Sample X287,0.062,
L24,Sample X288,0.065,
M01,Sample X289,0.075,
M02,Sample X290,0.062,
M03,Sample X291,0.565,
M04,Sample X292,0.513,
M05,Sample X293,0.325,
M06,Sample X294,0.844,
M07,Sample X295,1.271,
M08,Sample X296,0.267,
M09,Sample X297,0.872,
M10,Sample X298,0.502,
M11,Sample X299,0.553,
M12,Sample X300,0.678,
M13,Sample X301,0.636,
M14,Sample X302,0.519,
M15,Sample X303,0.598,
M16,Sample X304,0.619,
M17,Sample X305,0.305,
M18,Sample X306,0.524,
M19,Sample X307,0.605,
M20,Sample X308,0.565,
M21,Sample X309,0.096,
M22,Sample X310,0.188,
M23,Sample X311,0.061,
M24,Sample X312,0.061,
N01,Sample X313,0.091,
N02,Sample X314,0.065,
N03,Sample X315,0.341,
N04,Sample X316,0.464,
N05,Sample X317,0.759,
N06,Sample X318,0.492,
N07,Sample X319,0.633,
N08,Sample X320,0.883,
N09,Sample X321,0.538,
N10,Sample X322,0.540,
N11,Sample X323,0.544,
N12,Sample X324,0.504,
N13,Sample X325,0.782,
N14,Sample X326,0.686,
N15,Sample X327,0.576,
N16,Sample X328,0.516,
N17,Sample X329,0.848,
N18,Sample X330,0.528,
N19,Sample X331,0.743,
N20,Sample X332,0.742,
N21,Sample X333,0.153,
N22,Sample X334,0.555,
N23,Sample X335,0.059,
N24,Sample X336,0.064,
O01,Sample X337,0.096,
O02,Sample X338,0.063,
O03,Sample X339,0.542,
O04,Sample X340,0.613,
O05,Sample X341,0.582,
O06,Sample X342,0.695,
O07,Sample X343,0.832,
O08,Sample X344,0.668,
O09,Sample X345,0.861,
O10,Sample X346,0.860,
O11,Sample X347,0.619,
O12,Sample X348,1.028,
O13,Sample X349,0.790,
O14,Sample X350,0.747,
O15,Sample X351,0.556,
O16,Sample X352,0.821,
O17,Sample X353,1.195,
O18,Sample X354,0.782,
O19,Sample X355,0.655,
O20,Sample X356,0.550,
O21,Sample X357,0.569,
O22,Sample X358,0.665,
O23,Sample X359,0.064,
O24,Sample X360,0.059,
P01,Sample X361,0.103,
P02,Sample X362,0.068,
P03,Sample X363,0.082,
P04,Sample X364,0.089,
P05,Sample X365,0.090,
P06,Sample X366,0.101,
P07,Sample X367,0.143,
P08,Sample X368,0.118,
P09,Sample X369,0.098,
P10,Sample X370,0.094,
P11,Sample X371,0.089,
P12,Sample X372,0.087,
P13,Sample X373,1.527,
P14,Sample X374,0.987,
P15,Sample X375,0.782,
P16,Sample X376,1.278,
P17,Sample X377,0.944,
P18,Sample X378,1.398,
P19,Sample X379,1.598,
P20,Sample X380,1.376,
P21,Sample X381,1.617,
P22,Sample X382,1.038,
P23,Sample X383,0.059,
P24,Sample X384,0.062,
