Well,Content,Well Scan: Average (600),
A01,Sample X1,0.090,
A02,Sample X2,0.083,
A03,Sample X3,0.127,
A04,Sample X4,0.127,
A05,Sample X5,0.117,
A06,Sample X6,0.128,
A07,Sample X7,0.126,
A08,Sample X8,0.129,
A09,Sample X9,0.128,
A10,Sample X10,0.126,
A11,Sample X11,0.136,
A12,Sample X12,0.170,
A13,Sample X13,0.143,
A14,Sample X14,0.123,
A15,Sample X15,0.126,
A16,Sample X16,0.125,
A17,Sample X17,0.129,
A18,Sample X18,0.196,
A19,Sample X19,0.185,
A20,Sample X20,0.200,
A21,Sample X21,0.208,
A22,Sample X22,0.202,
A23,Sample X23,0.073,
A24,Sample X24,0.069,
B01,Sample X25,0.078,
B02,Sample X26,0.074,
B03,Sample X27,0.196,
B04,Sample X28,0.188,
B05,Sample X29,0.191,
B06,Sample X30,0.190,
B07,Sample X31,0.193,
B08,Sample X32,0.203,
B09,Sample X33,0.189,
B10,Sample X34,0.187,
B11,Sample X35,0.185,
B12,Sample X36,0.190,
B13,Sample X37,0.204,
B14,Sample X38,0.187,
B15,Sample X39,0.187,
B16,Sample X40,0.191,
B17,Sample X41,0.218,
B18,Sample X42,0.208,
B19,Sample X43,0.195,
B20,Sample X44,0.198,
B21,Sample X45,0.195,
B22,Sample X46,0.206,
B23,Sample X47,0.073,
B24,Sample X48,0.071,
C01,Sample X49,0.077,
C02,Sample X50,0.072,
C03,Sample X51,0.113,
C04,Sample X52,0.178,
C05,Sample X53,0.144,
C06,Sample X54,0.124,
C07,Sample X55,0.170,
C08,Sample X56,0.169,
C09,Sample X57,0.172,
C10,Sample X58,0.196,
C11,Sample X59,0.183,
C12,Sample X60,0.199,
C13,Sample X61,0.220,
C14,Sample X62,0.194,
C15,Sample X63,0.174,
C16,Sample X64,0.116,
C17,Sample X65,0.176,
C18,Sample X66,0.164,
C19,Sample X67,0.112,
C20,Sample X68,0.176,
C21,Sample X69,0.177,
C22,Sample X70,0.200,
C23,Sample X71,0.076,
C24,Sample X72,0.065,
D01,Sample X73,0.075,
D02,Sample X74,0.081,
D03,Sample X75,0.194,
D04,Sample X76,0.205,
D05,Sample X77,0.133,
D06,Sample X78,0.187,
D07,Sample X79,0.133,
D08,Sample X80,0.224,
D09,Sample X81,0.138,
D10,Sample X82,0.193,
D11,Sample X83,0.141,
D12,Sample X84,0.205,
D13,Sample X85,0.150,
D14,Sample X86,0.207,
D15,Sample X87,0.192,
D16,Sample X88,0.201,
D17,Sample X89,0.234,
D18,Sample X90,0.192,
D19,Sample X91,0.214,
D20,Sample X92,0.196,
D21,Sample X93,0.207,
D22,Sample X94,0.195,
D23,Sample X95,0.080,
D24,Sample X96,0.087,
E01,Sample X97,0.073,
E02,Sample X98,0.076,
E03,Sample X99,0.168,
E04,Sample X100,0.132,
E05,Sample X101,0.220,
E06,Sample X102,0.131,
E07,Sample X103,0.158,
E08,Sample X104,0.177,
E09,Sample X105,0.146,
E10,Sample X106,0.198,
E11,Sample X107,0.133,
E12,Sample X108,0.122,
E13,Sample X109,0.196,
E14,Sample X110,0.141,
E15,Sample X111,0.119,
E16,Sample X112,0.203,
E17,Sample X113,0.162,
E18,Sample X114,0.201,
E19,Sample X115,0.103,
E20,Sample X116,0.175,
E21,Sample X117,0.195,
E22,Sample X118,0.190,
E23,Sample X119,0.081,
E24,Sample X120,0.077,
F01,Sample X121,0.087,
F02,Sample X122,0.074,
F03,Sample X123,0.110,
F04,Sample X124,0.205,
F05,Sample X125,0.131,
F06,Sample X126,0.212,
F07,Sample X127,0.224,
F08,Sample X128,0.219,
F09,Sample X129,0.134,
F10,Sample X130,0.203,
F11,Sample X131,0.199,
F12,Sample X132,0.199,
F13,Sample X133,0.211,
F14,Sample X134,0.205,
F15,Sample X135,0.205,
F16,Sample X136,0.211,
F17,Sample X137,0.196,
F18,Sample X138,0.195,
F19,Sample X139,0.207,
F20,Sample X140,0.199,
F21,Sample X141,0.204,
F22,Sample X142,0.206,
F23,Sample X143,0.079,
F24,Sample X144,0.082,
G01,Sample X145,0.098,
G02,Sample X146,0.077,
G03,Sample X147,0.160,
G04,Sample X148,0.119,
G05,Sample X149,0.118,
G06,Sample X150,0.127,
G07,Sample X151,0.142,
G08,Sample X152,0.133,
G09,Sample X153,0.145,
G10,Sample X154,0.209,
G11,Sample X155,0.132,
G12,Sample X156,0.206,
G13,Sample X157,0.233,
G14,Sample X158,0.157,
G15,Sample X159,0.247,
G16,Sample X160,0.218,
G17,Sample X161,0.217,
G18,Sample X162,0.202,
G19,Sample X163,0.153,
G20,Sample X164,0.119,
G21,Sample X165,0.194,
G22,Sample X166,0.188,
G23,Sample X167,0.113,
G24,Sample X168,0.077,
H01,Sample X169,0.073,
H02,Sample X170,0.076,
H03,Sample X171,0.168,
H04,Sample X172,0.201,
H05,Sample X173,0.137,
H06,Sample X174,0.202,
H07,Sample X175,0.120,
H08,Sample X176,0.212,
H09,Sample X177,0.177,
H10,Sample X178,0.212,
H11,Sample X179,0.197,
H12,Sample X180,0.196,
H13,Sample X181,0.233,
H14,Sample X182,0.211,
H15,Sample X183,0.206,
H16,Sample X184,0.203,
H17,Sample X185,0.197,
H18,Sample X186,0.209,
H19,Sample X187,0.158,
H20,Sample X188,0.198,
H21,Sample X189,0.206,
H22,Sample X190,0.204,
H23,Sample X191,0.081,
H24,Sample X192,0.086,
I01,Sample X193,0.091,
I02,Sample X194,0.072,
I03,Sample X195,0.167,
I04,Sample X196,0.168,
I05,Sample X197,0.114,
I06,Sample X198,0.192,
I07,Sample X199,0.113,
I08,Sample X200,0.108,
I09,Sample X201,0.188,
I10,Sample X202,0.341,
I11,Sample X203,0.165,
I12,Sample X204,0.207,
I13,Sample X205,0.217,
I14,Sample X206,0.200,
I15,Sample X207,0.224,
I16,Sample X208,0.257,
I17,Sample X209,0.238,
I18,Sample X210,0.202,
I19,Sample X211,0.193,
I20,Sample X212,0.199,
I21,Sample X213,0.154,
I22,Sample X214,0.161,
I23,Sample X215,0.069,
I24,Sample X216,0.063,
J01,Sample X217,0.079,
J02,Sample X218,0.070,
J03,Sample X219,0.199,
J04,Sample X220,0.204,
J05,Sample X221,0.189,
J06,Sample X222,0.201,
J07,Sample X223,0.198,
J08,Sample X224,0.203,
J09,Sample X225,0.223,
J10,Sample X226,0.222,
J11,Sample X227,0.187,
J12,Sample X228,0.204,
J13,Sample X229,0.179,
J14,Sample X230,0.206,
J15,Sample X231,0.113,
J16,Sample X232,0.198,
J17,Sample X233,0.189,
J18,Sample X234,0.190,
J19,Sample X235,0.121,
J20,Sample X236,0.197,
J21,Sample X237,0.155,
J22,Sample X238,0.221,
J23,Sample X239,0.079,
J24,Sample X240,0.070,
K01,Sample X241,0.072,
K02,Sample X242,0.070,
K03,Sample X243,0.205,
K04,Sample X244,0.165,
K05,Sample X245,0.201,
K06,Sample X246,0.196,
K07,Sample X247,0.178,
K08,Sample X248,0.203,
K09,Sample X249,0.197,
K10,Sample X250,0.194,
K11,Sample X251,0.211,
K12,Sample X252,0.198,
K13,Sample X253,0.215,
K14,Sample X254,0.208,
K15,Sample X255,0.158,
K16,Sample X256,0.192,
K17,Sample X257,0.200,
K18,Sample X258,0.190,
K19,Sample X259,0.154,
K20,Sample X260,0.208,
K21,Sample X261,0.186,
K22,Sample X262,0.179,
K23,Sample X263,0.074,
K24,Sample X264,0.068,
L01,Sample X265,0.071,
L02,Sample X266,0.069,
L03,Sample X267,0.198,
L04,Sample X268,0.203,
L05,Sample X269,0.204,
L06,Sample X270,0.205,
L07,Sample X271,0.189,
L08,Sample X272,0.196,
L09,Sample X273,0.194,
L10,Sample X274,0.204,
L11,Sample X275,0.234,
L12,Sample X276,0.199,
L13,Sample X277,0.189,
L14,Sample X278,0.228,
L15,Sample X279,0.195,
L16,Sample X280,0.199,
L17,Sample X281,0.210,
L18,Sample X282,0.205,
L19,Sample X283,0.196,
L20,Sample X284,0.196,
L21,Sample X285,0.178,
L22,Sample X286,0.191,
L23,Sample X287,0.071,
L24,Sample X288,0.071,
M01,Sample X289,0.074,
M02,Sample X290,0.064,
M03,Sample X291,0.201,
M04,Sample X292,0.199,
M05,Sample X293,0.200,
M06,Sample X294,0.196,
M07,Sample X295,0.200,
M08,Sample X296,0.165,
M09,Sample X297,0.211,
M10,Sample X298,0.194,
M11,Sample X299,0.207,
M12,Sample X300,0.220,
M13,Sample X301,0.196,
M14,Sample X302,0.217,
M15,Sample X303,0.216,
M16,Sample X304,0.202,
M17,Sample X305,0.162,
M18,Sample X306,0.191,
M19,Sample X307,0.192,
M20,Sample X308,0.194,
M21,Sample X309,0.115,
M22,Sample X310,0.132,
M23,Sample X311,0.062,
M24,Sample X312,0.067,
N01,Sample X313,0.093,
N02,Sample X314,0.074,
N03,Sample X315,0.193,
N04,Sample X316,0.197,
N05,Sample X317,0.203,
N06,Sample X318,0.198,
N07,Sample X319,0.200,
N08,Sample X320,0.212,
N09,Sample X321,0.202,
N10,Sample X322,0.198,
N11,Sample X323,0.195,
N12,Sample X324,0.199,
N13,Sample X325,0.202,
N14,Sample X326,0.197,
N15,Sample X327,0.201,
N16,Sample X328,0.204,
N17,Sample X329,0.200,
N18,Sample X330,0.197,
N19,Sample X331,0.187,
N20,Sample X332,0.190,
N21,Sample X333,0.130,
N22,Sample X334,0.201,
N23,Sample X335,0.066,
N24,Sample X336,0.078,
O01,Sample X337,0.094,
O02,Sample X338,0.063,
O03,Sample X339,0.205,
O04,Sample X340,0.206,
O05,Sample X341,0.206,
O06,Sample X342,0.206,
O07,Sample X343,0.199,
O08,Sample X344,0.221,
O09,Sample X345,0.203,
O10,Sample X346,0.195,
O11,Sample X347,0.193,
O12,Sample X348,0.198,
O13,Sample X349,0.201,
O14,Sample X350,0.194,
O15,Sample X351,0.213,
O16,Sample X352,0.198,
O17,Sample X353,0.197,
O18,Sample X354,0.238,
O19,Sample X355,0.200,
O20,Sample X356,0.192,
O21,Sample X357,0.196,
O22,Sample X358,0.197,
O23,Sample X359,0.066,
O24,Sample X360,0.059,
P01,Sample X361,0.171,
P02,Sample X362,0.065,
P03,Sample X363,0.111,
P04,Sample X364,0.114,
P05,Sample X365,0.116,
P06,Sample X366,0.122,
P07,Sample X367,0.138,
P08,Sample X368,0.157,
P09,Sample X369,0.125,
P10,Sample X370,0.124,
P11,Sample X371,0.118,
P12,Sample X372,0.117,
P13,Sample X373,0.237,
P14,Sample X374,0.219,
P15,Sample X375,0.217,
P16,Sample X376,0.237,
P17,Sample X377,0.209,
P18,Sample X378,0.207,
P19,Sample X379,0.212,
P20,Sample X380,0.202,
P21,Sample X381,0.204,
P22,Sample X382,0.199,
P23,Sample X383,0.063,
P24,Sample X384,0.062,
