Well,Content,Well Scan: Average (600),
A01,Sample X1,0.092,
A02,Sample X2,0.080,
A03,Sample X3,0.120,
A04,Sample X4,0.112,
A05,Sample X5,0.101,
A06,Sample X6,0.114,
A07,Sample X7,0.113,
A08,Sample X8,0.113,
A09,Sample X9,0.112,
A10,Sample X10,0.114,
A11,Sample X11,0.118,
A12,Sample X12,0.154,
A13,Sample X13,0.127,
A14,Sample X14,0.107,
A15,Sample X15,0.113,
A16,Sample X16,0.115,
A17,Sample X17,0.126,
A18,Sample X18,0.271,
A19,Sample X19,0.251,
A20,Sample X20,0.273,
A21,Sample X21,0.250,
A22,Sample X22,0.277,
A23,Sample X23,0.072,
A24,Sample X24,0.070,
B01,Sample X25,0.081,
B02,Sample X26,0.077,
B03,Sample X27,0.255,
B04,Sample X28,0.244,
B05,Sample X29,0.282,
B06,Sample X30,0.248,
B07,Sample X31,0.279,
B08,Sample X32,0.264,
B09,Sample X33,0.256,
B10,Sample X34,0.252,
B11,Sample X35,0.264,
B12,Sample X36,0.259,
B13,Sample X37,0.270,
B14,Sample X38,0.249,
B15,Sample X39,0.244,
B16,Sample X40,0.261,
B17,Sample X41,0.297,
B18,Sample X42,0.270,
B19,Sample X43,0.258,
B20,Sample X44,0.272,
B21,Sample X45,0.256,
B22,Sample X46,0.273,
B23,Sample X47,0.070,
B24,Sample X48,0.067,
C01,Sample X49,0.076,
C02,Sample X50,0.076,
C03,Sample X51,0.110,
C04,Sample X52,0.216,
C05,Sample X53,0.158,
C06,Sample X54,0.117,
C07,Sample X55,0.208,
C08,Sample X56,0.181,
C09,Sample X57,0.202,
C10,Sample X58,0.265,
C11,Sample X59,0.255,
C12,Sample X60,0.268,
C13,Sample X61,0.278,
C14,Sample X62,0.246,
C15,Sample X63,0.237,
C16,Sample X64,0.110,
C17,Sample X65,0.215,
C18,Sample X66,0.219,
C19,Sample X67,0.113,
C20,Sample X68,0.223,
C21,Sample X69,0.215,
C22,Sample X70,0.274,
C23,Sample X71,0.074,
C24,Sample X72,0.062,
D01,Sample X73,0.071,
D02,Sample X74,0.077,
D03,Sample X75,0.262,
D04,Sample X76,0.270,
D05,Sample X77,0.133,
D06,Sample X78,0.259,
D07,Sample X79,0.126,
D08,Sample X80,0.293,
D09,Sample X81,0.141,
D10,Sample X82,0.254,
D11,Sample X83,0.126,
D12,Sample X84,0.269,
D13,Sample X85,0.138,
D14,Sample X86,0.292,
D15,Sample X87,0.259,
D16,Sample X88,0.281,
D17,Sample X89,0.303,
D18,Sample X90,0.248,
D19,Sample X91,0.268,
D20,Sample X92,0.255,
D21,Sample X93,0.260,
D22,Sample X94,0.265,
