Well,Content,Well Scan: Average (600),
A01,Sample X1,0.087,
A02,Sample X2,0.091,
A03,Sample X3,0.654,
A04,Sample X4,0.687,
A05,Sample X5,0.696,
A06,Sample X6,0.684,
A07,Sample X7,0.728,
A08,Sample X8,0.071,
A09,Sample X9,0.072,
A10,Sample X10,0.058,
A11,Sample X11,0.058,
A12,Sample X12,0.076,
A13,Sample X13,0.087,
A14,Sample X14,0.067,
A15,Sample X15,0.066,
A16,Sample X16,0.063,
A17,Sample X17,0.061,
A18,Sample X18,0.833,
A19,Sample X19,0.859,
A20,Sample X20,0.899,
A21,Sample X21,0.920,
A22,Sample X22,0.905,
A23,Sample X23,0.064,
A24,Sample X24,0.127,
B01,Sample X25,0.064,
B02,Sample X26,0.065,
B03,Sample X27,0.793,
B04,Sample X28,0.831,
B05,Sample X29,0.717,
B06,Sample X30,0.712,
B07,Sample X31,0.727,
B08,Sample X32,0.732,
B09,Sample X33,0.698,
B10,Sample X34,0.707,
B11,Sample X35,0.697,
B12,Sample X36,0.697,
B13,Sample X37,0.679,
B14,Sample X38,0.682,
B15,Sample X39,0.729,
B16,Sample X40,0.720,
B17,Sample X41,0.753,
B18,Sample X42,0.706,
B19,Sample X43,0.728,
B20,Sample X44,0.770,
B21,Sample X45,0.846,
B22,Sample X46,0.790,
B23,Sample X47,0.053,
B24,Sample X48,0.053,
C01,Sample X49,0.057,
C02,Sample X50,0.058,
C03,Sample X51,0.690,
C04,Sample X52,0.701,
C05,Sample X53,0.773,
C06,Sample X54,0.752,
C07,Sample X55,0.064,
C08,Sample X56,0.689,
C09,Sample X57,0.687,
C10,Sample X58,0.730,
C11,Sample X59,0.768,
C12,Sample X60,0.096,
C13,Sample X61,0.671,
C14,Sample X62,0.687,
C15,Sample X63,0.528,
C16,Sample X64,0.684,
C17,Sample X65,0.368,
C18,Sample X66,0.071,
C19,Sample X67,0.700,
C20,Sample X68,0.718,
C21,Sample X69,0.775,
C22,Sample X70,0.806,
C23,Sample X71,0.052,
C24,Sample X72,0.053,
D01,Sample X73,0.058,
D02,Sample X74,0.060,
D03,Sample X75,0.708,
D04,Sample X76,0.570,
D05,Sample X77,0.471,
D06,Sample X78,0.691,
D07,Sample X79,0.586,
D08,Sample X80,0.746,
D09,Sample X81,0.726,
D10,Sample X82,0.605,
D11,Sample X83,0.698,
D12,Sample X84,0.609,
D13,Sample X85,0.595,
D14,Sample X86,0.629,
D15,Sample X87,0.657,
D16,Sample X88,0.641,
D17,Sample X89,0.717,
D18,Sample X90,0.642,
D19,Sample X91,0.646,
D20,Sample X92,0.240,
D21,Sample X93,0.144,
D22,Sample X94,0.695,
D23,Sample X95,0.053,
D24,Sample X96,0.050,
E01,Sample X97,0.058,
E02,Sample X98,0.062,
E03,Sample X99,0.667,
E04,Sample X100,0.706,
E05,Sample X101,0.513,
E06,Sample X102,0.627,
E07,Sample X103,0.614,
E08,Sample X104,0.661,
E09,Sample X105,0.637,
E10,Sample X106,0.622,
E11,Sample X107,0.619,
E12,Sample X108,0.528,
E13,Sample X109,0.554,
E14,Sample X110,0.669,
E15,Sample X111,0.633,
E16,Sample X112,0.631,
E17,Sample X113,0.632,
E18,Sample X114,0.184,
E19,Sample X115,0.277,
E20,Sample X116,0.265,
E21,Sample X117,0.701,
E22,Sample X118,0.063,
E23,Sample X119,0.053,
E24,Sample X120,0.058,
F01,Sample X121,0.062,
F02,Sample X122,0.061,
F03,Sample X123,0.801,
F04,Sample X124,0.686,
F05,Sample X125,0.671,
F06,Sample X126,0.620,
F07,Sample X127,0.642,
F08,Sample X128,0.674,
F09,Sample X129,0.517,
F10,Sample X130,0.544,
F11,Sample X131,0.599,
F12,Sample X132,0.581,
F13,Sample X133,0.156,
F14,Sample X134,0.590,
F15,Sample X135,0.610,
F16,Sample X136,0.630,
F17,Sample X137,0.522,
F18,Sample X138,0.618,
F19,Sample X139,0.683,
F20,Sample X140,0.672,
F21,Sample X141,0.119,
F22,Sample X142,0.166,
F23,Sample X143,0.056,
F24,Sample X144,0.064,
G01,Sample X145,0.190,
G02,Sample X146,0.054,
G03,Sample X147,0.717,
G04,Sample X148,0.499,
G05,Sample X149,0.672,
G06,Sample X150,0.635,
G07,Sample X151,0.653,
G08,Sample X152,0.626,
G09,Sample X153,0.737,
G10,Sample X154,0.568,
G11,Sample X155,0.655,
G12,Sample X156,0.571,
G13,Sample X157,0.538,
G14,Sample X158,0.249,
G15,Sample X159,0.602,
G16,Sample X160,0.538,
G17,Sample X161,0.123,
G18,Sample X162,0.660,
G19,Sample X163,0.686,
G20,Sample X164,0.111,
G21,Sample X165,0.808,
G22,Sample X166,0.117,
G23,Sample X167,0.057,
G24,Sample X168,0.069,
H01,Sample X169,0.067,
H02,Sample X170,0.148,
H03,Sample X171,0.675,
H04,Sample X172,0.785,
H05,Sample X173,0.680,
H06,Sample X174,0.471,
H07,Sample X175,0.713,
H08,Sample X176,0.707,
H09,Sample X177,0.670,
H10,Sample X178,0.637,
H11,Sample X179,0.649,
H12,Sample X180,0.572,
H13,Sample X181,0.514,
H14,Sample X182,0.663,
H15,Sample X183,0.650,
H16,Sample X184,0.636,
H17,Sample X185,0.625,
H18,Sample X186,0.677,
H19,Sample X187,0.704,
H20,Sample X188,0.747,
H21,Sample X189,0.765,
H22,Sample X190,0.749,
H23,Sample X191,0.054,
H24,Sample X192,0.070,
I01,Sample X193,0.057,
I02,Sample X194,0.173,
I03,Sample X195,0.670,
I04,Sample X196,0.652,
I05,Sample X197,0.642,
I06,Sample X198,0.699,
I07,Sample X199,0.474,
I08,Sample X200,0.719,
I09,Sample X201,0.619,
I10,Sample X202,0.667,
I11,Sample X203,0.624,
I12,Sample X204,0.631,
I13,Sample X205,0.628,
I14,Sample X206,0.676,
I15,Sample X207,0.627,
I16,Sample X208,0.533,
I17,Sample X209,0.652,
I18,Sample X210,0.670,
I19,Sample X211,0.707,
I20,Sample X212,0.735,
I21,Sample X213,0.745,
I22,Sample X214,0.798,
I23,Sample X215,0.199,
I24,Sample X216,0.152,
J01,Sample X217,0.058,
J02,Sample X218,0.056,
J03,Sample X219,0.205,
J04,Sample X220,0.658,
J05,Sample X221,0.569,
J06,Sample X222,0.632,
J07,Sample X223,0.658,
J08,Sample X224,0.701,
J09,Sample X225,0.644,
J10,Sample X226,0.643,
J11,Sample X227,0.630,
J12,Sample X228,0.597,
J13,Sample X229,0.687,
J14,Sample X230,0.615,
J15,Sample X231,0.702,
J16,Sample X232,0.679,
J17,Sample X233,0.644,
J18,Sample X234,0.652,
J19,Sample X235,0.737,
J20,Sample X236,0.767,
J21,Sample X237,0.762,
J22,Sample X238,0.734,
J23,Sample X239,0.059,
J24,Sample X240,0.050,
K01,Sample X241,0.079,
K02,Sample X242,0.059,
K03,Sample X243,0.625,
K04,Sample X244,0.590,
K05,Sample X245,0.408,
K06,Sample X246,0.581,
K07,Sample X247,0.644,
K08,Sample X248,0.530,
K09,Sample X249,0.736,
K10,Sample X250,0.596,
K11,Sample X251,0.437,
K12,Sample X252,0.621,
K13,Sample X253,0.620,
K14,Sample X254,0.494,
K15,Sample X255,0.431,
K16,Sample X256,0.656,
K17,Sample X257,0.621,
K18,Sample X258,0.633,
K19,Sample X259,0.722,
K20,Sample X260,0.672,
K21,Sample X261,0.145,
K22,Sample X262,0.708,
K23,Sample X263,0.052,
K24,Sample X264,0.050,
L01,Sample X265,0.227,
L02,Sample X266,0.434,
L03,Sample X267,0.820,
L04,Sample X268,0.648,
L05,Sample X269,0.656,
L06,Sample X270,0.706,
L07,Sample X271,0.717,
L08,Sample X272,0.645,
L09,Sample X273,0.785,
L10,Sample X274,0.543,
L11,Sample X275,0.679,
L12,Sample X276,0.646,
L13,Sample X277,0.710,
L14,Sample X278,0.164,
L15,Sample X279,0.513,
L16,Sample X280,0.582,
L17,Sample X281,0.582,
L18,Sample X282,0.638,
L19,Sample X283,0.710,
L20,Sample X284,0.726,
L21,Sample X285,0.783,
L22,Sample X286,0.801,
L23,Sample X287,0.049,
L24,Sample X288,0.060,
M01,Sample X289,0.050,
M02,Sample X290,0.047,
M03,Sample X291,0.141,
M04,Sample X292,0.623,
M05,Sample X293,0.599,
M06,Sample X294,0.612,
M07,Sample X295,0.615,
M08,Sample X296,0.265,
M09,Sample X297,0.619,
M10,Sample X298,0.649,
M11,Sample X299,0.713,
M12,Sample X300,0.217,
M13,Sample X301,0.632,
M14,Sample X302,0.177,
M15,Sample X303,0.513,
M16,Sample X304,0.164,
M17,Sample X305,0.602,
M18,Sample X306,0.508,
M19,Sample X307,0.711,
M20,Sample X308,0.769,
M21,Sample X309,0.776,
M22,Sample X310,0.732,
M23,Sample X311,0.054,
M24,Sample X312,0.053,
N01,Sample X313,0.060,
N02,Sample X314,0.050,
N03,Sample X315,0.558,
N04,Sample X316,0.615,
N05,Sample X317,0.628,
N06,Sample X318,0.791,
N07,Sample X319,0.637,
N08,Sample X320,0.218,
N09,Sample X321,0.264,
N10,Sample X322,0.197,
N11,Sample X323,0.752,
N12,Sample X324,0.674,
N13,Sample X325,0.685,
N14,Sample X326,0.668,
N15,Sample X327,0.678,
N16,Sample X328,0.633,
N17,Sample X329,0.632,
N18,Sample X330,0.701,
N19,Sample X331,0.637,
N20,Sample X332,0.757,
N21,Sample X333,0.812,
N22,Sample X334,0.779,
N23,Sample X335,0.057,
N24,Sample X336,0.077,
O01,Sample X337,0.051,
O02,Sample X338,0.050,
O03,Sample X339,0.697,
O04,Sample X340,0.677,
O05,Sample X341,0.709,
O06,Sample X342,0.704,
O07,Sample X343,0.660,
O08,Sample X344,0.689,
O09,Sample X345,0.697,
O10,Sample X346,0.247,
O11,Sample X347,0.872,
O12,Sample X348,0.898,
O13,Sample X349,0.683,
O14,Sample X350,0.733,
O15,Sample X351,0.702,
O16,Sample X352,0.737,
O17,Sample X353,0.843,
O18,Sample X354,0.843,
O19,Sample X355,0.824,
O20,Sample X356,0.789,
O21,Sample X357,0.828,
O22,Sample X358,0.781,
O23,Sample X359,0.063,
O24,Sample X360,0.072,
P01,Sample X361,0.057,
P02,Sample X362,0.052,
P03,Sample X363,0.191,
P04,Sample X364,0.189,
P05,Sample X365,0.181,
P06,Sample X366,0.111,
P07,Sample X367,0.148,
P08,Sample X368,0.530,
