Well,Content,Well Scan: Average (600),
A01,Sample X1,0.068,
A02,Sample X2,0.072,
A03,Sample X3,0.245,
A04,Sample X4,0.233,
A05,Sample X5,0.212,
A06,Sample X6,0.186,
A07,Sample X7,0.120,
A08,Sample X8,0.112,
A09,Sample X9,0.095,
A10,Sample X10,0.095,
A11,Sample X11,0.098,
A12,Sample X12,0.116,
A13,Sample X13,0.108,
A14,Sample X14,0.100,
A15,Sample X15,0.110,
A16,Sample X16,0.111,
A17,Sample X17,0.106,
A18,Sample X18,0.275,
A19,Sample X19,0.225,
A20,Sample X20,0.210,
A21,Sample X21,0.213,
A22,Sample X22,0.222,
A23,Sample X23,0.069,
A24,Sample X24,0.056,
B01,Sample X25,0.061,
B02,Sample X26,0.061,
B03,Sample X27,0.197,
B04,Sample X28,0.226,
B05,Sample X29,0.214,
B06,Sample X30,0.181,
B07,Sample X31,0.249,
B08,Sample X32,0.219,
B09,Sample X33,0.245,
B10,Sample X34,0.241,
B11,Sample X35,0.195,
B12,Sample X36,0.220,
B13,Sample X37,0.234,
B14,Sample X38,0.204,
B15,Sample X39,0.244,
B16,Sample X40,0.258,
B17,Sample X41,0.245,
B18,Sample X42,0.209,
B19,Sample X43,0.198,
B20,Sample X44,0.209,
B21,Sample X45,0.210,
B22,Sample X46,0.224,
B23,Sample X47,0.063,
B24,Sample X48,0.058,
C01,Sample X49,0.060,
C02,Sample X50,0.221,
C03,Sample X51,0.209,
C04,Sample X52,0.202,
C05,Sample X53,0.192,
C06,Sample X54,0.201,
C07,Sample X55,0.212,
C08,Sample X56,0.195,
C09,Sample X57,0.222,
C10,Sample X58,0.218,
C11,Sample X59,0.206,
C12,Sample X60,0.101,
C13,Sample X61,0.123,
C14,Sample X62,0.203,
C15,Sample X63,0.204,
C16,Sample X64,0.219,
C17,Sample X65,0.234,
C18,Sample X66,0.238,
C19,Sample X67,0.196,
C20,Sample X68,0.203,
C21,Sample X69,0.217,
C22,Sample X70,0.129,
