Well,Content,Well Scan: Average (600),
A01,Sample X1,0.057,
A02,Sample X2,0.056,
A03,Sample X3,0.106,
A04,Sample X4,0.106,
A05,Sample X5,0.110,
A06,Sample X6,0.099,
A07,Sample X7,0.110,
A08,Sample X8,0.100,
A09,Sample X9,0.084,
A10,Sample X10,0.087,
A11,Sample X11,0.089,
A12,Sample X12,0.105,
A13,Sample X13,0.106,
A14,Sample X14,0.099,
A15,Sample X15,0.112,
A16,Sample X16,0.111,
A17,Sample X17,0.110,
A18,Sample X18,0.165,
A19,Sample X19,0.107,
A20,Sample X20,0.102,
A21,Sample X21,0.099,
A22,Sample X22,0.116,
A23,Sample X23,0.075,
A24,Sample X24,0.061,
B01,Sample X25,0.052,
B02,Sample X26,0.050,
B03,Sample X27,0.093,
B04,Sample X28,0.107,
B05,Sample X29,0.109,
B06,Sample X30,0.093,
B07,Sample X31,0.121,
B08,Sample X32,0.119,
B09,Sample X33,0.120,
B10,Sample X34,0.124,
B11,Sample X35,0.123,
B12,Sample X36,0.128,
B13,Sample X37,0.132,
B14,Sample X38,0.114,
B15,Sample X39,0.133,
B16,Sample X40,0.145,
B17,Sample X41,0.133,
B18,Sample X42,0.120,
B19,Sample X43,0.128,
B20,Sample X44,0.120,
B21,Sample X45,0.118,
B22,Sample X46,0.135,
B23,Sample X47,0.063,
B24,Sample X48,0.075,
C01,Sample X49,0.054,
C02,Sample X50,0.057,
C03,Sample X51,0.109,
C04,Sample X52,0.112,
C05,Sample X53,0.098,
C06,Sample X54,0.114,
C07,Sample X55,0.108,
C08,Sample X56,0.118,
C09,Sample X57,0.129,
C10,Sample X58,0.120,
C11,Sample X59,0.111,
C12,Sample X60,0.097,
C13,Sample X61,0.104,
C14,Sample X62,0.114,
C15,Sample X63,0.112,
C16,Sample X64,0.126,
C17,Sample X65,0.142,
C18,Sample X66,0.126,
C19,Sample X67,0.116,
C20,Sample X68,0.112,
C21,Sample X69,0.124,
C22,Sample X70,0.101,
C23,Sample X71,0.063,
C24,Sample X72,0.063,
D01,Sample X73,0.053,
D02,Sample X74,0.055,
D03,Sample X75,0.131,
D04,Sample X76,0.107,
D05,Sample X77,0.124,
D06,Sample X78,0.120,
D07,Sample X79,0.121,
D08,Sample X80,0.134,
D09,Sample X81,0.112,
D10,Sample X82,0.127,
D11,Sample X83,0.128,
D12,Sample X84,0.141,
D13,Sample X85,0.126,
D14,Sample X86,0.114,
D15,Sample X87,0.145,
D16,Sample X88,0.107,
D17,Sample X89,0.123,
D18,Sample X90,0.122,
D19,Sample X91,0.123,
D20,Sample X92,0.145,
D21,Sample X93,0.138,
D22,Sample X94,0.167,
D23,Sample X95,0.061,
D24,Sample X96,0.069,
E01,Sample X97,0.059,
E02,Sample X98,0.064,
E03,Sample X99,0.120,
E04,Sample X100,0.107,
E05,Sample X101,0.103,
E06,Sample X102,0.106,
E07,Sample X103,0.108,
E08,Sample X104,0.121,
E09,Sample X105,0.132,
E10,Sample X106,0.091,
E11,Sample X107,0.095,
E12,Sample X108,0.115,
E13,Sample X109,0.149,
E14,Sample X110,0.118,
E15,Sample X111,0.112,
E16,Sample X112,0.110,
E17,Sample X113,0.139,
E18,Sample X114,0.112,
E19,Sample X115,0.124,
E20,Sample X116,0.130,
E21,Sample X117,0.120,
E22,Sample X118,0.119,
E23,Sample X119,0.069,
E24,Sample X120,0.079,
F01,Sample X121,0.065,
F02,Sample X122,0.059,
F03,Sample X123,0.103,
F04,Sample X124,0.106,
F05,Sample X125,0.111,
F06,Sample X126,0.109,
F07,Sample X127,0.119,
F08,Sample X128,0.129,
F09,Sample X129,0.135,
F10,Sample X130,0.163,
F11,Sample X131,0.122,
F12,Sample X132,0.118,
F13,Sample X133,0.094,
F14,Sample X134,0.124,
F15,Sample X135,0.107,
F16,Sample X136,0.153,
F17,Sample X137,0.155,
F18,Sample X138,0.118,
F19,Sample X139,0.140,
F20,Sample X140,0.137,
F21,Sample X141,0.134,
F22,Sample X142,0.127,
F23,Sample X143,0.076,
F24,Sample X144,0.086,
G01,Sample X145,0.061,
G02,Sample X146,0.058,
G03,Sample X147,0.111,
G04,Sample X148,0.119,
G05,Sample X149,0.127,
G06,Sample X150,0.134,
G07,Sample X151,0.117,
G08,Sample X152,0.132,
G09,Sample X153,0.110,
G10,Sample X154,0.135,
G11,Sample X155,0.125,
G12,Sample X156,0.205,
G13,Sample X157,0.131,
G14,Sample X158,0.155,
G15,Sample X159,0.132,
G16,Sample X160,0.145,
G17,Sample X161,0.137,
G18,Sample X162,0.145,
G19,Sample X163,0.147,
G20,Sample X164,0.134,
G21,Sample X165,0.122,
G22,Sample X166,0.128,
G23,Sample X167,0.081,
G24,Sample X168,0.099,
H01,Sample X169,0.056,
H02,Sample X170,0.057,
H03,Sample X171,0.115,
H04,Sample X172,0.105,
H05,Sample X173,0.155,
H06,Sample X174,0.113,
H07,Sample X175,0.120,
H08,Sample X176,0.151,
