Well,Content,Well Scan: Average (600),
A01,Sample X1,0.062,
A02,Sample X2,0.072,
A03,Sample X3,0.521,
A04,Sample X4,0.529,
A05,Sample X5,0.707,
A06,Sample X6,0.499,
A07,Sample X7,0.612,
A08,Sample X8,0.117,
A09,Sample X9,0.075,
A10,Sample X10,0.063,
A11,Sample X11,0.062,
A12,Sample X12,0.073,
A13,Sample X13,0.083,
A14,Sample X14,0.097,
A15,Sample X15,0.063,
A16,Sample X16,0.061,
A17,Sample X17,0.059,
A18,Sample X18,0.503,
A19,Sample X19,0.503,
A20,Sample X20,0.521,
A21,Sample X21,0.537,
A22,Sample X22,0.553,
A23,Sample X23,0.050,
A24,Sample X24,0.052,
B01,Sample X25,0.063,
B02,Sample X26,0.065,
B03,Sample X27,0.153,
B04,Sample X28,0.455,
B05,Sample X29,0.445,
B06,Sample X30,0.411,
B07,Sample X31,0.437,
B08,Sample X32,0.444,
B09,Sample X33,0.426,
B10,Sample X34,0.430,
B11,Sample X35,0.158,
B12,Sample X36,0.415,
B13,Sample X37,0.387,
B14,Sample X38,0.337,
B15,Sample X39,0.422,
B16,Sample X40,0.447,
B17,Sample X41,0.464,
B18,Sample X42,0.417,
B19,Sample X43,0.522,
B20,Sample X44,0.455,
B21,Sample X45,0.462,
B22,Sample X46,0.489,
B23,Sample X47,0.050,
B24,Sample X48,0.047,
C01,Sample X49,0.061,
C02,Sample X50,0.065,
C03,Sample X51,0.456,
C04,Sample X52,0.424,
C05,Sample X53,0.419,
C06,Sample X54,0.396,
C07,Sample X55,0.382,
C08,Sample X56,0.367,
C09,Sample X57,0.404,
C10,Sample X58,0.405,
C11,Sample X59,0.382,
C12,Sample X60,0.135,
C13,Sample X61,0.156,
C14,Sample X62,0.418,
C15,Sample X63,0.377,
C16,Sample X64,0.401,
C17,Sample X65,0.435,
C18,Sample X66,0.490,
C19,Sample X67,0.411,
C20,Sample X68,0.462,
C21,Sample X69,0.444,
C22,Sample X70,0.459,
C23,Sample X71,0.051,
C24,Sample X72,0.055,
D01,Sample X73,0.062,
D02,Sample X74,0.076,
D03,Sample X75,0.285,
D04,Sample X76,0.435,
D05,Sample X77,0.402,
D06,Sample X78,0.375,
D07,Sample X79,0.388,
D08,Sample X80,0.516,
D09,Sample X81,0.305,
D10,Sample X82,0.325,
D11,Sample X83,0.350,
D12,Sample X84,0.340,
D13,Sample X85,0.160,
D14,Sample X86,0.338,
D15,Sample X87,0.258,
D16,Sample X88,0.272,
D17,Sample X89,0.286,
D18,Sample X90,0.308,
D19,Sample X91,0.407,
D20,Sample X92,0.129,
D21,Sample X93,0.135,
D22,Sample X94,0.403,
D23,Sample X95,0.055,
D24,Sample X96,0.050,
E01,Sample X97,0.064,
E02,Sample X98,0.067,
E03,Sample X99,0.475,
E04,Sample X100,0.423,
E05,Sample X101,0.383,
E06,Sample X102,0.355,
E07,Sample X103,0.160,
E08,Sample X104,0.189,
E09,Sample X105,0.384,
E10,Sample X106,0.189,
E11,Sample X107,0.384,
E12,Sample X108,0.199,
E13,Sample X109,0.335,
E14,Sample X110,0.365,
E15,Sample X111,0.169,
E16,Sample X112,0.346,
E17,Sample X113,0.399,
E18,Sample X114,0.139,
E19,Sample X115,0.111,
E20,Sample X116,0.296,
E21,Sample X117,0.427,
E22,Sample X118,0.139,
E23,Sample X119,0.054,
E24,Sample X120,0.060,
F01,Sample X121,0.062,
F02,Sample X122,0.064,
F03,Sample X123,0.348,
F04,Sample X124,0.096,
F05,Sample X125,0.239,
F06,Sample X126,0.348,
F07,Sample X127,0.629,
F08,Sample X128,0.363,
F09,Sample X129,0.362,
F10,Sample X130,0.347,
F11,Sample X131,0.317,
F12,Sample X132,0.326,
F13,Sample X133,0.083,
F14,Sample X134,0.345,
F15,Sample X135,0.376,
F16,Sample X136,0.371,
F17,Sample X137,0.384,
F18,Sample X138,0.153,
F19,Sample X139,0.390,
