Well,Content,Well Scan: Average (600),
A01,Sample X1,0.045,
A02,Sample X2,0.048,
A03,Sample X3,0.085,
A04,Sample X4,0.088,
A05,Sample X5,0.086,
A06,Sample X6,0.084,
A07,Sample X7,0.084,
A08,Sample X8,0.099,
A09,Sample X9,0.088,
A10,Sample X10,0.081,
A11,Sample X11,0.085,
A12,Sample X12,0.107,
A13,Sample X13,0.085,
A14,Sample X14,0.092,
A15,Sample X15,0.075,
A16,Sample X16,0.083,
A17,Sample X17,0.089,
A18,Sample X18,0.087,
A19,Sample X19,0.089,
A20,Sample X20,0.091,
A21,Sample X21,0.088,
A22,Sample X22,0.085,
A23,Sample X23,0.046,
A24,Sample X24,0.050,
B01,Sample X25,0.050,
B02,Sample X26,0.046,
B03,Sample X27,0.090,
B04,Sample X28,0.090,
B05,Sample X29,0.082,
B06,Sample X30,0.090,
B07,Sample X31,0.089,
B08,Sample X32,0.115,
B09,Sample X33,0.093,
B10,Sample X34,0.084,
B11,Sample X35,0.086,
B12,Sample X36,0.101,
B13,Sample X37,0.102,
B14,Sample X38,0.085,
B15,Sample X39,0.080,
B16,Sample X40,0.104,
B17,Sample X41,0.112,
B18,Sample X42,0.098,
B19,Sample X43,0.089,
B20,Sample X44,0.084,
B21,Sample X45,0.086,
B22,Sample X46,0.096,
B23,Sample X47,0.048,
B24,Sample X48,0.045,
C01,Sample X49,0.052,
C02,Sample X50,0.048,
C03,Sample X51,0.135,
C04,Sample X52,0.087,
C05,Sample X53,0.092,
C06,Sample X54,0.075,
C07,Sample X55,0.100,
C08,Sample X56,0.106,
C09,Sample X57,0.106,
C10,Sample X58,0.085,
C11,Sample X59,0.109,
C12,Sample X60,0.090,
C13,Sample X61,0.096,
C14,Sample X62,0.102,
C15,Sample X63,0.088,
C16,Sample X64,0.090,
C17,Sample X65,0.118,
C18,Sample X66,0.103,
C19,Sample X67,0.090,
C20,Sample X68,0.092,
C21,Sample X69,0.097,
C22,Sample X70,0.100,
C23,Sample X71,0.059,
C24,Sample X72,0.052,
D01,Sample X73,0.069,
D02,Sample X74,0.053,
D03,Sample X75,0.095,
D04,Sample X76,0.092,
D05,Sample X77,0.088,
D06,Sample X78,0.074,
D07,Sample X79,0.084,
D08,Sample X80,0.122,
D09,Sample X81,0.100,
