Well,Content,Raw Data (600),
A01,Sample X1,0.233,
A02,Sample X2,0.172,
A03,Sample X3,0.422,
A04,Sample X4,0.371,
A05,Sample X5,0.411,
A06,Sample X6,0.380,
A07,Sample X7,0.372,
A08,Sample X8,0.776,
A09,Sample X9,0.543,
A10,Sample X10,0.413,
A11,Sample X11,0.437,
A12,Sample X12,0.384,
A13,Sample X13,0.398,
A14,Sample X14,0.387,
A15,Sample X15,0.359,
A16,Sample X16,0.401,
A17,Sample X17,0.377,
A18,Sample X18,0.797,
A19,Sample X19,0.739,
A20,Sample X20,0.754,
A21,Sample X21,0.825,
A22,Sample X22,0.581,
A23,Sample X23,0.158,
A24,Sample X24,0.204,
B01,Sample X25,0.168,
B02,Sample X26,0.165,
B03,Sample X27,0.698,
B04,Sample X28,0.754,
B05,Sample X29,0.811,
B06,Sample X30,0.803,
B07,Sample X31,0.709,
B08,Sample X32,0.856,
B09,Sample X33,0.807,
B10,Sample X34,0.724,
B11,Sample X35,0.723,
B12,Sample X36,0.732,
B13,Sample X37,0.717,
B14,Sample X38,0.680,
B15,Sample X39,0.728,
B16,Sample X40,0.651,
B17,Sample X41,0.425,
B18,Sample X42,0.597,
B19,Sample X43,0.580,
B20,Sample X44,0.579,
B21,Sample X45,0.562,
B22,Sample X46,0.569,
B23,Sample X47,0.157,
B24,Sample X48,0.215,
C01,Sample X49,0.173,
C02,Sample X50,0.167,
C03,Sample X51,0.521,
C04,Sample X52,0.406,
C05,Sample X53,0.329,
C06,Sample X54,0.344,
C07,Sample X55,0.292,
C08,Sample X56,0.611,
C09,Sample X57,0.439,
C10,Sample X58,0.394,
C11,Sample X59,0.427,
C12,Sample X60,0.384,
C13,Sample X61,0.312,
C14,Sample X62,0.447,
C15,Sample X63,0.513,
C16,Sample X64,0.420,
C17,Sample X65,0.504,
C18,Sample X66,0.403,
C19,Sample X67,0.394,
C20,Sample X68,0.388,
C21,Sample X69,0.413,
C22,Sample X70,0.622,
C23,Sample X71,0.157,
C24,Sample X72,0.151,
D01,Sample X73,0.179,
D02,Sample X74,0.166,
D03,Sample X75,0.659,
D04,Sample X76,0.287,
D05,Sample X77,0.542,
D06,Sample X78,0.538,
D07,Sample X79,0.294,
D08,Sample X80,0.593,
D09,Sample X81,0.530,
D10,Sample X82,0.545,
D11,Sample X83,0.693,
D12,Sample X84,0.539,
D13,Sample X85,0.531,
D14,Sample X86,0.601,
D15,Sample X87,0.528,
D16,Sample X88,0.443,
D17,Sample X89,0.318,
D18,Sample X90,0.444,
D19,Sample X91,0.484,
D20,Sample X92,0.298,
D21,Sample X93,0.243,
D22,Sample X94,0.392,
D23,Sample X95,0.152,
D24,Sample X96,0.155,
E01,Sample X97,0.169,
E02,Sample X98,0.168,
E03,Sample X99,0.434,
E04,Sample X100,0.456,
E05,Sample X101,0.488,
E06,Sample X102,0.510,
E07,Sample X103,0.560,
E08,Sample X104,0.659,
E09,Sample X105,0.403,
E10,Sample X106,0.420,
E11,Sample X107,0.496,
E12,Sample X108,0.517,
E13,Sample X109,0.568,
E14,Sample X110,0.472,
E15,Sample X111,0.505,
E16,Sample X112,0.517,
E17,Sample X113,0.402,
E18,Sample X114,0.426,
E19,Sample X115,0.300,
E20,Sample X116,0.419,
E21,Sample X117,0.447,
E22,Sample X118,0.414,
E23,Sample X119,0.155,
E24,Sample X120,0.151,
F01,Sample X121,0.172,
F02,Sample X122,0.163,
F03,Sample X123,0.447,
F04,Sample X124,0.397,
F05,Sample X125,0.448,
F06,Sample X126,0.422,
F07,Sample X127,0.458,
F08,Sample X128,0.585,
F09,Sample X129,0.489,
F10,Sample X130,0.409,
F11,Sample X131,0.473,
F12,Sample X132,0.510,
F13,Sample X133,0.437,
F14,Sample X134,0.508,
F15,Sample X135,0.530,
F16,Sample X136,0.592,
F17,Sample X137,0.466,
F18,Sample X138,0.233,
F19,Sample X139,0.288,
F20,Sample X140,0.464,
F21,Sample X141,0.457,
F22,Sample X142,0.479,
F23,Sample X143,0.158,
F24,Sample X144,0.150,
G01,Sample X145,0.165,
G02,Sample X146,0.175,
G03,Sample X147,0.371,
G04,Sample X148,0.316,
G05,Sample X149,0.331,
G06,Sample X150,0.358,
G07,Sample X151,0.528,
G08,Sample X152,0.611,
G09,Sample X153,0.572,
G10,Sample X154,0.498,
G11,Sample X155,0.536,
G12,Sample X156,0.433,
G13,Sample X157,0.419,
G14,Sample X158,0.390,
G15,Sample X159,0.560,
G16,Sample X160,0.459,
G17,Sample X161,0.362,
G18,Sample X162,0.254,
G19,Sample X163,0.482,
G20,Sample X164,0.361,
G21,Sample X165,0.450,
G22,Sample X166,0.450,
G23,Sample X167,0.153,
G24,Sample X168,0.229,
H01,Sample X169,0.164,
H02,Sample X170,0.164,
H03,Sample X171,0.431,
H04,Sample X172,0.306,
H05,Sample X173,0.306,
H06,Sample X174,0.544,
H07,Sample X175,0.305,
H08,Sample X176,0.358,
H09,Sample X177,0.545,
H10,Sample X178,0.508,
H11,Sample X179,0.558,
H12,Sample X180,0.474,
H13,Sample X181,0.439,
H14,Sample X182,0.537,
H15,Sample X183,0.547,
H16,Sample X184,0.560,
H17,Sample X185,0.479,
H18,Sample X186,0.539,
H19,Sample X187,0.547,
H20,Sample X188,0.478,
H21,Sample X189,0.517,
H22,Sample X190,0.504,
H23,Sample X191,0.155,
H24,Sample X192,0.155,
I01,Sample X193,0.253,
I02,Sample X194,0.166,
I03,Sample X195,0.469,
I04,Sample X196,0.487,
I05,Sample X197,0.358,
I06,Sample X198,0.514,
I07,Sample X199,0.285,
I08,Sample X200,0.428,
I09,Sample X201,0.506,
I10,Sample X202,0.426,
I11,Sample X203,0.509,
I12,Sample X204,0.520,
I13,Sample X205,0.522,
I14,Sample X206,0.382,
I15,Sample X207,0.535,
I16,Sample X208,0.450,
I17,Sample X209,0.527,
I18,Sample X210,0.460,
I19,Sample X211,0.480,
I20,Sample X212,0.500,
I21,Sample X213,0.498,
I22,Sample X214,0.459,
I23,Sample X215,0.229,
I24,Sample X216,0.161,
J01,Sample X217,0.293,
J02,Sample X218,0.167,
J03,Sample X219,0.308,
J04,Sample X220,0.501,
J05,Sample X221,0.534,
J06,Sample X222,0.525,
J07,Sample X223,0.434,
J08,Sample X224,0.626,
J09,Sample X225,0.533,
J10,Sample X226,0.533,
J11,Sample X227,0.529,
J12,Sample X228,0.530,
J13,Sample X229,0.539,
J14,Sample X230,0.481,
J15,Sample X231,0.549,
J16,Sample X232,0.517,
J17,Sample X233,0.530,
J18,Sample X234,0.518,
J19,Sample X235,0.501,
J20,Sample X236,0.509,
J21,Sample X237,0.512,
J22,Sample X238,0.493,
J23,Sample X239,0.174,
J24,Sample X240,0.167,
K01,Sample X241,0.269,
K02,Sample X242,0.182,
K03,Sample X243,0.419,
K04,Sample X244,0.506,
K05,Sample X245,0.448,
K06,Sample X246,0.439,
K07,Sample X247,0.535,
K08,Sample X248,0.504,
K09,Sample X249,0.480,
K10,Sample X250,0.569,
K11,Sample X251,0.456,
K12,Sample X252,0.480,
K13,Sample X253,0.513,
K14,Sample X254,0.501,
K15,Sample X255,0.444,
K16,Sample X256,0.511,
K17,Sample X257,0.501,
K18,Sample X258,0.484,
K19,Sample X259,0.496,
K20,Sample X260,0.421,
K21,Sample X261,0.446,
K22,Sample X262,0.267,
K23,Sample X263,0.202,
K24,Sample X264,0.166,
L01,Sample X265,0.276,
L02,Sample X266,0.158,
L03,Sample X267,0.259,
L04,Sample X268,0.348,
L05,Sample X269,0.491,
L06,Sample X270,0.530,
L07,Sample X271,0.529,
L08,Sample X272,0.592,
L09,Sample X273,0.531,
L10,Sample X274,0.496,
