Well,Content,Well Scan: Average (600),
J12,Sample X228,0.346,
J13,Sample X229,0.377,
J14,Sample X230,0.310,
J15,Sample X231,0.125,
J16,Sample X232,0.473,
J17,Sample X233,0.513,
J18,Sample X234,0.474,
J19,Sample X235,0.446,
J20,Sample X236,0.482,
J21,Sample X237,0.186,
J22,Sample X238,0.122,
J23,Sample X239,0.115,
J24,Sample X240,0.120,
K01,Sample X241,0.087,
K02,Sample X242,0.216,
K03,Sample X243,0.131,
K04,Sample X244,0.109,
K05,Sample X245,0.128,
K06,Sample X246,0.117,
K07,Sample X247,0.138,
K08,Sample X248,0.269,
K09,Sample X249,0.184,
K10,Sample X250,0.225,
K11,Sample X251,0.150,
K12,Sample X252,0.143,
K13,Sample X253,0.391,
K14,Sample X254,0.256,
K15,Sample X255,0.175,
K16,Sample X256,0.324,
K17,Sample X257,0.246,
K18,Sample X258,0.405,
K19,Sample X259,0.380,
K20,Sample X260,0.256,
K21,Sample X261,0.126,
K22,Sample X262,0.124,
K23,Sample X263,0.263,
K24,Sample X264,0.093,
L01,Sample X265,0.071,
L02,Sample X266,0.217,
L03,Sample X267,0.101,
L04,Sample X268,0.113,
L05,Sample X269,0.110,
L06,Sample X270,0.167,
L07,Sample X271,0.120,
L08,Sample X272,0.163,
L09,Sample X273,0.157,
L10,Sample X274,0.282,
L11,Sample X275,0.109,
L12,Sample X276,0.209,
L13,Sample X277,0.299,
L14,Sample X278,0.474,
L15,Sample X279,0.190,
L16,Sample X280,0.429,
L17,Sample X281,0.115,
L18,Sample X282,0.447,
L19,Sample X283,0.346,
L20,Sample X284,0.117,
L21,Sample X285,0.107,
L22,Sample X286,0.110,
L23,Sample X287,0.079,
L24,Sample X288,0.080,
M01,Sample X289,0.066,
M02,Sample X290,0.075,
M03,Sample X291,0.109,
M04,Sample X292,0.120,
M05,Sample X293,0.104,
M06,Sample X294,0.094,
M07,Sample X295,0.106,
M08,Sample X296,0.088,
M09,Sample X297,0.111,
M10,Sample X298,0.166,
M11,Sample X299,0.096,
M12,Sample X300,0.075,
M13,Sample X301,0.221,
M14,Sample X302,0.271,
M15,Sample X303,0.165,
M16,Sample X304,0.302,
M17,Sample X305,0.169,
M18,Sample X306,0.096,
M19,Sample X307,0.085,
M20,Sample X308,0.090,
M21,Sample X309,0.089,
M22,Sample X310,0.080,
M23,Sample X311,0.127,
M24,Sample X312,0.057,
N01,Sample X313,0.048,
N02,Sample X314,0.250,
N03,Sample X315,0.075,
N04,Sample X316,0.079,
N05,Sample X317,0.242,
N06,Sample X318,0.140,
N07,Sample X319,0.082,
N08,Sample X320,0.388,
N09,Sample X321,0.104,
N10,Sample X322,0.289,
N11,Sample X323,0.112,
N12,Sample X324,0.194,
N13,Sample X325,0.099,
N14,Sample X326,0.132,
N15,Sample X327,0.084,
N16,Sample X328,0.079,
N17,Sample X329,0.183,
N18,Sample X330,0.084,
N19,Sample X331,0.157,
N20,Sample X332,0.183,
N21,Sample X333,0.080,
N22,Sample X334,0.079,
N23,Sample X335,0.295,
N24,Sample X336,0.047,
O01,Sample X337,0.046,
O02,Sample X338,0.056,
O03,Sample X339,0.090,
O04,Sample X340,0.082,
O05,Sample X341,0.092,
O06,Sample X342,0.079,
