Well,Content,Raw Data (600),
A01,Sample X1,0.161,
A02,Sample X2,0.161,
A03,Sample X3,0.169,
A04,Sample X4,0.170,
A05,Sample X5,0.164,
A06,Sample X6,0.165,
A07,Sample X7,0.167,
A08,Sample X8,0.163,
A09,Sample X9,0.165,
A10,Sample X10,0.201,
A11,Sample X11,0.158,
A12,Sample X12,0.156,
A13,Sample X13,0.269,
A14,Sample X14,0.158,
A15,Sample X15,0.157,
A16,Sample X16,0.229,
A17,Sample X17,0.194,
A18,Sample X18,1.886,
A19,Sample X19,2.037,
A20,Sample X20,1.922,
A21,Sample X21,1.946,
A22,Sample X22,1.737,
A23,Sample X23,0.153,
A24,Sample X24,0.163,
B01,Sample X25,0.163,
B02,Sample X26,0.165,
B03,Sample X27,1.923,
B04,Sample X28,2.100,
B05,Sample X29,1.962,
B06,Sample X30,1.471,
B07,Sample X31,1.975,
B08,Sample X32,2.333,
B09,Sample X33,2.483,
B10,Sample X34,1.939,
B11,Sample X35,2.077,
B12,Sample X36,2.219,
B13,Sample X37,2.200,
B14,Sample X38,2.167,
B15,Sample X39,2.302,
B16,Sample X40,2.103,
B17,Sample X41,0.156,
B18,Sample X42,2.213,
B19,Sample X43,2.057,
B20,Sample X44,1.972,
B21,Sample X45,1.887,
B22,Sample X46,2.007,
B23,Sample X47,0.153,
B24,Sample X48,0.154,
C01,Sample X49,0.163,
C02,Sample X50,0.155,
C03,Sample X51,0.207,
C04,Sample X52,2.373,
C05,Sample X53,0.156,
C06,Sample X54,0.905,
C07,Sample X55,0.164,
C08,Sample X56,1.919,
C09,Sample X57,2.565,
C10,Sample X58,2.535,
C11,Sample X59,2.562,
C12,Sample X60,0.168,
C13,Sample X61,0.835,
C14,Sample X62,2.365,
C15,Sample X63,0.345,
C16,Sample X64,2.638,
C17,Sample X65,0.169,
C18,Sample X66,2.652,
C19,Sample X67,2.493,
C20,Sample X68,2.517,
C21,Sample X69,2.525,
C22,Sample X70,2.328,
C23,Sample X71,0.152,
C24,Sample X72,0.156,
D01,Sample X73,0.156,
D02,Sample X74,0.154,
D03,Sample X75,2.272,
D04,Sample X76,0.175,
D05,Sample X77,0.167,
D06,Sample X78,2.357,
D07,Sample X79,1.809,
D08,Sample X80,2.883,
D09,Sample X81,3.010,
D10,Sample X82,2.731,
D11,Sample X83,2.978,
D12,Sample X84,2.878,
D13,Sample X85,2.765,
D14,Sample X86,2.857,
D15,Sample X87,2.766,
D16,Sample X88,2.602,
D17,Sample X89,2.836,
D18,Sample X90,2.714,
D19,Sample X91,2.324,
D20,Sample X92,0.164,
D21,Sample X93,0.162,
D22,Sample X94,2.783,
D23,Sample X95,0.146,
D24,Sample X96,0.149,
E01,Sample X97,0.153,
E02,Sample X98,0.186,
E03,Sample X99,2.253,
E04,Sample X100,2.313,
E05,Sample X101,2.466,
E06,Sample X102,2.331,
E07,Sample X103,2.707,
E08,Sample X104,2.535,
