Well,Content,Raw Data (600),
A01,Sample X1,0.444,
A02,Sample X2,0.262,
A03,Sample X3,0.327,
A04,Sample X4,0.272,
A05,Sample X5,0.255,
A06,Sample X6,0.200,
A07,Sample X7,0.222,
A08,Sample X8,0.196,
A09,Sample X9,0.214,
A10,Sample X10,0.251,
A11,Sample X11,0.211,
A12,Sample X12,0.198,
A13,Sample X13,0.312,
A14,Sample X14,0.174,
A15,Sample X15,0.202,
A16,Sample X16,0.195,
A17,Sample X17,0.206,
A18,Sample X18,4.054,
A19,Sample X19,3.982,
A20,Sample X20,4.080,
A21,Sample X21,4.221,
A22,Sample X22,4.161,
A23,Sample X23,0.160,
A24,Sample X24,0.254,
B01,Sample X25,0.191,
B02,Sample X26,0.211,
B03,Sample X27,4.025,
B04,Sample X28,4.235,
B05,Sample X29,4.167,
B06,Sample X30,4.034,
B07,Sample X31,4.019,
B08,Sample X32,4.197,
B09,Sample X33,4.195,
B10,Sample X34,4.192,
B11,Sample X35,4.127,
B12,Sample X36,3.972,
B13,Sample X37,4.100,
B14,Sample X38,4.088,
B15,Sample X39,4.218,
B16,Sample X40,4.162,
B17,Sample X41,0.182,
B18,Sample X42,3.983,
B19,Sample X43,4.174,
B20,Sample X44,4.164,
B21,Sample X45,4.202,
B22,Sample X46,4.119,
B23,Sample X47,0.154,
B24,Sample X48,0.168,
C01,Sample X49,0.188,
C02,Sample X50,1.419,
C03,Sample X51,3.178,
C04,Sample X52,3.899,
C05,Sample X53,0.904,
C06,Sample X54,3.309,
C07,Sample X55,0.224,
C08,Sample X56,3.905,
C09,Sample X57,4.086,
C10,Sample X58,3.159,
C11,Sample X59,4.230,
C12,Sample X60,0.256,
C13,Sample X61,1.820,
C14,Sample X62,2.490,
C15,Sample X63,2.338,
C16,Sample X64,1.508,
C17,Sample X65,0.188,
C18,Sample X66,0.201,
C19,Sample X67,3.828,
C20,Sample X68,4.137,
C21,Sample X69,4.053,
C22,Sample X70,4.027,
C23,Sample X71,0.151,
C24,Sample X72,0.154,
D01,Sample X73,0.173,
D02,Sample X74,0.168,
D03,Sample X75,3.920,
D04,Sample X76,0.911,
D05,Sample X77,0.190,
D06,Sample X78,3.745,
D07,Sample X79,0.753,
D08,Sample X80,4.357,
D09,Sample X81,3.971,
D10,Sample X82,4.021,
D11,Sample X83,4.112,
D12,Sample X84,4.066,
D13,Sample X85,3.884,
D14,Sample X86,4.214,
D15,Sample X87,3.963,
D16,Sample X88,4.042,
D17,Sample X89,1.978,
D18,Sample X90,3.833,
D19,Sample X91,3.890,
D20,Sample X92,0.253,
D21,Sample X93,0.184,
D22,Sample X94,4.003,
D23,Sample X95,0.155,
D24,Sample X96,0.154,
E01,Sample X97,0.158,
E02,Sample X98,0.172,
E03,Sample X99,3.788,
E04,Sample X100,3.969,
E05,Sample X101,0.232,
E06,Sample X102,3.718,
E07,Sample X103,3.763,
E08,Sample X104,3.903,
E09,Sample X105,3.263,
E10,Sample X106,3.560,
E11,Sample X107,3.829,
E12,Sample X108,3.951,
E13,Sample X109,3.815,
E14,Sample X110,3.852,
E15,Sample X111,3.770,
E16,Sample X112,3.435,
E17,Sample X113,3.089,
E18,Sample X114,0.299,
E19,Sample X115,0.255,
E20,Sample X116,1.788,
E21,Sample X117,3.646,
E22,Sample X118,3.328,
E23,Sample X119,0.154,
E24,Sample X120,0.147,
F01,Sample X121,0.159,
F02,Sample X122,0.163,
F03,Sample X123,4.194,
F04,Sample X124,3.982,
F05,Sample X125,3.571,
F06,Sample X126,3.611,
F07,Sample X127,1.516,
F08,Sample X128,3.840,
F09,Sample X129,0.529,
F10,Sample X130,0.846,
F11,Sample X131,3.932,
F12,Sample X132,3.687,
F13,Sample X133,1.653,
F14,Sample X134,3.708,
F15,Sample X135,3.569,
F16,Sample X136,3.676,
F17,Sample X137,3.705,
F18,Sample X138,0.614,
F19,Sample X139,2.616,
F20,Sample X140,3.612,
F21,Sample X141,0.179,
F22,Sample X142,0.172,
F23,Sample X143,0.145,
F24,Sample X144,0.139,
G01,Sample X145,0.169,
G02,Sample X146,0.152,
G03,Sample X147,3.514,
G04,Sample X148,2.443,
G05,Sample X149,3.579,
G06,Sample X150,3.443,
G07,Sample X151,3.523,
G08,Sample X152,3.589,
G09,Sample X153,3.650,
G10,Sample X154,3.835,
G11,Sample X155,3.671,
G12,Sample X156,3.439,
G13,Sample X157,0.271,
G14,Sample X158,0.317,
G15,Sample X159,1.061,
G16,Sample X160,0.312,
G17,Sample X161,0.491,
G18,Sample X162,0.282,
G19,Sample X163,3.655,
G20,Sample X164,0.229,
G21,Sample X165,3.681,
G22,Sample X166,0.173,
G23,Sample X167,0.162,
G24,Sample X168,0.145,
