Well,Content,Well Scan: Average (600),
A01,Sample X1,0.070,
A02,Sample X2,0.067,
A03,Sample X3,0.205,
A04,Sample X4,0.128,
A05,Sample X5,0.119,
A06,Sample X6,0.123,
A07,Sample X7,0.086,
A08,Sample X8,0.092,
A09,Sample X9,0.090,
A10,Sample X10,0.078,
A11,Sample X11,0.074,
A12,Sample X12,0.080,
A13,Sample X13,0.097,
A14,Sample X14,0.070,
A15,Sample X15,0.066,
A16,Sample X16,0.066,
A17,Sample X17,0.070,
A18,Sample X18,0.577,
A19,Sample X19,0.651,
A20,Sample X20,0.701,
A21,Sample X21,0.661,
A22,Sample X22,0.742,
A23,Sample X23,0.052,
A24,Sample X24,0.056,
B01,Sample X25,0.068,
B02,Sample X26,0.061,
B03,Sample X27,0.193,
B04,Sample X28,0.601,
B05,Sample X29,0.561,
B06,Sample X30,0.831,
B07,Sample X31,0.503,
B08,Sample X32,0.540,
B09,Sample X33,0.543,
B10,Sample X34,1.195,
B11,Sample X35,0.077,
B12,Sample X36,0.576,
B13,Sample X37,0.579,
B14,Sample X38,0.649,
B15,Sample X39,0.552,
B16,Sample X40,1.039,
B17,Sample X41,0.589,
B18,Sample X42,0.619,
B19,Sample X43,0.712,
B20,Sample X44,0.887,
B21,Sample X45,0.554,
B22,Sample X46,0.645,
B23,Sample X47,0.056,
B24,Sample X48,0.053,
C01,Sample X49,0.098,
C02,Sample X50,0.061,
C03,Sample X51,0.521,
C04,Sample X52,0.540,
C05,Sample X53,0.482,
C06,Sample X54,0.471,
C07,Sample X55,0.487,
C08,Sample X56,0.073,
C09,Sample X57,0.494,
C10,Sample X58,0.267,
C11,Sample X59,0.488,
C12,Sample X60,0.062,
C13,Sample X61,0.154,
C14,Sample X62,0.082,
C15,Sample X63,0.651,
C16,Sample X64,0.509,
C17,Sample X65,0.549,
C18,Sample X66,0.415,
C19,Sample X67,0.468,
C20,Sample X68,1.099,
C21,Sample X69,0.616,
C22,Sample X70,0.540,
C23,Sample X71,0.052,
C24,Sample X72,0.056,
D01,Sample X73,0.069,
D02,Sample X74,0.067,
D03,Sample X75,0.072,
D04,Sample X76,1.332,
D05,Sample X77,0.523,
D06,Sample X78,0.733,
D07,Sample X79,0.474,
D08,Sample X80,0.548,
D09,Sample X81,0.056,
D10,Sample X82,0.546,
D11,Sample X83,0.490,
D12,Sample X84,0.476,
D13,Sample X85,0.106,
D14,Sample X86,0.502,
D15,Sample X87,0.077,
D16,Sample X88,0.077,
D17,Sample X89,0.100,
D18,Sample X90,0.450,
D19,Sample X91,0.602,
D20,Sample X92,0.101,
D21,Sample X93,0.108,
D22,Sample X94,0.074,
D23,Sample X95,0.059,
D24,Sample X96,0.051,
E01,Sample X97,0.061,
E02,Sample X98,0.059,
E03,Sample X99,0.092,
E04,Sample X100,0.466,
E05,Sample X101,0.207,
E06,Sample X102,0.502,
E07,Sample X103,0.063,
E08,Sample X104,0.088,
E09,Sample X105,0.524,
E10,Sample X106,0.068,
E11,Sample X107,0.310,
E12,Sample X108,0.113,
E13,Sample X109,0.578,
E14,Sample X110,0.615,
E15,Sample X111,0.078,
E16,Sample X112,0.639,
E17,Sample X113,0.533,
E18,Sample X114,0.079,
E19,Sample X115,0.069,
E20,Sample X116,0.096,
E21,Sample X117,0.647,
E22,Sample X118,0.064,
E23,Sample X119,0.073,
E24,Sample X120,0.058,
F01,Sample X121,0.070,
F02,Sample X122,0.069,
F03,Sample X123,0.082,
F04,Sample X124,0.082,
F05,Sample X125,0.077,
F06,Sample X126,0.538,
F07,Sample X127,0.433,
F08,Sample X128,0.531,
F09,Sample X129,0.079,
F10,Sample X130,0.471,
F11,Sample X131,0.490,
F12,Sample X132,0.469,
F13,Sample X133,0.099,
F14,Sample X134,0.494,
F15,Sample X135,0.069,
F16,Sample X136,0.486,
F17,Sample X137,0.481,
F18,Sample X138,0.108,
F19,Sample X139,0.463,
F20,Sample X140,0.472,
F21,Sample X141,0.548,
F22,Sample X142,0.502,
F23,Sample X143,0.060,
F24,Sample X144,0.056,
G01,Sample X145,0.078,
G02,Sample X146,0.055,
G03,Sample X147,0.477,
G04,Sample X148,0.537,
G05,Sample X149,0.344,
G06,Sample X150,0.523,
G07,Sample X151,0.089,
G08,Sample X152,0.143,
G09,Sample X153,0.314,
G10,Sample X154,0.078,
G11,Sample X155,0.442,
G12,Sample X156,0.462,
G13,Sample X157,0.464,
G14,Sample X158,0.449,
G15,Sample X159,0.465,
G16,Sample X160,0.499,
G17,Sample X161,0.488,
G18,Sample X162,0.612,
G19,Sample X163,0.609,
G20,Sample X164,0.535,
G21,Sample X165,0.208,
G22,Sample X166,0.079,
G23,Sample X167,0.067,
G24,Sample X168,0.058,
H01,Sample X169,0.062,
H02,Sample X170,0.058,
H03,Sample X171,0.167,
H04,Sample X172,0.070,
H05,Sample X173,0.445,
H06,Sample X174,0.336,
H07,Sample X175,0.471,
H08,Sample X176,0.509,
H09,Sample X177,0.127,
H10,Sample X178,0.474,
H11,Sample X179,0.495,
H12,Sample X180,0.462,
H13,Sample X181,0.503,
H14,Sample X182,0.477,
H15,Sample X183,0.485,
H16,Sample X184,0.385,
H17,Sample X185,0.462,
H18,Sample X186,0.451,
H19,Sample X187,0.465,
H20,Sample X188,0.574,
H21,Sample X189,0.508,
H22,Sample X190,0.795,
H23,Sample X191,0.061,
H24,Sample X192,0.064,
I01,Sample X193,0.081,
I02,Sample X194,0.058,
I03,Sample X195,0.106,
I04,Sample X196,0.497,
I05,Sample X197,0.145,
I06,Sample X198,0.442,
I07,Sample X199,0.139,
I08,Sample X200,0.473,
I09,Sample X201,0.068,
I10,Sample X202,0.470,
I11,Sample X203,0.211,
I12,Sample X204,0.087,
I13,Sample X205,0.142,
I14,Sample X206,0.460,
I15,Sample X207,0.108,
I16,Sample X208,0.432,
I17,Sample X209,0.073,
I18,Sample X210,0.085,
I19,Sample X211,0.236,
I20,Sample X212,0.252,
I21,Sample X213,0.100,
I22,Sample X214,0.065,
I23,Sample X215,0.050,
I24,Sample X216,0.052,
J01,Sample X217,0.060,
J02,Sample X218,0.057,
J03,Sample X219,0.489,
J04,Sample X220,0.072,
J05,Sample X221,0.434,
J06,Sample X222,0.111,
J07,Sample X223,0.087,
J08,Sample X224,0.352,
J09,Sample X225,0.480,
J10,Sample X226,0.467,
J11,Sample X227,0.073,
J12,Sample X228,0.070,
J13,Sample X229,0.438,
J14,Sample X230,0.448,
J15,Sample X231,0.465,
J16,Sample X232,0.446,
J17,Sample X233,0.457,
J18,Sample X234,0.465,
J19,Sample X235,0.445,
J20,Sample X236,0.481,
J21,Sample X237,0.596,
J22,Sample X238,0.576,
J23,Sample X239,0.053,
J24,Sample X240,0.051,
K01,Sample X241,0.056,
K02,Sample X242,0.058,
K03,Sample X243,0.089,
K04,Sample X244,0.467,
K05,Sample X245,0.110,
K06,Sample X246,0.106,
K07,Sample X247,0.155,
K08,Sample X248,0.503,
K09,Sample X249,0.058,
K10,Sample X250,0.445,
K11,Sample X251,0.485,
K12,Sample X252,0.471,
K13,Sample X253,0.382,
K14,Sample X254,0.495,
K15,Sample X255,0.071,
K16,Sample X256,0.531,
K17,Sample X257,0.440,
K18,Sample X258,0.064,
K19,Sample X259,0.471,
K20,Sample X260,0.115,
K21,Sample X261,0.069,
K22,Sample X262,0.062,
K23,Sample X263,0.068,
K24,Sample X264,0.052,
L01,Sample X265,0.053,
L02,Sample X266,0.057,
L03,Sample X267,0.511,
