Well,Content,Raw Data (600),
A01,Sample X1,0.157,
A02,Sample X2,0.976,
A03,Sample X3,0.380,
A04,Sample X4,0.346,
A05,Sample X5,0.258,
A06,Sample X6,0.243,
A07,Sample X7,0.266,
A08,Sample X8,0.191,
A09,Sample X9,0.206,
A10,Sample X10,0.234,
A11,Sample X11,0.265,
A12,Sample X12,0.250,
A13,Sample X13,0.180,
A14,Sample X14,0.193,
A15,Sample X15,0.217,
A16,Sample X16,0.250,
A17,Sample X17,0.236,
A18,Sample X18,3.974,
A19,Sample X19,3.411,
A20,Sample X20,3.583,
A21,Sample X21,3.770,
A22,Sample X22,4.091,
A23,Sample X23,0.232,
A24,Sample X24,0.477,
B01,Sample X25,0.364,
B02,Sample X26,0.357,
B03,Sample X27,3.718,
B04,Sample X28,4.008,
B05,Sample X29,3.744,
B06,Sample X30,3.918,
B07,Sample X31,3.742,
B08,Sample X32,3.755,
B09,Sample X33,3.717,
B10,Sample X34,3.622,
B11,Sample X35,3.950,
B12,Sample X36,4.274,
B13,Sample X37,3.721,
B14,Sample X38,3.740,
B15,Sample X39,3.745,
B16,Sample X40,4.077,
B17,Sample X41,3.741,
B18,Sample X42,3.521,
B19,Sample X43,3.581,
B20,Sample X44,3.751,
B21,Sample X45,3.570,
B22,Sample X46,3.462,
B23,Sample X47,0.305,
B24,Sample X48,0.199,
C01,Sample X49,0.164,
C02,Sample X50,0.537,
C03,Sample X51,0.335,
C04,Sample X52,0.312,
C05,Sample X53,3.288,
C06,Sample X54,0.288,
C07,Sample X55,3.491,
C08,Sample X56,3.601,
C09,Sample X57,3.370,
C10,Sample X58,3.575,
C11,Sample X59,3.663,
C12,Sample X60,3.782,
C13,Sample X61,3.955,
C14,Sample X62,3.740,
C15,Sample X63,0.745,
C16,Sample X64,2.523,
C17,Sample X65,2.661,
C18,Sample X66,1.073,
C19,Sample X67,1.277,
C20,Sample X68,1.213,
C21,Sample X69,3.050,
C22,Sample X70,3.388,
C23,Sample X71,0.153,
C24,Sample X72,0.350,
D01,Sample X73,0.205,
D02,Sample X74,0.396,
D03,Sample X75,3.903,
D04,Sample X76,3.725,
D05,Sample X77,3.526,
D06,Sample X78,3.670,
D07,Sample X79,3.769,
D08,Sample X80,3.679,
D09,Sample X81,3.341,
D10,Sample X82,3.381,
D11,Sample X83,3.376,
D12,Sample X84,3.674,
D13,Sample X85,3.697,
D14,Sample X86,3.651,
D15,Sample X87,3.648,
D16,Sample X88,3.937,
D17,Sample X89,3.806,
D18,Sample X90,3.518,
D19,Sample X91,3.421,
D20,Sample X92,3.407,
D21,Sample X93,3.281,
D22,Sample X94,3.044,
D23,Sample X95,0.252,
D24,Sample X96,0.153,
E01,Sample X97,0.160,
E02,Sample X98,0.174,
E03,Sample X99,3.584,
E04,Sample X100,3.738,
E05,Sample X101,3.679,
E06,Sample X102,3.470,
E07,Sample X103,3.511,
E08,Sample X104,3.990,
E09,Sample X105,3.925,
E10,Sample X106,3.411,
E11,Sample X107,3.396,
E12,Sample X108,0.366,
E13,Sample X109,3.591,
E14,Sample X110,0.231,
E15,Sample X111,1.082,
E16,Sample X112,3.665,
E17,Sample X113,0.692,
E18,Sample X114,3.219,
E19,Sample X115,0.710,
E20,Sample X116,0.501,
E21,Sample X117,3.633,
E22,Sample X118,1.234,
E23,Sample X119,0.148,
E24,Sample X120,0.374,
F01,Sample X121,0.383,
F02,Sample X122,0.348,
F03,Sample X123,0.242,
F04,Sample X124,3.364,
F05,Sample X125,3.111,
F06,Sample X126,3.390,
F07,Sample X127,3.418,
F08,Sample X128,3.526,
F09,Sample X129,3.662,
F10,Sample X130,3.522,
F11,Sample X131,3.550,
F12,Sample X132,3.604,
F13,Sample X133,3.809,
F14,Sample X134,3.396,
F15,Sample X135,3.068,
F16,Sample X136,3.284,
F17,Sample X137,3.747,
F18,Sample X138,3.442,
F19,Sample X139,3.602,
F20,Sample X140,3.420,
F21,Sample X141,3.919,
F22,Sample X142,3.363,
F23,Sample X143,0.239,
F24,Sample X144,0.278,
G01,Sample X145,0.230,
G02,Sample X146,0.162,
G03,Sample X147,3.627,
G04,Sample X148,3.055,
G05,Sample X149,3.430,
G06,Sample X150,0.483,
G07,Sample X151,0.576,
G08,Sample X152,3.608,
G09,Sample X153,0.462,
G10,Sample X154,3.672,
G11,Sample X155,0.202,
G12,Sample X156,3.833,
G13,Sample X157,3.126,
G14,Sample X158,0.811,
G15,Sample X159,3.178,
G16,Sample X160,3.464,
G17,Sample X161,4.104,
G18,Sample X162,3.723,
G19,Sample X163,0.203,
G20,Sample X164,3.612,
G21,Sample X165,3.905,
G22,Sample X166,3.422,
G23,Sample X167,0.148,
G24,Sample X168,0.292,
H01,Sample X169,0.486,
H02,Sample X170,0.330,
H03,Sample X171,1.240,
H04,Sample X172,3.688,
H05,Sample X173,3.718,
H06,Sample X174,3.648,
H07,Sample X175,3.326,
H08,Sample X176,3.684,
H09,Sample X177,2.782,
H10,Sample X178,3.722,
