Well,Content,Raw Data (600),
A01,Sample X1,0.142,
A02,Sample X2,0.309,
A03,Sample X3,1.093,
A04,Sample X4,1.156,
A05,Sample X5,1.281,
A06,Sample X6,1.083,
A07,Sample X7,1.199,
A08,Sample X8,1.438,
A09,Sample X9,1.384,
A10,Sample X10,1.629,
A11,Sample X11,1.329,
A12,Sample X12,1.465,
A13,Sample X13,1.454,
A14,Sample X14,1.167,
A15,Sample X15,1.447,
A16,Sample X16,1.171,
A17,Sample X17,1.292,
A18,Sample X18,1.547,
A19,Sample X19,1.242,
A20,Sample X20,1.282,
A21,Sample X21,1.252,
A22,Sample X22,1.049,
A23,Sample X23,0.650,
A24,Sample X24,0.149,
B01,Sample X25,0.533,
B02,Sample X26,0.397,
B03,Sample X27,1.346,
B04,Sample X28,1.425,
B05,Sample X29,1.397,
B06,Sample X30,1.425,
B07,Sample X31,1.637,
B08,Sample X32,1.182,
B09,Sample X33,1.427,
B10,Sample X34,1.500,
B11,Sample X35,1.433,
B12,Sample X36,1.531,
B13,Sample X37,1.549,
B14,Sample X38,1.406,
B15,Sample X39,1.298,
B16,Sample X40,1.581,
B17,Sample X41,1.301,
B18,Sample X42,1.385,
B19,Sample X43,1.158,
B20,Sample X44,1.351,
B21,Sample X45,1.376,
B22,Sample X46,1.260,
B23,Sample X47,0.830,
B24,Sample X48,0.575,
C01,Sample X49,0.603,
C02,Sample X50,0.724,
C03,Sample X51,1.392,
C04,Sample X52,1.601,
C05,Sample X53,1.386,
C06,Sample X54,1.564,
C07,Sample X55,1.542,
C08,Sample X56,1.695,
C09,Sample X57,1.130,
C10,Sample X58,1.456,
C11,Sample X59,1.448,
C12,Sample X60,1.370,
C13,Sample X61,1.481,
C14,Sample X62,1.114,
C15,Sample X63,1.383,
C16,Sample X64,1.261,
C17,Sample X65,1.783,
C18,Sample X66,1.378,
C19,Sample X67,1.222,
C20,Sample X68,1.562,
C21,Sample X69,1.127,
C22,Sample X70,1.435,
C23,Sample X71,1.087,
C24,Sample X72,0.746,
D01,Sample X73,0.941,
D02,Sample X74,1.158,
D03,Sample X75,1.515,
D04,Sample X76,1.512,
D05,Sample X77,1.326,
D06,Sample X78,1.393,
D07,Sample X79,1.173,
D08,Sample X80,1.496,
D09,Sample X81,1.104,
D10,Sample X82,1.437,
D11,Sample X83,1.435,
D12,Sample X84,1.224,
D13,Sample X85,1.425,
D14,Sample X86,1.442,
D15,Sample X87,1.653,
D16,Sample X88,1.241,
D17,Sample X89,1.562,
D18,Sample X90,1.441,
D19,Sample X91,1.480,
D20,Sample X92,1.118,
D21,Sample X93,0.804,
D22,Sample X94,1.274,
D23,Sample X95,1.069,
D24,Sample X96,0.892,
E01,Sample X97,1.007,
E02,Sample X98,1.289,
E03,Sample X99,1.271,
E04,Sample X100,1.270,
E05,Sample X101,1.363,
E06,Sample X102,1.204,
E07,Sample X103,1.727,
E08,Sample X104,1.361,
E09,Sample X105,1.422,
E10,Sample X106,1.740,
E11,Sample X107,1.699,
E12,Sample X108,1.250,
E13,Sample X109,1.388,
E14,Sample X110,1.438,
E15,Sample X111,1.405,
E16,Sample X112,1.607,
E17,Sample X113,1.533,
E18,Sample X114,1.465,
E19,Sample X115,1.425,
E20,Sample X116,1.459,
E21,Sample X117,1.524,
E22,Sample X118,1.225,
E23,Sample X119,1.009,
E24,Sample X120,0.989,
F01,Sample X121,0.973,
F02,Sample X122,1.141,
F03,Sample X123,1.410,
F04,Sample X124,1.386,
F05,Sample X125,1.322,
F06,Sample X126,1.208,
F07,Sample X127,1.472,
F08,Sample X128,1.663,
F09,Sample X129,1.456,
F10,Sample X130,1.651,
F11,Sample X131,1.519,
F12,Sample X132,1.596,
F13,Sample X133,1.450,
F14,Sample X134,1.168,
F15,Sample X135,1.482,
F16,Sample X136,1.390,
F17,Sample X137,1.638,
F18,Sample X138,1.086,
F19,Sample X139,1.341,
F20,Sample X140,1.545,
F21,Sample X141,1.223,
F22,Sample X142,1.271,
F23,Sample X143,1.017,
F24,Sample X144,0.913,
G01,Sample X145,1.227,
G02,Sample X146,1.167,
G03,Sample X147,1.690,
G04,Sample X148,1.647,
G05,Sample X149,0.849,
G06,Sample X150,1.470,
G07,Sample X151,1.294,
G08,Sample X152,1.630,
G09,Sample X153,1.701,
G10,Sample X154,1.614,
G11,Sample X155,1.694,
G12,Sample X156,1.693,
G13,Sample X157,1.362,
G14,Sample X158,1.743,
G15,Sample X159,1.528,
G16,Sample X160,1.331,
G17,Sample X161,1.453,
G18,Sample X162,1.371,
G19,Sample X163,1.253,
G20,Sample X164,1.300,
G21,Sample X165,1.313,
G22,Sample X166,1.296,
G23,Sample X167,1.028,
G24,Sample X168,0.822,
H01,Sample X169,0.709,
H02,Sample X170,1.209,
H03,Sample X171,1.650,
H04,Sample X172,1.656,
H05,Sample X173,1.700,
H06,Sample X174,1.603,
H07,Sample X175,1.835,
H08,Sample X176,1.649,
H09,Sample X177,1.564,
H10,Sample X178,1.722,
H11,Sample X179,1.427,
H12,Sample X180,1.505,
H13,Sample X181,1.597,
H14,Sample X182,1.671,
H15,Sample X183,1.354,
H16,Sample X184,1.268,
H17,Sample X185,1.346,
H18,Sample X186,1.722,
H19,Sample X187,1.602,
H20,Sample X188,1.589,
H21,Sample X189,1.311,
H22,Sample X190,1.230,
H23,Sample X191,1.056,
H24,Sample X192,0.829,
I01,Sample X193,1.016,
I02,Sample X194,1.129,
I03,Sample X195,1.517,
I04,Sample X196,1.250,
I05,Sample X197,1.575,
I06,Sample X198,1.921,
I07,Sample X199,1.555,
I08,Sample X200,1.516,
I09,Sample X201,1.598,
I10,Sample X202,1.833,
I11,Sample X203,1.595,
I12,Sample X204,1.672,
I13,Sample X205,1.804,
I14,Sample X206,1.490,
I15,Sample X207,1.591,
I16,Sample X208,1.480,
I17,Sample X209,1.506,
I18,Sample X210,1.443,
I19,Sample X211,1.350,
I20,Sample X212,1.068,
I21,Sample X213,1.224,
I22,Sample X214,1.276,
I23,Sample X215,1.050,
I24,Sample X216,0.956,
J01,Sample X217,0.916,
J02,Sample X218,1.291,
J03,Sample X219,1.218,
J04,Sample X220,1.371,
J05,Sample X221,1.126,
J06,Sample X222,1.227,
J07,Sample X223,1.488,
J08,Sample X224,1.550,
J09,Sample X225,1.478,
J10,Sample X226,1.652,
J11,Sample X227,1.539,
J12,Sample X228,1.530,
J13,Sample X229,1.534,
J14,Sample X230,1.546,
J15,Sample X231,1.564,
J16,Sample X232,1.370,
J17,Sample X233,1.471,
J18,Sample X234,1.442,
J19,Sample X235,1.303,
J20,Sample X236,1.431,
J21,Sample X237,0.737,
J22,Sample X238,1.613,
J23,Sample X239,1.103,
J24,Sample X240,0.862,
K01,Sample X241,0.920,
K02,Sample X242,1.266,
K03,Sample X243,1.491,
K04,Sample X244,1.429,
K05,Sample X245,1.686,
K06,Sample X246,1.474,
K07,Sample X247,1.206,
K08,Sample X248,1.620,
K09,Sample X249,1.163,
K10,Sample X250,1.542,
K11,Sample X251,1.708,
K12,Sample X252,1.596,
K13,Sample X253,1.585,
K14,Sample X254,1.529,
K15,Sample X255,1.219,
K16,Sample X256,1.215,
K17,Sample X257,1.249,
K18,Sample X258,1.635,
K19,Sample X259,1.225,
K20,Sample X260,1.139,
K21,Sample X261,1.573,
K22,Sample X262,1.200,
K23,Sample X263,0.765,
K24,Sample X264,0.876,
L01,Sample X265,0.859,
L02,Sample X266,1.238,
L03,Sample X267,1.470,
