Well,Content,Well Scan: Average (600),
A01,Sample X1,0.064,
A02,Sample X2,0.055,
A03,Sample X3,0.351,
A04,Sample X4,0.333,
A05,Sample X5,0.293,
A06,Sample X6,0.249,
A07,Sample X7,0.202,
A08,Sample X8,0.298,
A09,Sample X9,0.231,
A10,Sample X10,0.236,
A11,Sample X11,0.228,
A12,Sample X12,0.160,
A13,Sample X13,0.226,
A14,Sample X14,0.135,
A15,Sample X15,0.104,
A16,Sample X16,0.199,
A17,Sample X17,0.223,
A18,Sample X18,0.494,
A19,Sample X19,0.553,
A20,Sample X20,0.612,
A21,Sample X21,0.574,
A22,Sample X22,0.509,
A23,Sample X23,0.072,
A24,Sample X24,0.071,
B01,Sample X25,0.063,
B02,Sample X26,0.058,
B03,Sample X27,0.510,
B04,Sample X28,0.575,
B05,Sample X29,0.475,
B06,Sample X30,0.591,
B07,Sample X31,0.606,
B08,Sample X32,0.589,
B09,Sample X33,0.622,
B10,Sample X34,0.589,
B11,Sample X35,0.549,
B12,Sample X36,0.478,
B13,Sample X37,0.442,
B14,Sample X38,0.401,
B15,Sample X39,0.419,
B16,Sample X40,0.509,
B17,Sample X41,0.600,
B18,Sample X42,0.579,
B19,Sample X43,0.561,
B20,Sample X44,0.446,
B21,Sample X45,0.484,
B22,Sample X46,0.505,
B23,Sample X47,0.157,
B24,Sample X48,0.060,
C01,Sample X49,0.062,
C02,Sample X50,0.060,
C03,Sample X51,0.216,
C04,Sample X52,0.334,
C05,Sample X53,0.306,
C06,Sample X54,0.408,
C07,Sample X55,0.573,
C08,Sample X56,0.453,
C09,Sample X57,0.611,
C10,Sample X58,0.572,
C11,Sample X59,0.591,
C12,Sample X60,0.580,
C13,Sample X61,0.598,
C14,Sample X62,0.403,
C15,Sample X63,0.378,
C16,Sample X64,0.326,
C17,Sample X65,0.350,
C18,Sample X66,0.415,
C19,Sample X67,0.290,
C20,Sample X68,0.427,
C21,Sample X69,0.426,
C22,Sample X70,0.380,
C23,Sample X71,0.107,
C24,Sample X72,0.068,
D01,Sample X73,0.078,
D02,Sample X74,0.143,
D03,Sample X75,0.606,
D04,Sample X76,0.629,
D05,Sample X77,0.455,
D06,Sample X78,0.673,
D07,Sample X79,0.433,
D08,Sample X80,0.601,
D09,Sample X81,0.523,
D10,Sample X82,0.571,
D11,Sample X83,0.468,
D12,Sample X84,0.573,
D13,Sample X85,0.340,
D14,Sample X86,0.420,
D15,Sample X87,0.428,
D16,Sample X88,0.552,
D17,Sample X89,0.614,
D18,Sample X90,0.579,
D19,Sample X91,0.451,
D20,Sample X92,0.442,
D21,Sample X93,0.424,
D22,Sample X94,0.437,
D23,Sample X95,0.066,
D24,Sample X96,0.068,
E01,Sample X97,0.083,
E02,Sample X98,0.103,
E03,Sample X99,0.607,
E04,Sample X100,0.502,
E05,Sample X101,0.475,
E06,Sample X102,0.509,
E07,Sample X103,0.522,
E08,Sample X104,0.579,
E09,Sample X105,0.438,
E10,Sample X106,0.530,
E11,Sample X107,0.581,
E12,Sample X108,0.406,
E13,Sample X109,0.563,
E14,Sample X110,0.172,
E15,Sample X111,0.157,
E16,Sample X112,0.552,
E17,Sample X113,0.432,
E18,Sample X114,0.330,
E19,Sample X115,0.087,
E20,Sample X116,0.273,
E21,Sample X117,0.340,
E22,Sample X118,0.241,
E23,Sample X119,0.078,
E24,Sample X120,0.077,
F01,Sample X121,0.090,
F02,Sample X122,0.076,
F03,Sample X123,0.499,
F04,Sample X124,0.597,
F05,Sample X125,0.475,
F06,Sample X126,0.569,
F07,Sample X127,0.432,
F08,Sample X128,0.605,
F09,Sample X129,0.428,
F10,Sample X130,0.593,
F11,Sample X131,0.596,
F12,Sample X132,0.530,
F13,Sample X133,0.486,
F14,Sample X134,0.585,
F15,Sample X135,0.604,
F16,Sample X136,0.495,
F17,Sample X137,0.529,
F18,Sample X138,0.434,
F19,Sample X139,0.447,
F20,Sample X140,0.473,
F21,Sample X141,0.472,
F22,Sample X142,0.482,
F23,Sample X143,0.087,
F24,Sample X144,0.082,
G01,Sample X145,0.101,
G02,Sample X146,0.083,
G03,Sample X147,0.575,
G04,Sample X148,0.519,
G05,Sample X149,0.512,
G06,Sample X150,0.573,
G07,Sample X151,0.329,
G08,Sample X152,0.461,
G09,Sample X153,0.474,
G10,Sample X154,0.585,
G11,Sample X155,0.386,
G12,Sample X156,0.362,
G13,Sample X157,0.448,
G14,Sample X158,0.425,
G15,Sample X159,0.591,
G16,Sample X160,0.571,
G17,Sample X161,0.534,
G18,Sample X162,0.391,
G19,Sample X163,0.245,
G20,Sample X164,0.438,
G21,Sample X165,0.463,
G22,Sample X166,0.398,
G23,Sample X167,0.098,
G24,Sample X168,0.089,
H01,Sample X169,0.094,
H02,Sample X170,0.093,
H03,Sample X171,0.252,
H04,Sample X172,0.549,
H05,Sample X173,0.494,
H06,Sample X174,0.524,
H07,Sample X175,0.507,
H08,Sample X176,0.591,
H09,Sample X177,0.521,
H10,Sample X178,0.611,
H11,Sample X179,0.590,
H12,Sample X180,0.682,
H13,Sample X181,0.562,
H14,Sample X182,0.626,
H15,Sample X183,0.590,
H16,Sample X184,0.606,
H17,Sample X185,0.496,
H18,Sample X186,0.484,
H19,Sample X187,0.375,
H20,Sample X188,0.474,
H21,Sample X189,0.511,
H22,Sample X190,0.464,
H23,Sample X191,0.080,
H24,Sample X192,0.215,
I01,Sample X193,0.106,
I02,Sample X194,0.086,
I03,Sample X195,0.367,
I04,Sample X196,0.491,
I05,Sample X197,0.323,
I06,Sample X198,0.477,
I07,Sample X199,0.432,
I08,Sample X200,0.355,
I09,Sample X201,0.580,
I10,Sample X202,0.523,
I11,Sample X203,0.397,
I12,Sample X204,0.567,
I13,Sample X205,0.566,
I14,Sample X206,0.745,
I15,Sample X207,0.592,
I16,Sample X208,0.599,
I17,Sample X209,0.217,
I18,Sample X210,0.335,
I19,Sample X211,0.358,
I20,Sample X212,0.370,
I21,Sample X213,0.268,
I22,Sample X214,0.377,
I23,Sample X215,0.078,
I24,Sample X216,0.086,
J01,Sample X217,0.087,
J02,Sample X218,0.079,
J03,Sample X219,0.474,
J04,Sample X220,0.477,
J05,Sample X221,0.541,
J06,Sample X222,0.605,
J07,Sample X223,0.564,
J08,Sample X224,0.509,
J09,Sample X225,0.585,
J10,Sample X226,0.570,
J11,Sample X227,0.487,
J12,Sample X228,0.571,
J13,Sample X229,0.282,
J14,Sample X230,0.590,
J15,Sample X231,0.293,
J16,Sample X232,0.539,
J17,Sample X233,0.411,
J18,Sample X234,0.428,
J19,Sample X235,0.154,
J20,Sample X236,0.506,
J21,Sample X237,0.246,
J22,Sample X238,0.450,
J23,Sample X239,0.084,
J24,Sample X240,0.088,
K01,Sample X241,0.087,
K02,Sample X242,0.083,
K03,Sample X243,0.471,
K04,Sample X244,0.300,
K05,Sample X245,0.462,
K06,Sample X246,0.543,
K07,Sample X247,0.543,
K08,Sample X248,0.490,
K09,Sample X249,0.527,
K10,Sample X250,0.568,
K11,Sample X251,0.537,
K12,Sample X252,0.469,
K13,Sample X253,0.585,
K14,Sample X254,0.627,
K15,Sample X255,0.428,
K16,Sample X256,0.520,
K17,Sample X257,0.476,
K18,Sample X258,0.453,
K19,Sample X259,0.308,
K20,Sample X260,0.434,
K21,Sample X261,0.488,
K22,Sample X262,0.387,
K23,Sample X263,0.088,
K24,Sample X264,0.092,
L01,Sample X265,0.076,
L02,Sample X266,0.077,
L03,Sample X267,0.143,
L04,Sample X268,0.493,
L05,Sample X269,0.472,
L06,Sample X270,0.532,
L07,Sample X271,0.531,
L08,Sample X272,0.518,
L09,Sample X273,0.494,
L10,Sample X274,0.541,
L11,Sample X275,0.493,
L12,Sample X276,0.562,
L13,Sample X277,0.538,
L14,Sample X278,0.578,
L15,Sample X279,0.562,
L16,Sample X280,0.486,
L17,Sample X281,0.451,
L18,Sample X282,0.512,
L19,Sample X283,0.492,
L20,Sample X284,0.550,
L21,Sample X285,0.504,
L22,Sample X286,0.488,
L23,Sample X287,0.090,
L24,Sample X288,0.080,
M01,Sample X289,0.084,
M02,Sample X290,0.074,
M03,Sample X291,0.435,
M04,Sample X292,0.446,
M05,Sample X293,0.551,
M06,Sample X294,0.480,
M07,Sample X295,0.576,
M08,Sample X296,0.555,
M09,Sample X297,0.571,
M10,Sample X298,0.557,
M11,Sample X299,0.581,
M12,Sample X300,0.473,
M13,Sample X301,0.368,
M14,Sample X302,0.560,
M15,Sample X303,0.592,
M16,Sample X304,0.533,
M17,Sample X305,0.319,
M18,Sample X306,0.430,
M19,Sample X307,0.458,
M20,Sample X308,0.544,
M21,Sample X309,0.224,
M22,Sample X310,0.290,
M23,Sample X311,0.082,
M24,Sample X312,0.074,
N01,Sample X313,0.093,
N02,Sample X314,0.070,
N03,Sample X315,0.502,
N04,Sample X316,0.473,
N05,Sample X317,0.511,
N06,Sample X318,0.497,
N07,Sample X319,0.490,
N08,Sample X320,0.542,
N09,Sample X321,0.555,
N10,Sample X322,0.570,
