Well,Content,Well Scan: Average (600),
A01,Sample X1,0.060,
A02,Sample X2,0.063,
A03,Sample X3,0.203,
A04,Sample X4,0.160,
A05,Sample X5,0.144,
A06,Sample X6,0.141,
A07,Sample X7,0.141,
A08,Sample X8,0.154,
A09,Sample X9,0.139,
A10,Sample X10,0.112,
A11,Sample X11,0.112,
A12,Sample X12,0.137,
A13,Sample X13,0.123,
A14,Sample X14,0.109,
A15,Sample X15,0.124,
A16,Sample X16,0.121,
A17,Sample X17,0.131,
A18,Sample X18,0.339,
A19,Sample X19,0.335,
A20,Sample X20,0.335,
A21,Sample X21,0.342,
A22,Sample X22,0.342,
A23,Sample X23,0.059,
A24,Sample X24,0.069,
B01,Sample X25,0.061,
B02,Sample X26,0.066,
B03,Sample X27,0.365,
B04,Sample X28,0.337,
B05,Sample X29,0.343,
B06,Sample X30,0.344,
B07,Sample X31,0.336,
B08,Sample X32,0.356,
B09,Sample X33,0.370,
B10,Sample X34,0.341,
B11,Sample X35,0.335,
B12,Sample X36,0.316,
B13,Sample X37,0.315,
B14,Sample X38,0.322,
B15,Sample X39,0.327,
B16,Sample X40,0.338,
B17,Sample X41,0.382,
B18,Sample X42,0.332,
B19,Sample X43,0.331,
B20,Sample X44,0.323,
B21,Sample X45,0.342,
B22,Sample X46,0.334,
B23,Sample X47,0.061,
B24,Sample X48,0.062,
C01,Sample X49,0.087,
C02,Sample X50,0.076,
C03,Sample X51,0.338,
C04,Sample X52,0.333,
C05,Sample X53,0.296,
C06,Sample X54,0.294,
C07,Sample X55,0.096,
C08,Sample X56,0.333,
C09,Sample X57,0.329,
C10,Sample X58,0.309,
C11,Sample X59,0.311,
C12,Sample X60,0.184,
C13,Sample X61,0.298,
C14,Sample X62,0.342,
C15,Sample X63,0.317,
C16,Sample X64,0.320,
C17,Sample X65,0.270,
C18,Sample X66,0.193,
C19,Sample X67,0.323,
C20,Sample X68,0.318,
C21,Sample X69,0.320,
C22,Sample X70,0.322,
C23,Sample X71,0.101,
C24,Sample X72,0.068,
D01,Sample X73,0.082,
D02,Sample X74,0.081,
D03,Sample X75,0.322,
D04,Sample X76,0.298,
D05,Sample X77,0.277,
D06,Sample X78,0.242,
D07,Sample X79,0.301,
D08,Sample X80,0.350,
D09,Sample X81,0.348,
D10,Sample X82,0.450,
D11,Sample X83,0.446,
D12,Sample X84,0.397,
D13,Sample X85,0.358,
D14,Sample X86,0.449,
D15,Sample X87,0.316,
D16,Sample X88,0.301,
D17,Sample X89,0.323,
D18,Sample X90,0.303,
D19,Sample X91,0.317,
D20,Sample X92,0.123,
D21,Sample X93,0.157,
D22,Sample X94,0.223,
D23,Sample X95,0.092,
D24,Sample X96,0.070,
E01,Sample X97,0.067,
E02,Sample X98,0.066,
E03,Sample X99,0.309,
E04,Sample X100,0.312,
E05,Sample X101,0.234,
E06,Sample X102,0.282,
E07,Sample X103,0.321,
E08,Sample X104,0.298,
E09,Sample X105,0.401,
E10,Sample X106,0.313,
E11,Sample X107,0.524,
E12,Sample X108,0.449,
E13,Sample X109,0.506,
E14,Sample X110,0.481,
E15,Sample X111,0.551,
E16,Sample X112,0.394,
E17,Sample X113,0.300,
E18,Sample X114,0.201,
E19,Sample X115,0.110,
E20,Sample X116,0.163,
E21,Sample X117,0.211,
E22,Sample X118,0.157,
E23,Sample X119,0.099,
E24,Sample X120,0.074,
F01,Sample X121,0.066,
F02,Sample X122,0.086,
F03,Sample X123,0.261,
F04,Sample X124,0.253,
F05,Sample X125,0.292,
F06,Sample X126,0.338,
F07,Sample X127,0.330,
F08,Sample X128,0.530,
F09,Sample X129,0.285,
F10,Sample X130,0.567,
F11,Sample X131,0.619,
F12,Sample X132,0.327,
F13,Sample X133,0.250,
F14,Sample X134,0.334,
F15,Sample X135,0.263,
F16,Sample X136,0.360,
F17,Sample X137,0.267,
F18,Sample X138,0.282,
F19,Sample X139,0.272,
F20,Sample X140,0.288,
F21,Sample X141,0.167,
F22,Sample X142,0.184,
F23,Sample X143,0.057,
F24,Sample X144,0.079,
G01,Sample X145,0.071,
G02,Sample X146,0.068,
G03,Sample X147,0.276,
G04,Sample X148,0.190,
G05,Sample X149,0.286,
G06,Sample X150,0.289,
G07,Sample X151,0.456,
G08,Sample X152,0.484,
G09,Sample X153,0.540,
G10,Sample X154,0.638,
G11,Sample X155,0.689,
G12,Sample X156,0.417,
G13,Sample X157,0.379,
G14,Sample X158,0.348,
G15,Sample X159,0.277,
G16,Sample X160,0.379,
G17,Sample X161,0.225,
G18,Sample X162,0.252,
G19,Sample X163,0.260,
G20,Sample X164,0.111,
G21,Sample X165,0.303,
G22,Sample X166,0.162,
G23,Sample X167,0.070,
G24,Sample X168,0.079,
H01,Sample X169,0.075,
H02,Sample X170,0.089,
H03,Sample X171,0.310,
H04,Sample X172,0.296,
H05,Sample X173,0.300,
H06,Sample X174,0.442,
H07,Sample X175,0.420,
H08,Sample X176,0.355,
H09,Sample X177,0.720,
H10,Sample X178,0.588,
H11,Sample X179,0.692,
H12,Sample X180,0.555,
H13,Sample X181,0.716,
H14,Sample X182,0.489,
H15,Sample X183,0.302,
H16,Sample X184,0.380,
H17,Sample X185,0.507,
H18,Sample X186,0.399,
H19,Sample X187,0.284,
H20,Sample X188,0.308,
