Well,Contents,Growth,Solvent
H15,Bacteria,LTOGLU,None
H16,Bacteria,LTOGLU,None
H17,Bacteria,LTOGLU,None
H18,Bacteria,LTO,None
H19,Bacteria,LTO,None
H20,Bacteria,LTO,None
H21,Bacteria,LT,None
H22,Bacteria,LT,None
H23,Bacteria,LT,None
H24,Empty,7TOGLY,None
I01,Empty,7TOGLY,MeOH
I02,Bacteria,LB,MeOH
I03,Bacteria,7TOGLU,MeOH
I04,Bacteria,7TOGLU,MeOH
I05,Bacteria,7TOGLU,MeOH
I06,Bacteria,7TOGLY,MeOH
I07,Bacteria,7TOGLY,MeOH
I08,Bacteria,7TOGLY,MeOH
I09,Bacteria,7TGLY,MeOH
I10,Bacteria,7TGLY,MeOH
I11,Bacteria,7TGLY,MeOH
I12,Bacteria,7TO,MeOH
I13,Bacteria,7TO,MeOH
I14,Bacteria,7TO,MeOH
I15,Bacteria,LTOGLU,MeOH
I16,Bacteria,LTOGLU,MeOH
I17,Bacteria,LTOGLU,MeOH
I18,Bacteria,LTO,MeOH
I19,Bacteria,LTO,MeOH
I20,Bacteria,LTO,MeOH
I21,Bacteria,LT,MeOH
I22,Bacteria,LT,MeOH
I23,Bacteria,LT,MeOH
I24,Empty,7TOGLY,MeOH
J01,Empty,7TOGLY,MeOH
J02,Bacteria,LB,MeOH
J03,Bacteria,7TOGLU,MeOH
J04,Bacteria,7TOGLU,MeOH
J05,Bacteria,7TOGLU,MeOH
J06,Bacteria,7TOGLY,MeOH
J07,Bacteria,7TOGLY,MeOH
J08,Bacteria,7TOGLY,MeOH
J09,Bacteria,7TGLY,MeOH
J10,Bacteria,7TGLY,MeOH
J11,Bacteria,7TGLY,MeOH
J12,Bacteria,7TO,MeOH
J13,Bacteria,7TO,MeOH
J14,Bacteria,7TO,MeOH
J15,Bacteria,LTOGLU,MeOH
J16,Bacteria,LTOGLU,MeOH
J17,Bacteria,LTOGLU,MeOH
J18,Bacteria,LTO,MeOH
J19,Bacteria,LTO,MeOH
J20,Bacteria,LTO,MeOH
J21,Bacteria,LT,MeOH
J22,Bacteria,LT,MeOH
J23,Bacteria,LT,MeOH
J24,Empty,7TOGLY,MeOH
K01,Empty,7TOGLY,DMF
K02,Bacteria,LB,DMF
K03,Bacteria,7TOGLU,DMF
K04,Bacteria,7TOGLU,DMF
K05,Bacteria,7TOGLU,DMF
K06,Bacteria,7TOGLY,DMF
K07,Bacteria,7TOGLY,DMF
K08,Bacteria,7TOGLY,DMF
K09,Bacteria,7TGLY,DMF
K10,Bacteria,7TGLY,DMF
K11,Bacteria,7TGLY,DMF
K12,Bacteria,7TO,DMF
K13,Bacteria,7TO,DMF
K14,Bacteria,7TO,DMF
K15,Bacteria,LTOGLU,DMF
K16,Bacteria,LTOGLU,DMF
K17,Bacteria,LTOGLU,DMF
K18,Bacteria,LTO,DMF
K19,Bacteria,LTO,DMF
K20,Bacteria,LTO,DMF
K21,Bacteria,LT,DMF
K22,Bacteria,LT,DMF
K23,Bacteria,LT,DMF
K24,Empty,7TOGLY,DMF
L01,Empty,7TOGLY,DMF
L02,Bacteria,LB,DMF
L03,Bacteria,7TOGLU,DMF
L04,Bacteria,7TOGLU,DMF
L05,Bacteria,7TOGLU,DMF
L06,Bacteria,7TOGLY,DMF
L07,Bacteria,7TOGLY,DMF
L08,Bacteria,7TOGLY,DMF
L09,Bacteria,7TGLY,DMF
L10,Bacteria,7TGLY,DMF
L11,Bacteria,7TGLY,DMF
L12,Bacteria,7TO,DMF
L13,Bacteria,7TO,DMF
L14,Bacteria,7TO,DMF
L15,Bacteria,LTOGLU,DMF
L16,Bacteria,LTOGLU,DMF
L17,Bacteria,LTOGLU,DMF
L18,Bacteria,LTO,DMF
L19,Bacteria,LTO,DMF
L20,Bacteria,LTO,DMF
L21,Bacteria,LT,DMF
L22,Bacteria,LT,DMF
L23,Bacteria,LT,DMF
L24,Empty,7TOGLY,DMF
M01,Empty,7TOGLY,EtOH
M02,Bacteria,LB,EtOH
M03,Bacteria,7TOGLU,EtOH
M04,Bacteria,7TOGLU,EtOH
M05,Bacteria,7TOGLU,EtOH
M06,Bacteria,7TOGLY,EtOH
M07,Bacteria,7TOGLY,EtOH
M08,Bacteria,7TOGLY,EtOH
M09,Bacteria,7TGLY,EtOH
M10,Bacteria,7TGLY,EtOH
M11,Bacteria,7TGLY,EtOH
M12,Bacteria,7TO,EtOH
M13,Bacteria,7TO,EtOH
M14,Bacteria,7TO,EtOH
M15,Bacteria,LTOGLU,EtOH
M16,Bacteria,LTOGLU,EtOH
M17,Bacteria,LTOGLU,EtOH
M18,Bacteria,LTO,EtOH
M19,Bacteria,LTO,EtOH
M20,Bacteria,LTO,EtOH
M21,Bacteria,LT,EtOH
M22,Bacteria,LT,EtOH
M23,Bacteria,LT,EtOH
M24,Empty,7TOGLY,EtOH
N01,Empty,7TOGLY,EtOH
N02,Bacteria,LB,EtOH
N03,Bacteria,7TOGLU,EtOH
N04,Bacteria,7TOGLU,EtOH
N05,Bacteria,7TOGLU,EtOH
N06,Bacteria,7TOGLY,EtOH
N07,Bacteria,7TOGLY,EtOH
N08,Bacteria,7TOGLY,EtOH
N09,Bacteria,7TGLY,EtOH
N10,Bacteria,7TGLY,EtOH
N11,Bacteria,7TGLY,EtOH
N12,Bacteria,7TO,EtOH
N13,Bacteria,7TO,EtOH
N14,Bacteria,7TO,EtOH
N15,Bacteria,LTOGLU,EtOH
N16,Bacteria,LTOGLU,EtOH
N17,Bacteria,LTOGLU,EtOH
N18,Bacteria,LTO,EtOH
N19,Bacteria,LTO,EtOH
N20,Bacteria,LTO,EtOH
N21,Bacteria,LT,EtOH
N22,Bacteria,LT,EtOH
N23,Bacteria,LT,EtOH
N24,Empty,7TOGLY,EtOH
O01,Empty,7TOGLY,None
O02,Bacteria,LB,None
O03,Bacteria,7TOGLU,None
O04,Bacteria,7TOGLU,None
O05,Bacteria,7TOGLU,None
O06,Bacteria,7TOGLY,None
O07,Bacteria,7TOGLY,None
O08,Bacteria,7TOGLY,None
O09,Bacteria,7TGLY,None
O10,Bacteria,7TGLY,None
O11,Bacteria,7TGLY,None
O12,Bacteria,7TO,None
O13,Bacteria,7TO,None
O14,Bacteria,7TO,None
O15,Bacteria,LTOGLU,None
O16,Bacteria,LTOGLU,None
O17,Bacteria,LTOGLU,None
O18,Bacteria,LTO,None
O19,Bacteria,LTO,None
O20,Bacteria,LTO,None
O21,Bacteria,LT,None
O22,Bacteria,LT,None
O23,Bacteria,LT,None
O24,Empty,7TOGLY,None
P01,Empty,7TOGLY,None
P02,Kana,LB,None
P03,Kana,7TOGLU,None
P04,Kana,7TOGLU,None
P05,Kana,7TOGLU,None
P06,Kana,7TOGLY,None
P07,Kana,7TOGLY,None
P08,Kana,7TOGLY,None
P09,Kana,7TGLY,None
P10,Kana,7TGLY,None
P11,Kana,7TGLY,None
P12,Kana,7TO,None
P13,Kana,7TO,None
P14,Kana,7TO,None
P15,Kana,LTOGLU,None
P16,Kana,LTOGLU,None
P17,Kana,LTOGLU,None
P18,Kana,LTO,None
P19,Kana,LTO,None
P20,Kana,LTO,None
P21,Kana,LT,None
P22,Kana,LT,None
P23,Kana,LT,None
P24,Empty,7TOGLY,None
