Well,Content,Well Scan: Average (600),
A01,Sample X1,0.081,
A02,Sample X2,0.082,
A03,Sample X3,0.186,
A04,Sample X4,0.159,
A05,Sample X5,0.130,
A06,Sample X6,0.138,
A07,Sample X7,0.142,
A08,Sample X8,0.147,
A09,Sample X9,0.124,
A10,Sample X10,0.111,
A11,Sample X11,0.105,
A12,Sample X12,0.116,
A13,Sample X13,0.136,
A14,Sample X14,0.106,
A15,Sample X15,0.106,
A16,Sample X16,0.106,
A17,Sample X17,0.124,
A18,Sample X18,0.328,
A19,Sample X19,0.331,
A20,Sample X20,0.337,
A21,Sample X21,0.347,
A22,Sample X22,0.352,
A23,Sample X23,0.059,
A24,Sample X24,0.057,
B01,Sample X25,0.062,
B02,Sample X26,0.063,
B03,Sample X27,0.350,
B04,Sample X28,0.283,
B05,Sample X29,0.337,
B06,Sample X30,0.316,
B07,Sample X31,0.315,
B08,Sample X32,0.347,
B09,Sample X33,0.333,
B10,Sample X34,0.298,
B11,Sample X35,0.309,
B12,Sample X36,0.351,
B13,Sample X37,0.338,
B14,Sample X38,0.352,
B15,Sample X39,0.314,
B16,Sample X40,0.323,
B17,Sample X41,0.323,
B18,Sample X42,0.319,
B19,Sample X43,0.311,
B20,Sample X44,0.304,
B21,Sample X45,0.304,
B22,Sample X46,0.326,
B23,Sample X47,0.069,
B24,Sample X48,0.068,
C01,Sample X49,0.064,
C02,Sample X50,0.058,
C03,Sample X51,0.316,
C04,Sample X52,0.338,
C05,Sample X53,0.316,
C06,Sample X54,0.314,
C07,Sample X55,0.085,
C08,Sample X56,0.327,
C09,Sample X57,0.305,
C10,Sample X58,0.309,
C11,Sample X59,0.318,
C12,Sample X60,0.163,
C13,Sample X61,0.330,
C14,Sample X62,0.309,
C15,Sample X63,0.309,
C16,Sample X64,0.314,
C17,Sample X65,0.230,
C18,Sample X66,0.184,
C19,Sample X67,0.323,
C20,Sample X68,0.298,
C21,Sample X69,0.303,
C22,Sample X70,0.306,
C23,Sample X71,0.050,
C24,Sample X72,0.054,
D01,Sample X73,0.065,
D02,Sample X74,0.066,
D03,Sample X75,0.326,
D04,Sample X76,0.288,
D05,Sample X77,0.280,
D06,Sample X78,0.225,
D07,Sample X79,0.318,
D08,Sample X80,0.366,
D09,Sample X81,0.454,
D10,Sample X82,0.520,
D11,Sample X83,0.494,
D12,Sample X84,0.544,
D13,Sample X85,0.529,
D14,Sample X86,0.495,
D15,Sample X87,0.449,
D16,Sample X88,0.333,
D17,Sample X89,0.297,
D18,Sample X90,0.281,
D19,Sample X91,0.292,
D20,Sample X92,0.127,
D21,Sample X93,0.136,
D22,Sample X94,0.221,
D23,Sample X95,0.057,
D24,Sample X96,0.060,
E01,Sample X97,0.064,
E02,Sample X98,0.061,
E03,Sample X99,0.313,
E04,Sample X100,0.309,
E05,Sample X101,0.220,
E06,Sample X102,0.297,
E07,Sample X103,0.454,
E08,Sample X104,0.517,
E09,Sample X105,0.378,
E10,Sample X106,0.655,
E11,Sample X107,0.630,
E12,Sample X108,0.462,
E13,Sample X109,0.584,
E14,Sample X110,0.502,
E15,Sample X111,0.619,
E16,Sample X112,0.530,
E17,Sample X113,0.510,
E18,Sample X114,0.185,
E19,Sample X115,0.103,
E20,Sample X116,0.154,
E21,Sample X117,0.206,
E22,Sample X118,0.130,
E23,Sample X119,0.051,
E24,Sample X120,0.050,
F01,Sample X121,0.082,
F02,Sample X122,0.065,
F03,Sample X123,0.258,
F04,Sample X124,0.255,
F05,Sample X125,0.293,
F06,Sample X126,0.419,
F07,Sample X127,0.595,
F08,Sample X128,0.547,
F09,Sample X129,0.607,
F10,Sample X130,0.557,
F11,Sample X131,0.655,
F12,Sample X132,0.665,
F13,Sample X133,0.635,
F14,Sample X134,0.725,
F15,Sample X135,0.615,
F16,Sample X136,0.582,
F17,Sample X137,0.439,
F18,Sample X138,0.478,
F19,Sample X139,0.281,
F20,Sample X140,0.277,
F21,Sample X141,0.173,
F22,Sample X142,0.162,
F23,Sample X143,0.057,
F24,Sample X144,0.066,
G01,Sample X145,0.086,
G02,Sample X146,0.066,
G03,Sample X147,0.305,
G04,Sample X148,0.159,
G05,Sample X149,0.257,
G06,Sample X150,0.486,
G07,Sample X151,0.639,
G08,Sample X152,0.751,
G09,Sample X153,0.621,
G10,Sample X154,0.650,
G11,Sample X155,0.722,
G12,Sample X156,0.606,
G13,Sample X157,0.626,
G14,Sample X158,0.546,
G15,Sample X159,0.598,
G16,Sample X160,0.613,
G17,Sample X161,0.439,
G18,Sample X162,0.428,
G19,Sample X163,0.319,
G20,Sample X164,0.103,
G21,Sample X165,0.346,
G22,Sample X166,0.147,
G23,Sample X167,0.065,
G24,Sample X168,0.061,
H01,Sample X169,0.078,
H02,Sample X170,0.072,
H03,Sample X171,0.324,
H04,Sample X172,0.306,
H05,Sample X173,0.300,
H06,Sample X174,0.586,
H07,Sample X175,0.608,
