Well,Content,Well Scan: Average (600),
A01,Sample X1,0.105,
A02,Sample X2,0.062,
A03,Sample X3,0.161,
A04,Sample X4,0.192,
A05,Sample X5,0.146,
A06,Sample X6,0.119,
A07,Sample X7,0.211,
A08,Sample X8,0.112,
A09,Sample X9,0.101,
A10,Sample X10,0.109,
A11,Sample X11,0.090,
A12,Sample X12,0.126,
A13,Sample X13,0.135,
A14,Sample X14,0.151,
A15,Sample X15,0.111,
A16,Sample X16,0.114,
A17,Sample X17,0.109,
A18,Sample X18,0.180,
A19,Sample X19,0.145,
A20,Sample X20,0.159,
A21,Sample X21,0.125,
A22,Sample X22,0.138,
A23,Sample X23,0.056,
A24,Sample X24,0.062,
B01,Sample X25,0.056,
B02,Sample X26,0.056,
B03,Sample X27,0.158,
B04,Sample X28,0.143,
B05,Sample X29,0.148,
B06,Sample X30,0.169,
B07,Sample X31,0.180,
B08,Sample X32,0.174,
B09,Sample X33,0.140,
B10,Sample X34,0.165,
B11,Sample X35,0.143,
B12,Sample X36,0.224,
B13,Sample X37,0.313,
B14,Sample X38,0.167,
B15,Sample X39,0.177,
B16,Sample X40,0.172,
B17,Sample X41,0.234,
B18,Sample X42,0.227,
B19,Sample X43,0.155,
B20,Sample X44,0.156,
B21,Sample X45,0.150,
B22,Sample X46,0.152,
B23,Sample X47,0.064,
B24,Sample X48,0.070,
C01,Sample X49,0.055,
C02,Sample X50,0.055,
C03,Sample X51,0.078,
C04,Sample X52,0.084,
C05,Sample X53,0.143,
C06,Sample X54,0.144,
C07,Sample X55,0.140,
C08,Sample X56,0.110,
C09,Sample X57,0.156,
C10,Sample X58,0.148,
C11,Sample X59,0.167,
C12,Sample X60,0.154,
C13,Sample X61,0.155,
C14,Sample X62,0.138,
C15,Sample X63,0.159,
C16,Sample X64,0.135,
C17,Sample X65,0.145,
C18,Sample X66,0.143,
C19,Sample X67,0.084,
C20,Sample X68,0.151,
C21,Sample X69,0.182,
C22,Sample X70,0.149,
C23,Sample X71,0.062,
C24,Sample X72,0.063,
D01,Sample X73,0.059,
D02,Sample X74,0.066,
D03,Sample X75,0.137,
D04,Sample X76,0.142,
D05,Sample X77,0.124,
D06,Sample X78,0.141,
D07,Sample X79,0.107,
D08,Sample X80,0.164,
D09,Sample X81,0.153,
D10,Sample X82,0.163,
D11,Sample X83,0.112,
D12,Sample X84,0.156,
D13,Sample X85,0.114,
D14,Sample X86,0.146,
D15,Sample X87,0.149,
D16,Sample X88,0.173,
D17,Sample X89,0.195,
D18,Sample X90,0.196,
D19,Sample X91,0.144,
D20,Sample X92,0.172,
D21,Sample X93,0.141,
D22,Sample X94,0.148,
D23,Sample X95,0.065,
D24,Sample X96,0.060,
E01,Sample X97,0.067,
E02,Sample X98,0.058,
E03,Sample X99,0.149,
E04,Sample X100,0.128,
E05,Sample X101,0.111,
E06,Sample X102,0.125,
E07,Sample X103,0.136,
E08,Sample X104,0.183,
E09,Sample X105,0.125,
E10,Sample X106,0.090,
E11,Sample X107,0.159,
E12,Sample X108,0.118,
E13,Sample X109,0.169,
E14,Sample X110,0.132,
E15,Sample X111,0.070,
E16,Sample X112,0.171,
E17,Sample X113,0.155,
E18,Sample X114,0.146,
E19,Sample X115,0.109,
E20,Sample X116,0.137,
E21,Sample X117,0.142,
E22,Sample X118,0.098,
E23,Sample X119,0.064,
E24,Sample X120,0.068,
F01,Sample X121,0.064,
F02,Sample X122,0.057,
F03,Sample X123,0.109,
F04,Sample X124,0.141,
F05,Sample X125,0.129,
F06,Sample X126,0.152,
F07,Sample X127,0.110,
F08,Sample X128,0.157,
F09,Sample X129,0.090,
F10,Sample X130,0.158,
F11,Sample X131,0.160,
F12,Sample X132,0.162,
F13,Sample X133,0.147,
F14,Sample X134,0.148,
F15,Sample X135,0.181,
F16,Sample X136,0.169,
F17,Sample X137,0.163,
F18,Sample X138,0.167,
F19,Sample X139,0.143,
F20,Sample X140,0.149,
F21,Sample X141,0.170,
F22,Sample X142,0.146,
F23,Sample X143,0.079,
F24,Sample X144,0.090,
G01,Sample X145,0.065,
G02,Sample X146,0.071,
G03,Sample X147,0.146,
G04,Sample X148,0.120,
G05,Sample X149,0.129,
G06,Sample X150,0.122,
G07,Sample X151,0.117,
G08,Sample X152,0.121,
G09,Sample X153,0.142,
G10,Sample X154,0.157,
G11,Sample X155,0.143,
G12,Sample X156,0.125,
G13,Sample X157,0.104,
G14,Sample X158,0.104,
G15,Sample X159,0.145,
G16,Sample X160,0.184,
G17,Sample X161,0.141,
G18,Sample X162,0.161,
G19,Sample X163,0.098,
G20,Sample X164,0.175,
G21,Sample X165,0.169,
G22,Sample X166,0.164,
G23,Sample X167,0.058,
G24,Sample X168,0.089,
H01,Sample X169,0.058,
H02,Sample X170,0.053,
H03,Sample X171,0.122,
H04,Sample X172,0.154,
H05,Sample X173,0.139,
H06,Sample X174,0.166,
H07,Sample X175,0.122,
H08,Sample X176,0.168,
H09,Sample X177,0.148,
H10,Sample X178,0.162,
H11,Sample X179,0.166,
H12,Sample X180,0.176,
H13,Sample X181,0.176,
H14,Sample X182,0.170,
H15,Sample X183,0.182,
H16,Sample X184,0.268,
H17,Sample X185,0.166,
H18,Sample X186,0.207,
H19,Sample X187,0.105,
H20,Sample X188,0.164,
H21,Sample X189,0.200,
H22,Sample X190,0.164,
H23,Sample X191,0.075,
H24,Sample X192,0.097,
I01,Sample X193,0.055,
I02,Sample X194,0.067,
I03,Sample X195,0.129,
I04,Sample X196,0.153,
I05,Sample X197,0.134,
I06,Sample X198,0.144,
I07,Sample X199,0.108,
I08,Sample X200,0.136,
I09,Sample X201,0.149,
I10,Sample X202,0.166,
I11,Sample X203,0.160,
I12,Sample X204,0.164,
I13,Sample X205,0.164,
I14,Sample X206,0.162,
I15,Sample X207,0.203,
I16,Sample X208,0.314,
I17,Sample X209,0.144,
I18,Sample X210,0.161,
I19,Sample X211,0.160,
I20,Sample X212,0.117,
I21,Sample X213,0.139,
I22,Sample X214,0.102,
I23,Sample X215,0.056,
I24,Sample X216,0.070,
J01,Sample X217,0.071,
J02,Sample X218,0.050,
J03,Sample X219,0.122,
J04,Sample X220,0.155,
J05,Sample X221,0.172,
J06,Sample X222,0.164,
J07,Sample X223,0.144,
J08,Sample X224,0.163,
J09,Sample X225,0.151,
J10,Sample X226,0.162,
J11,Sample X227,0.141,
J12,Sample X228,0.173,
J13,Sample X229,0.116,
J14,Sample X230,0.164,
J15,Sample X231,0.098,
J16,Sample X232,0.173,
J17,Sample X233,0.145,
J18,Sample X234,0.160,
J19,Sample X235,0.163,
J20,Sample X236,0.214,
J21,Sample X237,0.128,
J22,Sample X238,0.152,
J23,Sample X239,0.055,
J24,Sample X240,0.061,
K01,Sample X241,0.063,
K02,Sample X242,0.056,
K03,Sample X243,0.142,
K04,Sample X244,0.201,
K05,Sample X245,0.161,
K06,Sample X246,0.124,
K07,Sample X247,0.156,
K08,Sample X248,0.155,
K09,Sample X249,0.144,
K10,Sample X250,0.123,
K11,Sample X251,0.176,
K12,Sample X252,0.167,
K13,Sample X253,0.185,
K14,Sample X254,0.164,
K15,Sample X255,0.149,
K16,Sample X256,0.157,
K17,Sample X257,0.157,
K18,Sample X258,0.180,
K19,Sample X259,0.163,
K20,Sample X260,0.181,
K21,Sample X261,0.145,
K22,Sample X262,0.162,
K23,Sample X263,0.059,
K24,Sample X264,0.055,
L01,Sample X265,0.067,
L02,Sample X266,0.051,
L03,Sample X267,0.151,
L04,Sample X268,0.148,
L05,Sample X269,0.139,
L06,Sample X270,0.153,
L07,Sample X271,0.121,
L08,Sample X272,0.152,
L09,Sample X273,0.165,
L10,Sample X274,0.207,
L11,Sample X275,0.138,
L12,Sample X276,0.160,
L13,Sample X277,0.157,
L14,Sample X278,0.257,
L15,Sample X279,0.150,
L16,Sample X280,0.172,
L17,Sample X281,0.144,
L18,Sample X282,0.159,
L19,Sample X283,0.178,
L20,Sample X284,0.167,
L21,Sample X285,0.157,
L22,Sample X286,0.142,
L23,Sample X287,0.057,
L24,Sample X288,0.062,
M01,Sample X289,0.063,
M02,Sample X290,0.049,
M03,Sample X291,0.141,
M04,Sample X292,0.138,
M05,Sample X293,0.133,
M06,Sample X294,0.124,
M07,Sample X295,0.187,
M08,Sample X296,0.153,
M09,Sample X297,0.144,
M10,Sample X298,0.136,
M11,Sample X299,0.158,
