Well,Content,Well Scan: Average (600),
A01,Sample X1,0.105,
A02,Sample X2,0.051,
A03,Sample X3,0.122,
A04,Sample X4,0.162,
A05,Sample X5,0.122,
A06,Sample X6,0.106,
A07,Sample X7,0.200,
A08,Sample X8,0.102,
A09,Sample X9,0.102,
A10,Sample X10,0.102,
A11,Sample X11,0.094,
A12,Sample X12,0.120,
A13,Sample X13,0.128,
A14,Sample X14,0.136,
A15,Sample X15,0.107,
A16,Sample X16,0.113,
A17,Sample X17,0.104,
A18,Sample X18,0.142,
A19,Sample X19,0.124,
A20,Sample X20,0.122,
A21,Sample X21,0.105,
A22,Sample X22,0.113,
A23,Sample X23,0.061,
A24,Sample X24,0.061,
B01,Sample X25,0.057,
B02,Sample X26,0.054,
B03,Sample X27,0.127,
B04,Sample X28,0.113,
B05,Sample X29,0.113,
B06,Sample X30,0.134,
B07,Sample X31,0.142,
B08,Sample X32,0.140,
B09,Sample X33,0.114,
B10,Sample X34,0.129,
B11,Sample X35,0.109,
B12,Sample X36,0.180,
B13,Sample X37,0.264,
B14,Sample X38,0.134,
B15,Sample X39,0.138,
B16,Sample X40,0.141,
B17,Sample X41,0.184,
B18,Sample X42,0.181,
B19,Sample X43,0.126,
B20,Sample X44,0.126,
B21,Sample X45,0.123,
B22,Sample X46,0.123,
B23,Sample X47,0.061,
B24,Sample X48,0.063,
C01,Sample X49,0.056,
C02,Sample X50,0.053,
C03,Sample X51,0.075,
C04,Sample X52,0.081,
C05,Sample X53,0.119,
C06,Sample X54,0.127,
C07,Sample X55,0.121,
C08,Sample X56,0.093,
C09,Sample X57,0.133,
C10,Sample X58,0.116,
C11,Sample X59,0.130,
C12,Sample X60,0.129,
C13,Sample X61,0.122,
C14,Sample X62,0.109,
C15,Sample X63,0.133,
C16,Sample X64,0.118,
C17,Sample X65,0.143,
C18,Sample X66,0.111,
C19,Sample X67,0.084,
C20,Sample X68,0.124,
C21,Sample X69,0.127,
C22,Sample X70,0.116,
C23,Sample X71,0.061,
C24,Sample X72,0.054,
D01,Sample X73,0.059,
D02,Sample X74,0.067,
D03,Sample X75,0.108,
D04,Sample X76,0.111,
D05,Sample X77,0.105,
D06,Sample X78,0.111,
D07,Sample X79,0.101,
D08,Sample X80,0.136,
D09,Sample X81,0.135,
D10,Sample X82,0.127,
D11,Sample X83,0.097,
D12,Sample X84,0.120,
D13,Sample X85,0.104,
D14,Sample X86,0.110,
D15,Sample X87,0.109,
D16,Sample X88,0.134,
D17,Sample X89,0.161,
D18,Sample X90,0.157,
D19,Sample X91,0.119,
D20,Sample X92,0.131,
D21,Sample X93,0.113,
D22,Sample X94,0.118,
D23,Sample X95,0.060,
D24,Sample X96,0.061,
E01,Sample X97,0.067,
E02,Sample X98,0.056,
E03,Sample X99,0.125,
E04,Sample X100,0.108,
E05,Sample X101,0.100,
E06,Sample X102,0.111,
E07,Sample X103,0.118,
E08,Sample X104,0.148,
E09,Sample X105,0.115,
E10,Sample X106,0.086,
E11,Sample X107,0.125,
E12,Sample X108,0.106,
E13,Sample X109,0.133,
E14,Sample X110,0.118,
E15,Sample X111,0.070,
E16,Sample X112,0.137,
E17,Sample X113,0.145,
E18,Sample X114,0.115,
E19,Sample X115,0.100,
E20,Sample X116,0.113,
