Well,Content,Raw Data (600),
A01,Sample X1,0.158,
A02,Sample X2,0.164,
A03,Sample X3,0.187,
A04,Sample X4,0.194,
A05,Sample X5,0.199,
A06,Sample X6,0.355,
A07,Sample X7,0.215,
A08,Sample X8,0.255,
A09,Sample X9,0.255,
A10,Sample X10,0.281,
A11,Sample X11,0.273,
A12,Sample X12,0.790,
A13,Sample X13,0.208,
A14,Sample X14,0.234,
A15,Sample X15,0.215,
A16,Sample X16,0.223,
A17,Sample X17,0.231,
A18,Sample X18,1.332,
A19,Sample X19,1.532,
A20,Sample X20,1.506,
A21,Sample X21,2.120,
A22,Sample X22,1.484,
A23,Sample X23,0.165,
A24,Sample X24,0.160,
B01,Sample X25,0.164,
B02,Sample X26,0.173,
B03,Sample X27,2.068,
B04,Sample X28,1.623,
B05,Sample X29,1.689,
B06,Sample X30,1.533,
B07,Sample X31,1.356,
B08,Sample X32,1.555,
B09,Sample X33,1.431,
B10,Sample X34,1.364,
B11,Sample X35,1.394,
B12,Sample X36,1.725,
B13,Sample X37,1.328,
B14,Sample X38,1.724,
B15,Sample X39,1.409,
B16,Sample X40,1.455,
B17,Sample X41,1.460,
B18,Sample X42,1.218,
B19,Sample X43,1.232,
B20,Sample X44,1.380,
B21,Sample X45,1.143,
B22,Sample X46,0.879,
B23,Sample X47,0.155,
B24,Sample X48,0.156,
C01,Sample X49,0.166,
C02,Sample X50,0.165,
C03,Sample X51,0.169,
C04,Sample X52,0.792,
C05,Sample X53,1.145,
C06,Sample X54,0.190,
C07,Sample X55,1.072,
C08,Sample X56,0.352,
C09,Sample X57,1.226,
C10,Sample X58,1.296,
C11,Sample X59,1.367,
C12,Sample X60,1.425,
C13,Sample X61,2.613,
C14,Sample X62,1.868,
C15,Sample X63,0.732,
C16,Sample X64,0.165,
C17,Sample X65,1.311,
C18,Sample X66,0.285,
C19,Sample X67,0.166,
C20,Sample X68,1.296,
C21,Sample X69,1.506,
C22,Sample X70,0.809,
C23,Sample X71,0.155,
C24,Sample X72,0.160,
D01,Sample X73,0.186,
D02,Sample X74,0.163,
D03,Sample X75,1.269,
D04,Sample X76,1.727,
D05,Sample X77,1.116,
D06,Sample X78,1.421,
D07,Sample X79,1.558,
D08,Sample X80,1.401,
D09,Sample X81,1.204,
D10,Sample X82,1.414,
D11,Sample X83,1.244,
D12,Sample X84,1.577,
D13,Sample X85,0.258,
D14,Sample X86,1.319,
D15,Sample X87,1.504,
D16,Sample X88,1.801,
D17,Sample X89,1.286,
D18,Sample X90,1.161,
D19,Sample X91,0.824,
D20,Sample X92,1.314,
D21,Sample X93,0.884,
D22,Sample X94,0.832,
D23,Sample X95,0.153,
D24,Sample X96,0.153,
E01,Sample X97,0.165,
E02,Sample X98,0.187,
E03,Sample X99,0.964,
E04,Sample X100,1.128,
E05,Sample X101,1.182,
E06,Sample X102,2.006,
E07,Sample X103,1.104,
E08,Sample X104,1.397,
E09,Sample X105,1.340,
E10,Sample X106,2.537,
E11,Sample X107,1.668,
E12,Sample X108,0.244,
E13,Sample X109,1.728,
E14,Sample X110,0.227,
E15,Sample X111,0.677,
E16,Sample X112,1.735,
E17,Sample X113,0.353,
E18,Sample X114,1.010,
E19,Sample X115,0.157,
E20,Sample X116,0.151,
E21,Sample X117,1.473,
E22,Sample X118,1.200,
E23,Sample X119,0.152,
E24,Sample X120,0.146,
F01,Sample X121,0.158,
F02,Sample X122,0.184,
F03,Sample X123,0.211,
F04,Sample X124,1.418,
F05,Sample X125,1.128,
F06,Sample X126,1.285,
F07,Sample X127,0.742,
F08,Sample X128,1.377,
F09,Sample X129,2.073,
F10,Sample X130,1.288,
F11,Sample X131,1.419,
F12,Sample X132,1.421,
F13,Sample X133,1.818,
F14,Sample X134,1.285,
F15,Sample X135,1.613,
F16,Sample X136,1.327,
F17,Sample X137,1.278,
F18,Sample X138,1.170,
F19,Sample X139,1.241,
F20,Sample X140,1.565,
F21,Sample X141,1.532,
