Well,Content,Well Scan: Average (600),
J12,Sample X228,0.285,
J13,Sample X229,0.276,
J14,Sample X230,0.134,
J15,Sample X231,0.258,
J16,Sample X232,0.130,
J17,Sample X233,0.113,
J18,Sample X234,0.127,
J19,Sample X235,0.113,
J20,Sample X236,0.332,
J21,Sample X237,0.205,
J22,Sample X238,0.087,
J23,Sample X239,0.072,
J24,Sample X240,0.073,
K01,Sample X241,0.091,
K02,Sample X242,0.075,
K03,Sample X243,0.273,
K04,Sample X244,0.106,
K05,Sample X245,0.099,
K06,Sample X246,0.094,
K07,Sample X247,0.144,
K08,Sample X248,0.161,
K09,Sample X249,0.114,
K10,Sample X250,0.149,
K11,Sample X251,0.108,
K12,Sample X252,0.124,
K13,Sample X253,0.138,
K14,Sample X254,0.217,
K15,Sample X255,0.124,
K16,Sample X256,0.150,
K17,Sample X257,0.119,
K18,Sample X258,0.124,
K19,Sample X259,0.209,
K20,Sample X260,0.103,
K21,Sample X261,0.124,
K22,Sample X262,0.184,
K23,Sample X263,0.074,
K24,Sample X264,0.072,
L01,Sample X265,0.083,
L02,Sample X266,0.073,
L03,Sample X267,0.247,
L04,Sample X268,0.287,
L05,Sample X269,0.233,
L06,Sample X270,0.223,
L07,Sample X271,0.109,
L08,Sample X272,0.241,
L09,Sample X273,0.115,
L10,Sample X274,0.113,
L11,Sample X275,0.127,
L12,Sample X276,0.116,
L13,Sample X277,0.260,
L14,Sample X278,0.100,
L15,Sample X279,0.114,
L16,Sample X280,0.126,
L17,Sample X281,0.115,
L18,Sample X282,0.109,
L19,Sample X283,0.173,
L20,Sample X284,0.110,
L21,Sample X285,0.204,
L22,Sample X286,0.233,
L23,Sample X287,0.067,
L24,Sample X288,0.072,
M01,Sample X289,0.070,
M02,Sample X290,0.067,
M03,Sample X291,0.114,
M04,Sample X292,0.257,
M05,Sample X293,0.108,
M06,Sample X294,0.145,
M07,Sample X295,0.108,
M08,Sample X296,0.096,
M09,Sample X297,0.187,
M10,Sample X298,0.137,
M11,Sample X299,0.144,
M12,Sample X300,0.114,
M13,Sample X301,0.138,
M14,Sample X302,0.127,
M15,Sample X303,0.100,
M16,Sample X304,0.121,
M17,Sample X305,0.130,
M18,Sample X306,0.111,
M19,Sample X307,0.110,
M20,Sample X308,0.178,
M21,Sample X309,0.195,
M22,Sample X310,0.181,
M23,Sample X311,0.072,
M24,Sample X312,0.067,
N01,Sample X313,0.091,
N02,Sample X314,0.065,
N03,Sample X315,0.123,
N04,Sample X316,0.139,
N05,Sample X317,0.094,
N06,Sample X318,0.085,
N07,Sample X319,0.221,
N08,Sample X320,0.115,
N09,Sample X321,0.100,
N10,Sample X322,0.116,
N11,Sample X323,0.109,
N12,Sample X324,0.104,
N13,Sample X325,0.117,
N14,Sample X326,0.202,
N15,Sample X327,0.116,
N16,Sample X328,0.106,
N17,Sample X329,0.094,
N18,Sample X330,0.109,
N19,Sample X331,0.169,
N20,Sample X332,0.118,
N21,Sample X333,0.110,
N22,Sample X334,0.183,
N23,Sample X335,0.069,
N24,Sample X336,0.074,
O01,Sample X337,0.078,
O02,Sample X338,0.067,
O03,Sample X339,0.299,
O04,Sample X340,0.270,
O05,Sample X341,0.246,
O06,Sample X342,0.232,
O07,Sample X343,0.226,
O08,Sample X344,0.229,
O09,Sample X345,0.104,
O10,Sample X346,0.107,
O11,Sample X347,0.114,
O12,Sample X348,0.099,
O13,Sample X349,0.230,
O14,Sample X350,0.225,
O15,Sample X351,0.099,
O16,Sample X352,0.115,
O17,Sample X353,0.108,
O18,Sample X354,0.116,
O19,Sample X355,0.109,
O20,Sample X356,0.104,
O21,Sample X357,0.204,
O22,Sample X358,0.196,
O23,Sample X359,0.093,
O24,Sample X360,0.074,
P01,Sample X361,0.075,
P02,Sample X362,0.067,
P03,Sample X363,0.095,
P04,Sample X364,0.125,
P05,Sample X365,0.110,
P06,Sample X366,0.103,
P07,Sample X367,0.104,
P08,Sample X368,0.126,
P09,Sample X369,0.101,
P10,Sample X370,0.105,
P11,Sample X371,0.101,
P12,Sample X372,0.097,
P13,Sample X373,0.265,
P14,Sample X374,0.134,
