Well,Content,Well Scan: Average (600),
A01,Sample X1,0.091,
A02,Sample X2,0.091,
A03,Sample X3,0.123,
A04,Sample X4,0.125,
A05,Sample X5,0.112,
A06,Sample X6,0.107,
A07,Sample X7,0.107,
A08,Sample X8,0.112,
A09,Sample X9,0.120,
A10,Sample X10,0.109,
A11,Sample X11,0.111,
A12,Sample X12,0.128,
A13,Sample X13,0.123,
A14,Sample X14,0.104,
A15,Sample X15,0.116,
A16,Sample X16,0.117,
A17,Sample X17,0.120,
A18,Sample X18,0.370,
A19,Sample X19,0.368,
A20,Sample X20,0.345,
A21,Sample X21,0.396,
A22,Sample X22,0.361,
A23,Sample X23,0.078,
A24,Sample X24,0.072,
B01,Sample X25,0.085,
B02,Sample X26,0.095,
B03,Sample X27,0.109,
B04,Sample X28,0.274,
B05,Sample X29,0.394,
B06,Sample X30,0.391,
B07,Sample X31,0.421,
B08,Sample X32,0.394,
B09,Sample X33,0.418,
B10,Sample X34,0.436,
B11,Sample X35,0.119,
B12,Sample X36,0.433,
B13,Sample X37,0.461,
B14,Sample X38,0.397,
B15,Sample X39,0.509,
B16,Sample X40,0.408,
B17,Sample X41,0.412,
B18,Sample X42,0.394,
B19,Sample X43,0.391,
B20,Sample X44,0.379,
B21,Sample X45,0.367,
B22,Sample X46,0.387,
B23,Sample X47,0.074,
B24,Sample X48,0.065,
C01,Sample X49,0.080,
C02,Sample X50,0.090,
C03,Sample X51,0.344,
C04,Sample X52,0.359,
C05,Sample X53,0.374,
C06,Sample X54,0.334,
C07,Sample X55,0.369,
C08,Sample X56,0.139,
C09,Sample X57,0.325,
C10,Sample X58,0.283,
C11,Sample X59,0.370,
C12,Sample X60,0.111,
C13,Sample X61,0.129,
C14,Sample X62,0.118,
C15,Sample X63,0.366,
C16,Sample X64,0.351,
C17,Sample X65,0.365,
C18,Sample X66,0.386,
C19,Sample X67,0.333,
C20,Sample X68,0.382,
C21,Sample X69,0.380,
C22,Sample X70,0.291,
C23,Sample X71,0.074,
C24,Sample X72,0.064,
D01,Sample X73,0.090,
D02,Sample X74,0.088,
D03,Sample X75,0.118,
D04,Sample X76,0.396,
D05,Sample X77,0.364,
D06,Sample X78,0.355,
D07,Sample X79,0.384,
D08,Sample X80,0.387,
D09,Sample X81,0.096,
D10,Sample X82,0.367,
D11,Sample X83,0.411,
D12,Sample X84,0.373,
D13,Sample X85,0.128,
D14,Sample X86,0.371,
D15,Sample X87,0.170,
D16,Sample X88,0.270,
D17,Sample X89,0.155,
D18,Sample X90,0.258,
D19,Sample X91,0.195,
D20,Sample X92,0.125,
D21,Sample X93,0.124,
D22,Sample X94,0.115,
D23,Sample X95,0.070,
D24,Sample X96,0.068,
E01,Sample X97,0.084,
E02,Sample X98,0.082,
E03,Sample X99,0.114,
E04,Sample X100,0.390,
E05,Sample X101,0.129,
E06,Sample X102,0.272,
E07,Sample X103,0.127,
E08,Sample X104,0.134,
E09,Sample X105,0.348,
E10,Sample X106,0.125,
E11,Sample X107,0.117,
E12,Sample X108,0.123,
E13,Sample X109,0.367,
E14,Sample X110,0.364,
E15,Sample X111,0.112,
E16,Sample X112,0.339,
E17,Sample X113,0.380,
E18,Sample X114,0.116,
E19,Sample X115,0.095,
E20,Sample X116,0.125,
E21,Sample X117,0.355,
E22,Sample X118,0.114,
E23,Sample X119,0.075,
E24,Sample X120,0.075,
F01,Sample X121,0.094,
F02,Sample X122,0.083,
F03,Sample X123,0.122,
F04,Sample X124,0.124,
F05,Sample X125,0.222,
F06,Sample X126,0.132,
F07,Sample X127,0.274,
F08,Sample X128,0.407,
F09,Sample X129,0.123,
F10,Sample X130,0.392,
F11,Sample X131,0.360,
F12,Sample X132,0.363,
F13,Sample X133,0.136,
F14,Sample X134,0.366,
F15,Sample X135,0.269,
F16,Sample X136,0.357,
F17,Sample X137,0.370,
F18,Sample X138,0.131,
F19,Sample X139,0.361,
F20,Sample X140,0.363,
F21,Sample X141,0.363,
F22,Sample X142,0.387,
F23,Sample X143,0.078,
F24,Sample X144,0.079,
G01,Sample X145,0.097,
G02,Sample X146,0.076,
G03,Sample X147,0.321,
G04,Sample X148,0.312,
G05,Sample X149,0.332,
G06,Sample X150,0.374,
G07,Sample X151,0.124,
G08,Sample X152,0.263,
G09,Sample X153,0.246,
G10,Sample X154,0.119,
G11,Sample X155,0.335,
G12,Sample X156,0.380,
G13,Sample X157,0.210,
G14,Sample X158,0.359,
G15,Sample X159,0.293,
G16,Sample X160,0.335,
G17,Sample X161,0.330,
G18,Sample X162,0.368,
G19,Sample X163,0.205,
G20,Sample X164,0.332,
G21,Sample X165,0.131,
G22,Sample X166,0.154,
G23,Sample X167,0.071,
G24,Sample X168,0.095,
H01,Sample X169,0.083,
H02,Sample X170,0.080,
H03,Sample X171,0.125,
H04,Sample X172,0.122,
H05,Sample X173,0.355,
H06,Sample X174,0.361,
H07,Sample X175,0.352,
H08,Sample X176,0.385,
H09,Sample X177,0.143,
H10,Sample X178,0.370,
H11,Sample X179,0.346,
H12,Sample X180,0.373,
H13,Sample X181,0.381,
H14,Sample X182,0.360,
H15,Sample X183,0.333,
H16,Sample X184,0.177,
H17,Sample X185,0.121,
H18,Sample X186,0.353,
H19,Sample X187,0.255,
H20,Sample X188,0.343,
H21,Sample X189,0.330,
H22,Sample X190,0.357,
H23,Sample X191,0.071,
H24,Sample X192,0.076,
I01,Sample X193,0.099,
I02,Sample X194,0.073,
I03,Sample X195,0.128,
I04,Sample X196,0.337,
I05,Sample X197,0.122,
I06,Sample X198,0.343,
I07,Sample X199,0.121,
I08,Sample X200,0.361,
I09,Sample X201,0.112,
I10,Sample X202,0.346,
I11,Sample X203,0.122,
I12,Sample X204,0.119,
I13,Sample X205,0.140,
I14,Sample X206,0.355,
I15,Sample X207,0.121,
I16,Sample X208,0.403,
I17,Sample X209,0.115,
I18,Sample X210,0.150,
I19,Sample X211,0.243,
I20,Sample X212,0.111,
I21,Sample X213,0.133,
I22,Sample X214,0.124,
I23,Sample X215,0.070,
I24,Sample X216,0.073,
J01,Sample X217,0.083,
J02,Sample X218,0.076,
J03,Sample X219,0.352,
J04,Sample X220,0.126,
J05,Sample X221,0.350,
J06,Sample X222,0.118,
J07,Sample X223,0.119,
J08,Sample X224,0.388,
J09,Sample X225,0.211,
J10,Sample X226,0.356,
J11,Sample X227,0.116,
J12,Sample X228,0.160,
J13,Sample X229,0.205,
J14,Sample X230,0.289,
J15,Sample X231,0.382,
J16,Sample X232,0.348,
J17,Sample X233,0.353,
J18,Sample X234,0.365,
J19,Sample X235,0.361,
J20,Sample X236,0.367,
J21,Sample X237,0.384,
J22,Sample X238,0.372,
J23,Sample X239,0.068,
J24,Sample X240,0.068,
K01,Sample X241,0.074,
K02,Sample X242,0.080,
K03,Sample X243,0.130,
K04,Sample X244,0.336,
K05,Sample X245,0.133,
K06,Sample X246,0.270,
K07,Sample X247,0.123,
K08,Sample X248,0.368,
K09,Sample X249,0.099,
K10,Sample X250,0.336,
K11,Sample X251,0.116,
K12,Sample X252,0.312,
K13,Sample X253,0.332,
K14,Sample X254,0.319,
K15,Sample X255,0.107,
K16,Sample X256,0.332,
K17,Sample X257,0.327,
