Well,Content,Well Scan: Average (600),
A01,Sample X1,0.110,
A02,Sample X2,0.122,
A03,Sample X3,0.090,
A04,Sample X4,0.097,
A05,Sample X5,0.090,
A06,Sample X6,0.093,
A07,Sample X7,0.095,
A08,Sample X8,0.111,
A09,Sample X9,0.106,
A10,Sample X10,0.104,
A11,Sample X11,0.103,
A12,Sample X12,0.130,
A13,Sample X13,0.121,
A14,Sample X14,0.106,
A15,Sample X15,0.107,
A16,Sample X16,0.105,
A17,Sample X17,0.119,
A18,Sample X18,0.377,
A19,Sample X19,0.472,
A20,Sample X20,0.346,
A21,Sample X21,0.349,
A22,Sample X22,0.296,
A23,Sample X23,0.071,
A24,Sample X24,0.072,
B01,Sample X25,0.082,
B02,Sample X26,0.089,
B03,Sample X27,0.503,
B04,Sample X28,0.168,
B05,Sample X29,0.515,
B06,Sample X30,0.400,
B07,Sample X31,0.445,
B08,Sample X32,0.402,
B09,Sample X33,0.324,
B10,Sample X34,0.613,
B11,Sample X35,0.455,
B12,Sample X36,0.388,
B13,Sample X37,0.503,
B14,Sample X38,0.969,
B15,Sample X39,0.789,
B16,Sample X40,0.444,
B17,Sample X41,0.404,
B18,Sample X42,0.433,
B19,Sample X43,0.300,
B20,Sample X44,0.292,
B21,Sample X45,0.253,
B22,Sample X46,0.283,
B23,Sample X47,0.066,
B24,Sample X48,0.071,
C01,Sample X49,0.075,
C02,Sample X50,0.074,
C03,Sample X51,0.200,
C04,Sample X52,0.362,
C05,Sample X53,0.562,
C06,Sample X54,0.323,
C07,Sample X55,0.112,
C08,Sample X56,0.328,
C09,Sample X57,0.725,
C10,Sample X58,0.390,
C11,Sample X59,0.277,
C12,Sample X60,0.187,
C13,Sample X61,0.385,
C14,Sample X62,0.311,
C15,Sample X63,0.301,
C16,Sample X64,0.295,
C17,Sample X65,0.145,
C18,Sample X66,0.258,
C19,Sample X67,0.300,
C20,Sample X68,0.230,
C21,Sample X69,0.212,
C22,Sample X70,0.362,
C23,Sample X71,0.064,
C24,Sample X72,0.064,
D01,Sample X73,0.075,
D02,Sample X74,0.077,
D03,Sample X75,0.361,
D04,Sample X76,0.180,
D05,Sample X77,0.117,
D06,Sample X78,0.158,
D07,Sample X79,0.316,
D08,Sample X80,0.183,
D09,Sample X81,0.130,
D10,Sample X82,0.504,
D11,Sample X83,0.421,
D12,Sample X84,0.504,
D13,Sample X85,0.194,
D14,Sample X86,0.302,
D15,Sample X87,0.313,
D16,Sample X88,0.463,
D17,Sample X89,0.430,
D18,Sample X90,0.206,
D19,Sample X91,0.280,
D20,Sample X92,0.172,
D21,Sample X93,0.109,
D22,Sample X94,0.139,
D23,Sample X95,0.063,
D24,Sample X96,0.062,
E01,Sample X97,0.074,
E02,Sample X98,0.074,
E03,Sample X99,0.514,
E04,Sample X100,0.353,
E05,Sample X101,0.168,
E06,Sample X102,0.342,
E07,Sample X103,0.339,
E08,Sample X104,0.110,
E09,Sample X105,0.233,
E10,Sample X106,0.360,
E11,Sample X107,0.142,
E12,Sample X108,0.274,
E13,Sample X109,0.246,
E14,Sample X110,0.110,
E15,Sample X111,0.183,
E16,Sample X112,0.294,
E17,Sample X113,0.147,
E18,Sample X114,0.186,
E19,Sample X115,0.106,
E20,Sample X116,0.167,
E21,Sample X117,0.196,
E22,Sample X118,0.123,
E23,Sample X119,0.067,
E24,Sample X120,0.067,
F01,Sample X121,0.092,
F02,Sample X122,0.076,
F03,Sample X123,0.283,
F04,Sample X124,0.393,
F05,Sample X125,0.271,
F06,Sample X126,0.277,
F07,Sample X127,0.285,
F08,Sample X128,0.169,
F09,Sample X129,0.116,
F10,Sample X130,0.117,
F11,Sample X131,0.311,
F12,Sample X132,0.140,
F13,Sample X133,0.149,
F14,Sample X134,0.123,
F15,Sample X135,0.146,
F16,Sample X136,0.180,
F17,Sample X137,0.172,
F18,Sample X138,0.121,
F19,Sample X139,0.122,
F20,Sample X140,0.221,
F21,Sample X141,0.139,
F22,Sample X142,0.141,
F23,Sample X143,0.073,
F24,Sample X144,0.069,
G01,Sample X145,0.094,
G02,Sample X146,0.073,
G03,Sample X147,0.153,
G04,Sample X148,0.113,
G05,Sample X149,0.214,
G06,Sample X150,0.150,
G07,Sample X151,0.198,
G08,Sample X152,0.220,
G09,Sample X153,0.122,
G10,Sample X154,0.153,
G11,Sample X155,0.145,
G12,Sample X156,0.117,
G13,Sample X157,0.167,
G14,Sample X158,0.285,
G15,Sample X159,0.142,
G16,Sample X160,0.144,
G17,Sample X161,0.207,
G18,Sample X162,0.193,
G19,Sample X163,0.190,
G20,Sample X164,0.232,
G21,Sample X165,0.159,
G22,Sample X166,0.154,
G23,Sample X167,0.071,
G24,Sample X168,0.072,
H01,Sample X169,0.104,
H02,Sample X170,0.099,
H03,Sample X171,0.290,
H04,Sample X172,0.239,
H05,Sample X173,0.170,
H06,Sample X174,0.107,
H07,Sample X175,0.123,
H08,Sample X176,0.175,
H09,Sample X177,0.114,
H10,Sample X178,0.265,
H11,Sample X179,0.303,
H12,Sample X180,0.136,
H13,Sample X181,0.234,
H14,Sample X182,0.158,
H15,Sample X183,0.226,
H16,Sample X184,0.231,
H17,Sample X185,0.163,
H18,Sample X186,0.384,
H19,Sample X187,0.123,
H20,Sample X188,0.184,
H21,Sample X189,0.173,
H22,Sample X190,0.175,
H23,Sample X191,0.073,
H24,Sample X192,0.068,
I01,Sample X193,0.097,
I02,Sample X194,0.095,
I03,Sample X195,0.231,
I04,Sample X196,0.268,
I05,Sample X197,0.393,
I06,Sample X198,0.288,
I07,Sample X199,0.124,
I08,Sample X200,0.204,
I09,Sample X201,0.169,
I10,Sample X202,0.261,
I11,Sample X203,0.212,
I12,Sample X204,0.273,
I13,Sample X205,0.296,
I14,Sample X206,0.263,
I15,Sample X207,0.212,
I16,Sample X208,0.287,
I17,Sample X209,0.117,
I18,Sample X210,0.275,
I19,Sample X211,0.370,
I20,Sample X212,0.126,
I21,Sample X213,0.113,
I22,Sample X214,0.125,
I23,Sample X215,0.066,
I24,Sample X216,0.067,
J01,Sample X217,0.087,
J02,Sample X218,0.075,
J03,Sample X219,0.107,
J04,Sample X220,0.129,
J05,Sample X221,0.145,
J06,Sample X222,0.137,
J07,Sample X223,0.118,
J08,Sample X224,0.113,
