Well,Content,Raw Data (600),
J12,Sample X228,0.726,
J13,Sample X229,1.141,
J14,Sample X230,1.270,
J15,Sample X231,1.171,
J16,Sample X232,1.200,
J17,Sample X233,1.362,
J18,Sample X234,1.366,
J19,Sample X235,1.277,
J20,Sample X236,1.264,
J21,Sample X237,1.169,
J22,Sample X238,1.170,
J23,Sample X239,0.682,
J24,Sample X240,0.157,
K01,Sample X241,0.154,
K02,Sample X242,0.830,
K03,Sample X243,1.293,
K04,Sample X244,1.404,
K05,Sample X245,1.522,
K06,Sample X246,1.290,
K07,Sample X247,1.273,
K08,Sample X248,1.039,
K09,Sample X249,1.092,
K10,Sample X250,1.271,
K11,Sample X251,1.213,
K12,Sample X252,1.061,
K13,Sample X253,1.192,
K14,Sample X254,1.189,
K15,Sample X255,1.099,
K16,Sample X256,1.214,
K17,Sample X257,1.287,
K18,Sample X258,1.341,
K19,Sample X259,1.279,
K20,Sample X260,1.383,
K21,Sample X261,0.998,
K22,Sample X262,0.412,
K23,Sample X263,0.714,
K24,Sample X264,0.158,
L01,Sample X265,0.670,
L02,Sample X266,0.746,
L03,Sample X267,1.269,
L04,Sample X268,1.310,
L05,Sample X269,1.290,
L06,Sample X270,1.249,
L07,Sample X271,1.298,
L08,Sample X272,1.065,
L09,Sample X273,0.943,
L10,Sample X274,1.257,
L11,Sample X275,1.069,
L12,Sample X276,0.880,
L13,Sample X277,1.188,
L14,Sample X278,1.206,
L15,Sample X279,0.846,
L16,Sample X280,1.353,
L17,Sample X281,1.253,
L18,Sample X282,1.196,
L19,Sample X283,1.119,
L20,Sample X284,1.065,
L21,Sample X285,0.772,
L22,Sample X286,0.947,
L23,Sample X287,0.559,
L24,Sample X288,0.167,
M01,Sample X289,0.520,
M02,Sample X290,1.008,
M03,Sample X291,1.133,
M04,Sample X292,1.309,
M05,Sample X293,1.302,
M06,Sample X294,1.387,
M07,Sample X295,1.398,
M08,Sample X296,1.262,
M09,Sample X297,1.185,
M10,Sample X298,1.054,
M11,Sample X299,1.114,
M12,Sample X300,1.291,
M13,Sample X301,0.636,
M14,Sample X302,1.045,
M15,Sample X303,1.254,
M16,Sample X304,1.067,
M17,Sample X305,0.982,
M18,Sample X306,1.218,
M19,Sample X307,1.254,
M20,Sample X308,0.879,
M21,Sample X309,0.866,
M22,Sample X310,0.741,
M23,Sample X311,0.694,
M24,Sample X312,0.154,
N01,Sample X313,0.166,
N02,Sample X314,0.860,
N03,Sample X315,1.047,
N04,Sample X316,0.919,
N05,Sample X317,1.221,
N06,Sample X318,1.270,
N07,Sample X319,0.933,
N08,Sample X320,1.194,
N09,Sample X321,1.121,
N10,Sample X322,1.027,
N11,Sample X323,0.932,
N12,Sample X324,1.106,
N13,Sample X325,1.054,
N14,Sample X326,1.014,
N15,Sample X327,0.852,
N16,Sample X328,0.683,
N17,Sample X329,1.042,
N18,Sample X330,0.686,
N19,Sample X331,1.036,
N20,Sample X332,0.663,
N21,Sample X333,0.566,
N22,Sample X334,0.351,
N23,Sample X335,0.135,
N24,Sample X336,0.247,
O01,Sample X337,0.169,
O02,Sample X338,0.242,
O03,Sample X339,0.469,
O04,Sample X340,0.501,
O05,Sample X341,0.912,
O06,Sample X342,0.944,
O07,Sample X343,0.878,
O08,Sample X344,0.910,
O09,Sample X345,0.915,
O10,Sample X346,0.845,
O11,Sample X347,0.832,
O12,Sample X348,0.756,
O13,Sample X349,0.587,
O14,Sample X350,0.423,
O15,Sample X351,0.652,
O16,Sample X352,0.464,
O17,Sample X353,0.440,
O18,Sample X354,0.690,
O19,Sample X355,0.735,
O20,Sample X356,0.614,
O21,Sample X357,0.341,
O22,Sample X358,0.288,
O23,Sample X359,0.149,
O24,Sample X360,0.213,
P01,Sample X361,0.161,
P02,Sample X362,0.174,
P03,Sample X363,0.299,
P04,Sample X364,0.283,
P05,Sample X365,0.296,
P06,Sample X366,0.301,
P07,Sample X367,0.349,
P08,Sample X368,0.295,
P09,Sample X369,0.335,
P10,Sample X370,0.294,
P11,Sample X371,0.316,
P12,Sample X372,0.316,
P13,Sample X373,0.297,
P14,Sample X374,0.299,
P15,Sample X375,0.305,
P16,Sample X376,0.300,
P17,Sample X377,0.304,
P18,Sample X378,0.296,
P19,Sample X379,0.303,
P20,Sample X380,0.296,
P21,Sample X381,0.302,
P22,Sample X382,0.287,
P23,Sample X383,0.143,
P24,Sample X384,0.593,
